name,country,666
János Bereczki,Romania,1173
Ciarán Beahan,Ireland,1137
Ben Kirby,New Zealand,1116
Abdelhak Kaddour,France,1107
Tymon Kolasiński,Poland,1103
Max Park,USA,1103
Magnus Patrick Kanstrup,Denmark,1080
Michał Halczuk,Poland,1078
Zixuan Liu (刘子瑄),China,1070
Sebastian Weyer,Germany,1069
Paul Mahvi,USA,1065
Max Siauw,USA,1044
Weiqin Yang (杨伟钦),China,1043
Martin Vædele Egdal,Denmark,1042
Lucas Déglise,France,1041
Ping-Yueh Huang (黃品越),Taiwan,1034
Amos Nordman,Finland,1027
Yu Tang (唐语),China,1025
Mateusz Szulik,Poland,1019
Luke Tycksen,USA,1019
Yi-Fan Wu (吳亦凡),Taiwan,1016
Wong Kin Lok (黃健樂),Hong Kong,1009
Victor Chenu,France,1007
Feliks Zemdegs,Australia,1007
Gustav Wälivaara,Sweden,1000
Walker Welch,USA,997
Junliang Huang (黄骏亮),China,994
Bence Barát,Hungary,989
Przemysław Kaleta,Poland,988
Michał Mlostek,Poland,987
Antonie Paterakis,Greece,985
Ivan Torgashov (Иван Торгашов),Russia,983
Jiayang Zhang (张嘉阳),China,982
Kim Roger Høyland Larsen,Norway,977
Magnus Søndergaard Byrne,Denmark,974
Dwyane Ramos,New Zealand,972
Kailong Li (李开隆),China,972
Chan Hui Tung (陳許瞳),Hong Kong,970
James Hildreth,USA,968
Bartłomiej Owczarek,Poland,964
Étienne Aubry,France,963
Marek Majerik,Slovakia,963
He-Ping Zheng (鄭和平),Taiwan,957
Karol Zakrzewski,Poland,952
Ahmet Çınar Ablak,Turkey,951
Xin Luo (罗鑫),China,951
Alexandre Carlier,France,949
Andy Gong,Australia,949
Kerem Eroğlu,Turkey,949
Łukasz Burliga,Poland,946
William Jensen,Sweden,945
Xuming Wang (王旭明),China,944
Daniel Vædele Egdal,Denmark,943
Clément Cherblanc,France,940
Seung Hyuk Nahm (남승혁),Korea,939
Wenjie Lan (兰文杰),China,938
Jun-Po Ni (倪君寶),Taiwan,936
Manfred Siew Ee Sheng (蕭奕晟),Malaysia,934
Zhaoyang Hong (洪兆阳),China,931
Celine Tran,Norway,927
Tom Stanton-Barnett,New Zealand,927
Darcy Andrikonis,Australia,925
Ivan Lew Yi Wen (刘义文),Malaysia,924
Jakob Gunnarsson,Sweden,924
Cheng-Ru Yang,New Zealand,924
Nathan Phillips,USA,920
Kenneth Tran,Norway,920
Ryan Driscoll,Australia,920
Max Xiong (熊锐明),China,917
Zachary White,USA,916
Benjamin Wei,USA,916
Bo Wang (王擘),China,914
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,914
Mathias Søndergaard Byrne,Denmark,913
Cian-Jyun Yang (楊謙君),Taiwan,911
Aleksandr Nedelko,Russia,911
DongSu Park (박동수),Korea,908
Ivan Li Ka Leong (李嘉亮),Hong Kong,907
Sean Hartman,USA,907
Taosif Amin Sahil,Bangladesh,907
Alix Jack,France,905
Eli Jay,United Kingdom,900
Stephen Griggs,USA,899
Kevin Gerhardt,Germany,899
Tomohiro Kobayashi (小林知広),Japan,898
Weisheng Chen (陈伟胜),China,898
Evan Liu,USA,898
Angela Braganza,New Zealand,897
Szymon Brzana,Poland,893
Robert Yau,United Kingdom,893
Adam Łyskawa,Poland,892
Jerzy Chmiel,Poland,891
Matthew Flay,Australia,890
Alexis Rodrigo Cazu Mendoza,Mexico,888
Yueh-Lin Tsai (蔡岳霖),Taiwan,886
Kim Min (김민),Korea,885
Diego Alfonso,France,885
Zhao-Zhe Zhong (鍾肇哲),Taiwan,885
Jingzheng Wang (王景正),China,885
Peter Weyers,USA,883
Lee Hoween,Malaysia,883
Umut Coşan,Turkey,883
Paris Dorn,Canada,882
Laura Holzhauer,Germany,882
Vladimir Semidyanov,Russia,882
Ray Zhang (张灏睿),Australia,882
Carter Kucala,USA,882
Ying Lin (林颖),China,881
Jode Brewster,Australia,880
Waldemar Sundin,Sweden,879
Lauri Korhonen,Finland,879
Ahmad Ayman,Egypt,878
Sameer Aggarwal,USA,876
Bautista Bonazzola,Argentina,876
Pahul Singh,Canada,875
Alevio Hamizan Ersha,Indonesia,874
Adrien Schumacker,Belgium,874
Mattia Furlan,Italy,873
Trần Đăng Quang,Vietnam,872
