name,country,444
Tymon Kolasiński,Poland,1403
Ciarán Beahan,Ireland,1322
Feliks Zemdegs,Australia,1314
Daniel Wallin,Sweden,1307
Max Park,USA,1296
Mateusz Szulik,Poland,1295
Sebastian Weyer,Germany,1287
Jakob Gunnarsson,Sweden,1284
Martin Vædele Egdal,Denmark,1281
Wojciech Knott,Poland,1273
Magdalena Pabisz,Poland,1267
Waldemar Sundin,Sweden,1257
Przemysław Kaleta,Poland,1252
Ben Kirby,New Zealand,1250
Abdelhak Kaddour,France,1243
Juliette Sébastien,France,1239
Dwyane Ramos,New Zealand,1238
William Jensen,Sweden,1237
Kai-Wen Wang (王楷文),Taiwan,1232
Tobiasz Rychlik,Poland,1230
János Bereczki,Romania,1221
Angela Braganza,New Zealand,1220
Riley Dexter,Australia,1220
Mark Zimmermann,Germany,1219
Patrick Ponce,USA,1218
Andy Gong,Australia,1216
Knut Skaug Haraldsen,Norway,1215
Łukasz Burliga,Poland,1213
Yi-Fan Wu (吳亦凡),Taiwan,1213
Marek Majerik,Slovakia,1212
Henri Gerber,Germany,1209
Philipp Weyer,Germany,1206
Jode Brewster,Australia,1206
Ping-Yueh Huang (黃品越),Taiwan,1203
Mats Valk,Netherlands,1202
Kevin Gerhardt,Germany,1199
Magnus Søndergaard Byrne,Denmark,1199
Marquez Phan,Australia,1196
Gustav Wälivaara,Sweden,1196
Alwin Rölz,Switzerland,1196
Alexey Zharikov,Russia,1192
Antonie Paterakis,Greece,1187
Mika Smulders,Netherlands,1183
Ivan Lew Yi Wen (刘义文),Malaysia,1182
Timotej Andrejko,Slovakia,1182
Lauri Korhonen,Finland,1182
Nguyễn Khang Minh,Vietnam,1181
Alexandre Carlier,France,1181
Erik Akkersdijk,Netherlands,1180
Jakub Grzybowski,Poland,1178
Chris Mills,United Kingdom,1178
Leon Schmidtchen,Germany,1175
Leo Lindqvist,Sweden,1175
Paul Mahvi,USA,1168
Szymon Malinowski,Poland,1166
Max Siauw,USA,1165
Lucas Déglise,France,1165
Andrey Che,Russia,1162
Ryan Driscoll,Australia,1162
Robert Yau,United Kingdom,1158
Ari Randers-Pehrson,USA,1155
Jonathan Charlesworth,Australia,1153
Marco Vorländer,Germany,1153
Joshua Hounslow,Australia,1153
Joel Lundström,Sweden,1153
Mathias Søndergaard Byrne,Denmark,1151
Jan Zych,Poland,1150
Weihao Kong (孔维浩),China,1148
Nicos Ahlgrimm,Germany,1148
Matty Hiroto Inaba,USA,1147
Luke Tycksen,USA,1146
Bálint Csengő,Hungary,1145
Mattia Furlan,Italy,1144
Anatole Volongo,France,1144
Cheng-Ying Lee (李承穎),Taiwan,1144
David Epstein,Australia,1143
Junliang Huang (黄骏亮),China,1142
Patrick Hetco,Germany,1141
Jayden McNeill,Australia,1141
