name,country,pyram
Yezhen Han (韩业臻),China,953
Weiyi Zhang (张维一),China,953
Favio César Suárez Rique,Peru,953
Luis Angel Contreras Ospina,Colombia,953
Louis Skipper,New Zealand,953
Evan Beltsis,Australia,953
Đoàn Anh Dũng,Vietnam,953
Davron Takhirov,Uzbekistan,953
Robert Horvath,USA,953
Kristen Young,USA,953
Adam Łyskawa,Poland,953
Dylan Beetge,Australia,953
Zicheng He (贺子程),China,953
Arham Islam,Australia,953
Yanchen Zhu (朱彦臣),China,952
Jeremy Sheng,USA,952
Hargun Singh Tikku,India,952
Kangze Wang (王康泽),China,952
Brady James Potter,USA,952
Dominik Fürer,Switzerland,952
Vladislav Kozhin,Russia,952
Ethan Hickman,Australia,952
Xuanwei Liang (梁轩玮),China,952
Adam Chodyniecki,Poland,951
Zexu Han (韩泽栩),China,951
AJ Le,USA,951
Hector David Martinez Argaez,Colombia,951
Caleb Langan,Australia,951
Rūdolfs Vīnkalns,Latvia,951
Grigorii Kuptsov (Григорий Купцов),Russia,951
Kaidyn Vince De Luca-Mazza,Australia,951
Vianne Chang,Canada,951
Jiajun Gao (高嘉骏),China,951
Jack Anderson,USA,951
Mark Ostrom,United Kingdom,951
Jaxson Stove,New Zealand,950
Yibo Wang (王一博),China,950
Elian Beguec,France,950
Gerard McGinley,Australia,950
Tommy Kiprillis,Australia,950
Daniel Eric Ryan,Australia,950
Yoo-chan Hong (홍유찬),Korea,950
Asher Kim-Magierek,USA,949
Zaiyang Zhang (张在旸),China,949
Ahmet Nadir Yücekaya,Turkey,949
Mihail Stoicescu,Romania,949
Ritvik Sharma,India,949
Andreas Jensen Forsgren,Norway,949
Alina Palinchuk (Аліна Палінчук),Ukraine,949
Pavel Eroshkin (Павел Ерошкин),Russia,949
Shubham Maharana,India,949
Shuo Zhao (赵硕),China,949
Mitchell Lane,USA,948
Yonghao Xu (徐永浩),China,948
Fletcher Johns,New Zealand,948
Amarsanaa Enkhbaatar,Mongolia,948
Sandro Mattenberger,Switzerland,948
Samuel Curnow,Australia,948
Justin He,Australia,948
Yelysei Hovorun (Єлисей Говорун),Ukraine,948
Ada Zajder,Poland,948
Rostislav Votinsev,Russia,948
Luke Jankowiak,Canada,947
Renato Pardo,Chile,947
Christoph Jadan,Russia,947
Chenlai Zhao,China,947
Li Chak Kwan (李澤堃),Hong Kong,947
Daniil Rublev (Даниил Рублёв),Russia,947
Nicholas Eppingstall,Australia,947
Edgar Galstyan,Russia,947
Egor Potapov,Russia,946
Charles Downie,Australia,946
Dominika Dziczek,Poland,946
Zicong Weng (翁子聪),China,946
Joaquin Abarca,Canada,946
Xinan He (何栖楠),China,946
Eli Hickman,Australia,946
Henry Asker,United Kingdom,946
Nguyễn Duy Sơn,Vietnam,946
Joshua Weigt,USA,946
Nikita Sviridov (Никита Свиридов),Russia,945
Polina Konopleva (Полина Коноплева),Russia,945
Viktor From,Sweden,945
Nolan Wood,USA,945
Jiahui Wang (王佳辉),China,945
Nikolay Vasilyev,Russia,945
Hayden Kosadi,USA,945
Michael Bratko,Russia,945
Jacob Fuentes,USA,944
Kevin,Indonesia,944
Milhouse Gibbons-Paul,United Kingdom,944
Cesar Leandro Alvarado,Argentina,944
Gaojian Pan (潘高健),China,944
Dylan Hughlett,USA,944
Lei He (贺雷),China,943
Ainesh Sevellaraja,Malaysia,943
Maarten Schuil,Netherlands,943
Yongchang Wang (王永昌),China,943
Callum Prowse,New Zealand,943
Ben Baron,Israel,943
Azizah Nur Hayati,Indonesia,943
Pavel Galaktionov,Russia,943
Arseniy Yotsyus,Russia,943
Ng Jia Quan (黄佳铨),Malaysia,943
Darya Belonogova,Russia,942
Egor Gushchin,Russia,942
Cade Beck,USA,942
Yujun Li (李钰钧),China,942
Vladimir Sergeev,Russia,942
Shek Ho Hin (石灝軒),Hong Kong,941
Theo Iván Goluboff,Argentina,941
Zian Song (宋子安),China,941
Owen Brooks,USA,941
Maksim Zemtšihhin,Estonia,941
Pau Vela García,Spain,941
Saveliy Surikov,Russia,941
Qian Wang (王乾),China,941
Davelno Danish Raziq,Indonesia,941
Zhengwen Zhong (钟政文),China,941
Boxi Chen (陈博希),China,940
Gjorgji Cheshmedjievski,North Macedonia,940
Max Alidenes,Australia,940
Nikolai Gomelchuk,Russia,940
Warwick Garwood,Australia,939
Minn Aung,Australia,939
Hubert Hanusiak,Poland,939
Chris Martin,USA,939
Seungho Song (송승호),Korea,939
Lachlan Malcolm,Australia,939
Zejin Liu (刘泽锦),China,939
Adarsh Natarajan,Australia,939
Nikodem Tomaszuk,Poland,939
Matteo Dummar,Italy,939
Hongyuan Fu (傅泓源),China,939
Noah Wilde,Canada,939
Gellért Menyhárt,Hungary,938
Szymon Musiał,Poland,938
Bowen Wan (万博文),China,938
Vaibhav-Jai Ravipati,Australia,938
Nguyễn Ngọc Thịnh,Vietnam,938
Yuxuan Zheng (郑豫轩),China,938
Sebastián Pulgarín Manrique,Colombia,938
Eshiel Narayanan,Australia,938
Alyssa Bernardo,USA,938
Xiaoxiao Wang (王晓晓),China,938
Maximus Ferrier,Australia,937
Billy O'Loan,Australia,937
Akshaansh Chilakapati,India,937
Lukas Noel,Sweden,937
Sukant Koul,India,937
Bartłomiej Owczarek,Poland,937
Nikita Galchenko (Никита Гальченко),Russia,937
Max Utri,Poland,937
Shivam Bansal,India,937
Saavar Bajaj,Australia,937
Basil Schumacher,Switzerland,937
Carol Chai,New Zealand,937
Vlad Bayazitov (Влад Баязитов),Russia,937
Quinlan Mayo,USA,937
Rohan Singh,Malaysia,937
Heidi Chan,USA,937
Amina Chebochakova (Амина Чебочакова),Russia,937
Matias Israel Roa Lavin,Chile,936
Yubo Ji (纪宇博),China,936
Mykhailo Lagoida (Михайло Лагойда),Ukraine,936
William Herring,Australia,936
Charlie Knight,Canada,936
Raúl Cuevas Castillo,Spain,936
Jolina Chen,Australia,935
Han Chu (储菡),China,935
Dakshin Vinod,India,935
Abigail Claire Duffin,Australia,935
Vlad Vershinin (Влад Вершинин),Russia,935
Matěj Grohmann,Czech Republic,935
Jack Carter,Australia,935
Rasmus Händén,Sweden,935
Hamish van Drunen,Australia,935
Bogdan Dovbysh,Belarus,935
Nil Gürbüz,Turkey,935
Chenghang Liu (刘成航),China,934
Parth Sachin Surelia,India,934
Henry Savich,USA,934
Siheng Chen (陈思衡),China,934
Haoqian Huang (黄皓谦),China,934
Patrick Ruelas Zacarias,USA,934
Egor Varvarichev (Егор Варваричев),Russia,934
Cyprian Kalbarczyk,Poland,933
Chengyu Ye (叶成宇),China,933
Sheng Cao (曹晟),China,933
Mantra Shukla,New Zealand,933
Rodrigo Sasieta Romero,Peru,933
Tom Salmon,United Kingdom,933
Simone Marcellini,Italy,933
William Jarvis,Australia,933
Tiger Yuanhua Xiang (向源华),Canada,933
Francesco Schmitt,Germany,933
Zhengzhe Jiang (江政哲),China,932
Łukasz Burliga,Poland,932
Clément Valot,France,932
Emil Elghorn,Sweden,932
Wyatt Idell,USA,932
Brian Johnson,USA,932
Levi Sylvester James,USA,932
William Klauer,USA,932
