name,country,pyram
Bryan Eng,Australia,1071
Dmitry Matthew Yaquinto,Russia,1070
Wout Plaum,Belgium,1070
Mateusz Szwugier,Poland,1069
Andres Rodriguez,USA,1069
Narhean Ravichandira,Australia,1069
Nicos Ahlgrimm,Germany,1069
He-Ping Zheng (鄭和平),Taiwan,1068
Haibo Sui (隋海波),China,1068
Gustav Wälivaara,Sweden,1068
Cezary Mach,Poland,1068
Ben Kirby,New Zealand,1067
Yining Yao (姚祎宁),China,1066
Niclas Mach,Germany,1066
Suhang Li (李苏航),China,1065
Nicholas Paul,Australia,1065
Daniel Goodman,USA,1065
David Epstein,Australia,1064
Nathan Barbre,USA,1064
Saransh Grover,India,1064
Tyler Howlett,USA,1064
Aneurin Hunt,New Zealand,1064
Juan David Carmona Vásquez,Colombia,1064
Zak Kenny,Australia,1063
Timothy Castle,USA,1063
Michał Mlostek,Poland,1063
Matthew Cook,Australia,1063
Danila Balytsok,Australia,1062
Jayden McNeill,Australia,1062
Robert Alden,United Kingdom,1061
Mohammed Aiman Koli,India,1060
Elias Malomgré,Belgium,1060
Theresa L. Biermann,Germany,1059
Jonas Fong,Australia,1059
Amy Eguchi-Fergusson,Australia,1059
Jonathan O'Neill,Australia,1058
Yichen Jiang (姜一辰),China,1058
Leeah Gard-Spaulding,Australia,1058
Dylan Cossin,USA,1058
Diego Durandet,France,1058
Joel Harrop,Australia,1057
Nathan Nairn,Australia,1057
Bartosz Miduch,Poland,1057
Litao Hao (郝立涛),China,1056
Kaiden Ziegler,New Zealand,1056
Jacob Hewell,Australia,1056
Ethan Erez,Canada,1056
Aaron Huynh,USA,1055
Clément Cherblanc,France,1055
Songtao Zhang (张松涛),China,1055
Sophia Schmoll,Germany,1054
Leo Lindqvist,Sweden,1054
Philipp Senser,Switzerland,1054
Sebastiano Benato,Uruguay,1054
Joey Saia,USA,1053
Héctor Haro Guerrero,Spain,1053
Pedro Giuseppe Garcia Milla,Peru,1052
Ciarán Beahan,Ireland,1052
Enhao Zhang (张恩浩),China,1052
Paxton Bennison,Australia,1052
Vojtěch Kundera,Czech Republic,1052
Helmer Ewert,Sweden,1052
Charlie van Ooran,Australia,1051
Ho Hsieh (謝合),Taiwan,1051
Zhiyi Lin (林之逸),China,1051
Kui-En Chiu (邱奎恩),Taiwan,1050
Victor Wijsman,France,1050
Wong Kin Lok (黃健樂),Hong Kong,1049
Jonathan Brugge,Netherlands,1048
Ekaterina Kaneva,Russia,1047
Iurii Chesnokov (Юрий Чесноков),Russia,1047
Herman Westerlund Kalland,Norway,1047
Sam Shaw,United Kingdom,1047
Yunhan Yao (姚云瀚),China,1047
Jinseo Hong,Korea,1047
Ataberk Şencan,Turkey,1046
Simon Jansson,Sweden,1045
Jacob Kotai,Canada,1045
Ray Zhang (张灏睿),Australia,1045
Oliver Sherlock,Poland,1044
Baden Forster,Australia,1044
Diego Moy,Canada,1044
Jakub Tkaczyk,Poland,1044
Jaivardhan Bhatia,Australia,1043
River Fletcher,Australia,1043
Yannick Richter,Germany,1042
Andrew Tan Jing Bang,Singapore,1042
Mikołaj Zubowicz,Poland,1042
Kacper Paweł Dworak,Poland,1042
Ruben Fino,Australia,1041
Oleksandr Savchenko (Олександр Савченко),Ukraine,1041
Steven Wintringham,USA,1040
Charlie Cannon,Australia,1040
Luke Burong,Australia,1039
Daniel Grabski,Austria,1039
Abdelhak Kaddour,France,1039
Adam Jagła,Poland,1039
Ahmet Çınar Ablak,Turkey,1039
Luke Garrett,USA,1038
Grigoriy Barashkin,Russia,1038
Diego Fraile,France,1038
Roman Shilov (Роман Шилов),Russia,1038
Naman Jethani,India,1038
Lingkun Jiang (姜凌坤),China,1038
Willi Mickein,Germany,1037
Oleksandr Seniuk (Олександр Сенюк),Ukraine,1037
Joel Lundström,Sweden,1037
Zishuo Zhang (张子硕),China,1036
Zayd Chaudhry,Australia,1036
Sebastian Williams,United Kingdom,1036
Jun Hu (胡骏),China,1036
Muhammad Razin Bin Roslan,Malaysia,1036
Chris Van Der Brink,USA,1036
Jensen Belen-Brown,Canada,1035
Dylan Baumbach,USA,1035
Andy Gong,Australia,1035
Micah Navarro,Australia,1034
Sebastian Outh-Aut,Australia,1034
Drew Brads,USA,1034
Edward Rust,Australia,1034
Magnus Patrick Kanstrup,Denmark,1034
John Gaynor,USA,1034
Matej Marković,Croatia,1033
Yihao Zhao (赵羿皓),China,1033
Xinjie Shi (施鑫杰),China,1032
Milo Black,USA,1032
Szymon Brzana,Poland,1032
Xulang Li (黎旭朗),China,1032
Daniel Fraser,New Zealand,1032
Cheng-Hsien Wu (吳政憲),Taiwan,1031
Alexander Bashutkin,Russia,1031
Leo Min-Bedford,Canada,1031
Aidan Ung,Australia,1031
John Bacouël,France,1030
Simon Kalhofer,Germany,1029
Kevin Gerhardt,Germany,1029
Can Ersoy,Turkey,1029
Yichen Sun (孙艺晨),China,1029
Jinxin Li (李金鑫),China,1029
Danil Kotenkov (Данил Котенков),Russia,1028
Greg Leonard,Belgium,1028
Liam Highducheck,Australia,1028
Aston Culf,Australia,1028
Zachary Ochs,USA,1028
Benjamin Gottschalk,USA,1028
Shrijan Pal,India,1028
Alejandro Isaza,Colombia,1027
Yuze Gu (顾雨泽),China,1027
Joash Little,Australia,1027
Leonid Shcherbakov (Леонид Щербаков),Russia,1027
Andre Nguyen,Australia,1027
Vincent Hartanto Utomo,Indonesia,1027
Matvei Tianutov (Матвей Тянутов),Russia,1027
Aiden Bartlett,USA,1026
Jacob Chambers,United Kingdom,1026
Siddharth Manchkanti,USA,1025
Bálint Csengő,Hungary,1025
Witold Sołtysik,Poland,1025
Aleksandr Beznogov,Russia,1025
Zac Graham,Australia,1024
Ryan Wu,Canada,1024
Amos Nordman,Finland,1024
Antoine Cantin,Canada,1024
Tieske Heemskerk,Netherlands,1024
Herbie Miles,Australia,1024
Jihoon Park,Australia,1023
Gijs Peletier,Netherlands,1023
Piotr Kogut,Poland,1023
Lorenzo Mauro,Italy,1023
Trần Đăng Quang,Vietnam,1023
Ethan Pride,Australia,1023
Linus Buck,Germany,1022
Jack Cai,Australia,1022
Ronnie Jinxuan Zhu (朱缙轩),China,1021
Kenneth Tran,Norway,1021
Yiyang Chen (陈熠扬),China,1021
Gabriel Rejdych,Poland,1021
Luke Van Laningham,USA,1021
Arnau Tous Mateu,Spain,1021
Joe Labas,Australia,1020
Bartłomiej Krokos,Poland,1020
Laura Holzhauer,Germany,1020
Akın Köse,Turkey,1019
Maciej Jabłoński,Poland,1019
Dominic Heising,USA,1019
Yuxuan Huang (黄宇轩),China,1019
AJ Kamal,USA,1019
Daniel Sheppard,United Kingdom,1019
Richard Yiheng Tao,New Zealand,1018
Yichen Ma (马奕宸),China,1018
Muhammad Dipa Budiono,Indonesia,1018
Jose Ortiz Jr.,USA,1018
Alejandro Restrepo Echeverri,Colombia,1018
Zhe Wang (汪哲),China,1018
Niklas Aasen Eliasson,Norway,1018
Joe Davis,Australia,1017
Tyler Johnson,USA,1017
Adrien Neveu,France,1017
Danylo Harbar (Данило Гарбар),Ukraine,1017
Max Walaszek,USA,1017
Aaron Paskow,USA,1016
Sarina Wang,New Zealand,1016
Ziyu Wu (吴子钰),China,1016
Jakub Grzybowski,Poland,1015
Myles Segal,Australia,1015
Luke McEwen,Australia,1015
Yuxuan Wu (吴雨轩),China,1014
Ilya Beylin (Илья Бейлин),Russia,1014
Max Bradley-McFawn,Australia,1014
Jiyi Wang (王吉怡),China,1014
Malte Oliver Bøgh Kjøller,Denmark,1014
Andrés Rodríguez Galán,Spain,1013
Emil Diring,Germany,1012
Ilya Sokolov,Russia,1012
Erik Akkersdijk,Netherlands,1012
Louis-Marie Ratto,France,1012
Marcus Siu,United Kingdom,1011
Yifan Wang (王逸帆),China,1011
Mitchell Kinsman,Australia,1011
Jan van Dorst,Netherlands,1011
Jack Stewart,USA,1011
Aayush Shah,India,1011
Kacper Jędrzejuk,Poland,1011
Jules Desjardin,France,1011
Shao-Heng Hung (洪紹恆),Taiwan,1010
Karol Zakrzewski,Poland,1010
Lincheng Cai (蔡林成),China,1010
Chan Hui Tung (陳許瞳),Hong Kong,1010
Tobiasz Rychlik,Poland,1010
Josephine Siburian,Australia,1010
Nguyễn Khang Minh,Vietnam,1010
Ben Stokes,United Kingdom,1009
Oliver Pällo,Estonia,1009
Tyler Williams,Australia,1009
Theodor Nordstrand,Sweden,1009
Patricia Kubasek,Poland,1008
Dylan Chan,USA,1008
Orkun Efe Dahar,Turkey,1008
Taj Greenough,Australia,1008
Dominic Lumsden,United Kingdom,1008
Shang Liu (刘尚),China,1008
Liam Wadek,New Zealand,1007
Markuss Pietkuns,Latvia,1007
Ryan S. Keogh,New Zealand,1007
Krish Shah-Nathwani,USA,1007
Mykhailo Akhunov (Михайло Ахунов),Ukraine,1007
Kyle Van Straaten,Canada,1006
Gil Kochbeck,Germany,1006
Alevio Hamizan Ersha,Indonesia,1006
Taine Cassar,Australia,1006
Mengni Yan (颜梦妮),China,1006
Alex Hirschhorn,Australia,1006
Valerio Locatelli,Italy,1006
Patrick Kleverlaan,Australia,1005
Cristóbal Opazo Bravo,Chile,1005
Benjamin Shurmer,Australia,1005
Donna Cook,Australia,1005
Maxim Brednev (Максим Бреднев),Russia,1005
Francisco Hamlin,Argentina,1005
Yang Liu (刘洋),China,1004
Michael Alexander,Australia,1004
Zhuoyang Li (李卓阳),China,1004
Dawid Wójcik,Poland,1004
Oscar Watson,Australia,1003
Maheran Chowdhury,Australia,1003
Coleman Vaughn,USA,1003
Henry Lichner,USA,1003
Li-Zhi Findhammer,Netherlands,1003
Jacob Eoin Gipp,Canada,1003
Tucker Chamberlain,USA,1003
Ella Krohn,Australia,1003
Peter Hibl,USA,1003
Aidan Cerenzie,USA,1003
Qinxi Wei (韦钦曦),China,1002
Levi Eyou,New Zealand,1002
Muhammad Faeyza Koda,Indonesia,1002
Alexis Fedeler,Germany,1002
Kyle Polage,USA,1002
Oliver Leigh,Australia,1001
Mingxuan Wu (吴明轩),China,1001
Chenhao Ma (马晨皓),China,1001
Kyson Lovery,Australia,1001
Naren Ramesh,India,1000
Illia Honcharuk (Ілля Гончарук),Ukraine,1000
Kim Roger Høyland Larsen,Norway,1000
Gunnar Ivarsson,Sweden,1000
Chengyang Du (杜成洋),China,1000
Kevin Min,Korea,1000
Jieying Feng (冯洁莹),China,1000
Justin Chang,China,1000
Cameron Miller,USA,1000
Sicheng Gu (顾思成),China,999
Samuel Tie,Australia,999
Kabir Johal,Canada,999
Liam Pipia,Australia,999
Shuaihao Chen (陈帅豪),China,999
Jie Wang (王杰),China,999
Benjamin Lilleøen Bakken,Norway,999
Yulun Wu (吴宇伦),China,998
Gert-Jan Broere,Netherlands,998
Xavier Evans,New Zealand,998
Lennon Hughes,Australia,998
Aedan Loughran,Canada,998
Daxton Westlake,USA,998
Wilhelm Kilders,Germany,998
Muhammed Pusat Özçelik,Turkey,998
Tommy Cherry,USA,997
Veenayak Bhola,India,996
Ricardo Zapata Cruz,Venezuela,996
Isaac Latta,New Zealand,996
Kaiyang Gao (高凯阳),China,996
Rustin Haderlie,USA,996
Yizhou Wang (王翼洲),China,996
Caleb Kinman,USA,996
Leonardo José Hilario Cori,Peru,996
Suen Ming Chi (孫銘志),Hong Kong,995
Federico Da Fonseca,Argentina,995
Michał Krasowski,Poland,995
Fabian Andrey Montenegro Barrero,Colombia,995
Mathias Søndergaard Byrne,Denmark,995
Lucas Déglise,France,995
Shangtong Fu (傅上桐),China,995
Nicholas Patterson,Canada,995
Amiel Engel,Netherlands,995
Marco Rota,Italy,995
John Hornacek,USA,995
Jessica Ying,Canada,995
Paweł Duraj,Poland,994
Purab Shah,India,994
Eli Jay,United Kingdom,994
Chia-Liang Tai (戴嘉良),Taiwan,994
Alex Maass,USA,993
Callum McArthur-Mortell,Finland,993
Knut Skaug Haraldsen,Norway,993
Zhaoen Wu (吴兆恩),China,993
Romain Mailly,France,993
Johannes Knudsen,Sweden,992
Dominik Jakubowski,Poland,992
Ilya Parchuck,Russia,992
Ziqi Ding,China,992
Noah Kraft,Germany,991
Vyacheslav Kochergin (Вячеслав Кочергин),Russia,991
Blake Thompson,USA,991
Elias Fischer,Germany,991
Zhaohe Wang (王昭赫),China,991
Alexander Shipulin,Russia,991
Qibei Li (李骐贝),China,991
Luc Rabeyrin,France,990
Luka Stošić,Serbia,990
Yuchen Wang (王雨辰),China,990
Marcos Gabriel Gomes,Australia,990
Zekang Xia (夏泽康),China,990
Aleksander Kołodziński,Poland,990
Szymon Nerek,Poland,989
Ben Teh,Australia,989
Tongming Shi (石童鸣),China,989
Camerone Chin,New Zealand,988
Martin Fronescu,Romania,988
Cheng-Ying Lee (李承穎),Taiwan,988
Connor Sherrin,Australia,988
Snehashish Chakravarti,India,988
Cristian Coletti,Australia,988
Kyeongmin Choi,Korea,988
Daniel Brem,Switzerland,988
Joshua Broderick Phillips,USA,988
Marco Giordano,Italy,988
Wojciech Szatanowski,Poland,988
Łukasz Dubicki,Poland,988
Jack Pfeifer,USA,987
Liam Heimann,Australia,987
Eli Panetta,Australia,987
Tianyu Sun (孙天宇),China,987
Ivo Stoutjesdijk,Netherlands,986
Toby Coote,Australia,986
Gana Visank Ventrapragada,USA,986
Yusuf Güzeler,Turkey,986
Luke Heath-Edwards,New Zealand,986
Eve Carroll,Australia,985
Jeyson Paul Espinoza Diaz,Peru,985
Lev Bruskov (Лев Брусков),Russia,985
Hisashi Imai,Japan,985
Livia Kleiner,USA,985
Prerak Gada,India,985
Ben Wakelin,Australia,985
Mateusz Cichoracki,Poland,984
Jinyu Zhang (张锦誉),China,984
Jakub Hamkało,Poland,984
Chris Sambrooks,Australia,984
Tom Noble,Australia,984
Siyuan Liu (刘思源),China,983
Brian Nguyen,Australia,983
Jackson Abbott,Australia,983
Maciek Kozar,Poland,983
Krystian Załuski,Poland,983
Samuel Fang,USA,983
Logan Day-Richter,USA,983
Hongrun Li (李虹润),China,982
Aaron Spiller,Australia,982
Kelian Zhang,Netherlands,982
Shengyuan Ye (叶梓熠),China,982
Roman Ponikarovskiy,Russia,982
Ruihang Xu (许瑞航),China,982
Dmitry Kudryashov (Дмитрий Кудряшов),Russia,982
Guanbo Wang (王冠博),China,981
Yaxing Wang (王亚兴),China,981
Martin Zhang,China,981
Dániel Varga,Hungary,980
Tan Yong Jie,Malaysia,980
Oliver Drew,Australia,980
Ian Holmes,Netherlands,980
Luis Kleinheinz,Germany,980
Yue Gao (高越),China,980
Jason Ostdiek,USA,980
Zhenyu Wang (王振宇),China,980
Piyush Kothari,India,979
