Tao Sun (孙涛),China,826
Ziyu Wu (吴子钰),China,824
Lucca Emmanuel Pineli Simões,Brazil,823
Adam Marcellus Kelly,USA,821
Richard Yiheng Tao,New Zealand,821
Kaloyan Galabinov,Bulgaria,821
Tomohiro Kobayashi (小林知広),Japan,819
Kanting Shi (史勘霆),China,819
Haijun Tan (谭海俊),China,818
Jaime Aguilera,Chile,818
Chris Deng,USA,817
Angel Armando Jaime Sánchez,Mexico,817
Sami Rahman,Bangladesh,817
Kim Roger Høyland Larsen,Norway,817
Kam Chor Kin (甘楚健),China,817
Mahith Bandi,USA,816
Ilya Sokolov,Russia,816
Erik Zimmermann,Germany,815
Jode Brewster,Australia,814
Farid Mikhailov,Kazakhstan,814
Jane Behrle,USA,814
Dylan Wang,Canada,814
Kevin Hays,USA,813
Changxin Guo (郭昌鑫),China,813
Andrew Y. Feng,USA,812
Ivar Strangstadstuen,Norway,812
Rafik Sarwat Naeem Ragheb,Egypt,812
Dawid Wójcik,Poland,812
Jakov Ljubicic,Serbia,811
Sameer Aggarwal,USA,811
Isaac Wells,Australia,810
Erik Akkersdijk,Netherlands,807
Max Siauw,USA,807
Mikołaj Zubowicz,Poland,807
Jérôme Carlier,Belgium,806
Jonathan Charlesworth,Australia,806
Orkun Efe Dahar,Turkey,806
Elyas Eyou,New Zealand,806
Taosif Amin Sahil,Bangladesh,805
Joel Cetra,Germany,805
Katie Hull,USA,804
Jeann Valdez,Australia,803
Ryan Yasinko,Canada,802
Karina Ermakova (Карина Ермакова),Russia,801
Daniel Karnaukh,USA,800
Daniel Wallin,Sweden,800
Jaden Burkhardt,USA,799
Fabian Löhle,Switzerland,799
Przemysław Kruczek,Poland,799
Yung-Hung Cheng (鄭永鴻),Taiwan,799
Cheng-Ru Yang,New Zealand,798
DongSu Park (박동수),Korea,798
Yap Jia Yang,Malaysia,798
Sheldon Rego,India,798
Jihao Huang (黄继豪),China,798
Leo Hock-Morris,Australia,795
Ivan Li Ka Leong (李嘉亮),Hong Kong,795
Matthew Sieredzinski,Australia,795
Patrick Ponce,USA,794
Hubert Gontarczyk,Poland,794
Jan Bentlage,Germany,793
