name,country,555bf
Conan Mo,Australia,996
Antoni Kingston,Poland,969
Adrian Dębski,Poland,956
Michael Tripodi,Australia,949
Yinhao Ding,Australia,937
Joshua Hounslow,Australia,936
Jonathan Charlesworth,Australia,934
Leon Tran,Australia,917
Benjamin Paul,Australia,902
Swami Srinivasan,Australia,882
Isaac Wells,Australia,865
Jhasmani Oxa Lopez,Bolivia,856
Tom Stanton-Barnett,New Zealand,853
Brandon Poulton,United Kingdom,848
Elliott Kobelansky,Canada,845
Alex Taylor,New Zealand,841
Li-Wei Wu (吳立偉),Taiwan,832
Haozhen Ding (丁昊桢),China,828
Pedro Henrique de Jesus Silva,Brazil,822
Teruki Tamura (田村旭輝),Japan,821
Daniel Anker Hermansen,Denmark,819
Jens Grieme,Germany,812
Arkadiusz Żynel,Poland,807
Aaron Spiller,Australia,802
Daniel Wallin,Sweden,799
Wilfrid Py,France,799
Callum Hales-Jepp,United Kingdom,796
Michał Wroński,Poland,791
Marcos Ferreira Semolini,Brazil,789
Chenhao Sun (孙晨皓),China,784
Aneurin Hunt,New Zealand,783
Yuki Yamamoto (山本祐輝),Japan,783
Yuri de Oliveira,Brazil,782
Natanael Lundberg,Sweden,781
Christian Angelo Araneta Naguio,Philippines,774
Bo-Yu Lin (林柏佑),Taiwan,772
Alberto Arturo Ayllón Bustos,Bolivia,772
Stanley Chapel,USA,771
Kerry Creech,USA,769
Martin Vædele Egdal,Denmark,767
Jan Bentlage,Germany,763
Cheng Hiu Yeung (鄭曉洋),Hong Kong,760
Naoki Tani (谷直輝),Japan,759
Wenjie Xu (徐文杰),China,759
Zachary Barrus,USA,759
Witali Bułatow,Poland,756
Jeyamurugesh Jeyaraj,India,755
Joseph Williams,United Kingdom,754
Jonas Rongé,Belgium,746
Jason White,USA,746
Vianne Chang,Canada,743
Zhe Wang (王哲),China,742
Dominik Kobinski,Poland,741
Timo Norrkniivilä,Finland,738
Luiz Fellipe Oliuza Leal Silva,Brazil,738
Toma Kishimoto (岸本到馬),Japan,736
Diego Brizuela Crespo,Mexico,735
Gleiciano Cosmo Santos,Brazil,735
Helmer Ewert,Sweden,734
Victor Tang Yao Jun (湯曜駿),Hong Kong,732
Sebastian Outh-Aut,Australia,728
Lennon Hughes,Australia,728
Hannes Müller,Germany,725
Caleb Hall,New Zealand,725
Thor Muto Asmund,Denmark,725
Luke Heath-Edwards,New Zealand,724
Cheung-Hao Tu,United Kingdom,723
Frederico Canal Gomes,Brazil,719
Daniel Atlas,Israel,718
Karol Piskorek,Poland,717
Georel Ulangkaya,Philippines,716
Mikołaj Salamon,Poland,711
Hiroto Fujita (藤田浩斗),Japan,710
Igor Tarasov (Ігор Тарасов),Ukraine,708
Pedro Luiz Ferreira Pires,Brazil,707
Jack Cai,Australia,706
Serhii Mormul (Сергій Мормуль),Ukraine,705
Oleg Gritsenko,Russia,705
Paweł Duraj,Poland,704
Zeke Mackay,USA,704
Abdullah Gulab,Pakistan,703
Shivam Bansal,India,702
Chen-Pin Sun (孫振斌),Taiwan,702
DongJae Lee,Korea,701
Ben Keogh,Ireland,696
Charley Abcouwer,Netherlands,691
Cedric Meysing,Germany,690
Liam Highducheck,Australia,689
Wayne Pi,Taiwan,688
Dieter Amberger,Austria,686
Max Siauw,USA,684
Modest Podzolkin,Ukraine,683
Owen Widdis,USA,683
Viktor Zenk,Sweden,682
Syougo Kamo (加茂翔吾),Japan,682
Kamil Przybylski,Poland,681
Gabriel Barrios,Guatemala,681
Abhijat Sahu,India,680
Ernur Ersayynov,Kazakhstan,679
Niklas Thomßen,Germany,677
István Kocza,Hungary,673
Peri Le Dain,USA,672
Manuel Gutman,Argentina,672
Hill Pong Yong Feng,Malaysia,670
Jakub Lorens,Poland,668
Ahmad Naufal Hakim,Indonesia,665
Sergio de la Mora García,Mexico,663
Yurii Riabov (Юрій Рябов),Ukraine,661
Masato Fujiwara (藤原正人),Japan,658
Jaden Lim,Philippines,656
Dan Alexandru Cechi,Romania,656
Jan Riedl,Czech Republic,654
Jason Ostdiek,USA,652
Samuel Hernandez Castro,Mexico,652
Gert van Hout,Netherlands,648
Dmitrii Saukov (Дмитрий Сауков),Russia,647
Jose Polorhenzo Aquino,Philippines,647
Emile Compion,South Africa,645
David Tanasković,Bosnia and Herzegovina,645
Paul Taylor,USA,645
Matthew Bidwell,USA,644
William Phommaha,France,643
Pacifico Rodriguez,Switzerland,642
Clarence Kinsey G. Orozco,Philippines,641
Abhijeet Ghodgaonkar,India,641
Sebastiano Tronto,Italy,640
Callum Goodyear,United Kingdom,639
Axel Flordal,Sweden,638
Armando Dian,Malaysia,638
Quinn McGagin,USA,637
Ilya Kerymov (Ілля Керимов),Ukraine,637
Anuar Miguel Abib Onofre,Brazil,637
Ethan Pride,Australia,635
Oliver Frost,United Kingdom,635
Yuhei Takagi (高木佑平),Japan,633
Fletcher Berry,USA,632
Cale Schoon,USA,631
Jae Park,USA,630
Lorenzo Mauro,Italy,627
Vicenzo Guerino Cecchini,Brazil,627
Oliver Fritz,Germany,627
Beomseok Ryu (류범석),Korea,627
Jacob Eoin Gipp,Canada,626
Grzegorz Łuczyna,Poland,625
Theodor Nordstrand,Sweden,624
Dominik Obara,Poland,623
Ang Chin Zhen (洪靖程),Malaysia,623
Joel Hernández,El Salvador,623
Igor Aipkin,Uzbekistan,621
Dominik Fürer,Switzerland,621
Dylan Swarts,South Africa,621
Davis Pogor,USA,620
Vincent Hartanto Utomo,Indonesia,618
Jin Young Kim (김진영),Korea,617
Tomoya Firman,Australia,616
Jakob Gunnarsson,Sweden,616
Arvind Manohar,USA,614
Elliot Wiecek,USA,613
Braden Richards,USA,610
Keiichiro Taira (平佳一郎),Japan,609
Stephen Bohner,USA,607
Assylkhan Meirkhanov (Асылхан Мейрханов),Kazakhstan,607
Tom Nelson,New Zealand,605
Aoden Teo Masa Toshi,Singapore,604
Damir Zhanataev (Дамир Жанатаев),Kazakhstan,601
Simone Ohler,Germany,599
Ben Erwin,USA,599
Yutao Guo (郭宇韬),China,598
Mengfei Shen (沈梦非),China,596
Richard Anthony Parada,USA,594
Daniel Alejandro Torres Moreno,Colombia,594
Shenghai Fang (方胜海),China,593
András Gelencsér,Hungary,593
Muhammad Saleh Imtiaz,Pakistan,593
Marco Edoardo Cittar,Italy,592
Mykhailo Lagoida (Михайло Лагойда),Ukraine,591
Nipun Das,USA,590
Roman Strakhov,Russia,589
Takayuki Tanaka (田中隆喜),Japan,586
Ben Streeter,USA,586
Fabian Settelen,Switzerland,585
Simon Kelly,Ireland,584
Tiffany Soh (蘇明珠),Malaysia,584
Sergio Bulux,Guatemala,582
Marcus Moberg,Sweden,581
Joel Cetra,Germany,580
Grigorii Alekseev,Russia,580
Chunjie Shan (单淳劼),China,580
Mohammed Aiman Koli,India,578
Arthur Garcin,France,578
Valentin Lanz,Switzerland,577
Nevins Chan Pak Hoong (陈百鸿),Malaysia,577
DongSu Park (박동수),Korea,576
Kit Clement,USA,576
Raluca Ioana Grigoraș,Romania,576
Joshua Feran,USA,575
Alexey Kislovskiy,Russia,574
Jang Seok Won (장석원),Korea,573
Andy Nicholls,United Kingdom,572
Yunhao Lou (娄云皓),China,566
Graham Siggins,USA,566
Brandon Harnish,USA,566
Oliver Wheat,United Kingdom,565
Ainesh Sevellaraja,Malaysia,564
Satoshi Kodama (児玉聡),Japan,562
Peter Weyers,USA,560
Alessandro Nicolì,Italy,559
Fernando Israel Zúñiga Macedo,Mexico,557
Andrew Lee,USA,556
Harry Savage,United Kingdom,554
Lucas O'Connell,New Zealand,554
Ethan Pan,New Zealand,553
Alexandre Henrique Afonso Campos,Brazil,551
Avshalom Sharavani,Israel,549
Kacper Paweł Dworak,Poland,547
Mikołaj Morawski,Poland,547
Konstantin Jaehne,Germany,546
Sukant Koul,India,545
Angelo Fontanini Lamure,France,544
Jia-Hong Lu (陸嘉宏),Taiwan,544
Ng Jia Quan (黄佳铨),Malaysia,543
Marharyta Dovbii (Маргарита Довбій),Ukraine,542
Dawid Wójcik,Poland,542
Marco Yang,Canada,542
Yang Li (李扬),China,541
Aedan Bryant,USA,541
Phisher Winn,USA,540
William Jensen,Sweden,540
Antonio Isaías Martínez Santos,Mexico,540
Pamulapati Sai Teja,India,539
Jolo Endona,Philippines,538
Natsuki Ishizawa (石澤夏希),Japan,538
James Quinn,USA,536
Raymond Goslow,USA,536
Alexis Fedeler,Germany,533
Timur Kabizhanov (Тимур Кабижанов),Kazakhstan,532
Hongyuan Tang (唐鸿远),China,531
Egor Besedin (Егор Беседин),Russia,529
Levente Baráth,Hungary,529
Zixing Wang (王子兴),China,529
Grzegorz Pacewicz,Poland,526
Jack Pfeifer,USA,524
Abhimanyu Singhal,India,523
Gianluca Placenti,Italy,522
Daniel James,India,521
Yoni Strassberg,Israel,519
Ryan Pilat,USA,518
Cary Huang,USA,517
Bertie Longden,United Kingdom,516
Myles Jarman,Australia,515
Liew Yee Voon (劉倚文),Malaysia,515
Yunqi Ouyang (欧阳韵奇),China,515
Brendan Bakker,USA,515
Eason Siew Ee Son (蕭奕晨),Malaysia,514
Wilmer Torres,Guatemala,514
Tommy Cherry,USA,513
Henri Gerber,Germany,513
Lev Golub (Лев Голуб),Ukraine,513
Santino Maiorino,USA,513
Naoto Shinagawa (品川直登),Japan,513
Sam Adams,USA,512
Nikita Ovsyannikov (Никита Овсянников),Russia,512
Alexander Botz,Germany,512
Maxime Madrzyk,France,511
Hyeok Yang (양혁),Korea,510
Calvin Nielson,USA,510
Kiagus Ahmad Haikal Hafif Hamidy,Indonesia,510
Hari Anirudh,India,509
Manuel Bühler,Switzerland,509
Enoch Gray,USA,509
Mike Hughey,USA,508
Mikus Lembergs,Latvia,508
Ivan Miletić,Serbia,508
Kim Min (김민),Korea,507
Kristian Holme,Norway,507
Jakub Drobný,Slovakia,506
Tomas Kristiansson,Sweden,505
Andrii Lushpak (Андрій Лушпак),Ukraine,505
Tom Maguire,Australia,505
Jiachi Han (韩佳池),China,505
Farid Mikhailov,Kazakhstan,505
Zheng Shen (申正),China,504
Danang Adianto,Indonesia,504
Ivan Osovik,Russia,503
Brock Hamann,Australia,503
Anonymous,Canada,503
Donna Krueger,USA,503
Grzegorz Jałocha,Poland,502
Clément Cherblanc,France,502
Darren Siew Ee Yaang (蕭奕暘),Malaysia,501
Ivan Krueger,USA,501
Daniel Goodman,USA,501
Martin Brath,Germany,500
Pedro Trujillo García,Mexico,500
Jason Kochan,USA,499
Matthew Dickman,USA,499
Jareth Soong,Singapore,499
Haijun Tan (谭海俊),China,498
Evan Liu,USA,498
Noah Kraft,Germany,496
Jesús Fernando Castelán Gómez,Mexico,496
Emilio Alberto Rodríguez Jiménez,Mexico,496
Yifan Wang (王逸帆),China,495
Ting He (禾廷),China,495
Jaemin Chang (장재민),Korea,495
Kaijun Lin (林恺俊),China,495
Vilius Ribinskas,Lithuania,495
Yikuan Kan (阚亦宽),China,492
Nicholas Patterson,Canada,492
Cole Campbell,New Zealand,492
Zachary Zurawski,USA,492
AJ Kamal,USA,491
Martin Fronescu,Romania,491
Kristian Gil Caragan,Philippines,490
Tommy Szeliga,USA,488
Will Belote,USA,487
Oto Aoyagi (青柳吟),Japan,487
Connor Yungbluth,USA,487
Luboš Bartík,Czech Republic,486
Jacob Ambrose,USA,486
Georgiy Titov (Георгій Тітов),Ukraine,485
Eben Quenneville,USA,485
Gianfranco Huanqui,Peru,485
Minyang Shi (时旻扬),China,484
David Vujasić,Croatia,482
Einar Kvam Lundberg,Norway,481
Matteo Chancerel,France,481
Lee Stanton-Barnett,New Zealand,480
Raiyan Abdulrub,Canada,480
Walker Welch,USA,478
David Epstein,Australia,478
Martin Maréchal,France,477
Bill Hammill,United Kingdom,477
Hannah Minas,Switzerland,477
Nikhil George,India,475
Liang Zhang (张亮),China,473
Choi Go-Ho (최고호),Korea,472
Danny SungIn Park,Korea,472
Gabriel Sargeiro Gomes de Mello,Brazil,471
Santiago Reyes Idarraga,Colombia,470
Artyom Martirosov,Russia,470
Michael Fung,Netherlands,470
Tam Quan,Australia,469
Mats Bergsten,Sweden,469
Jim Zhu,New Zealand,469
Kazutaka Watanabe (渡部和孝),Japan,469
Hasabi Sailendra,Indonesia,468
Nikhil Mande,India,468
Rowe Hessler,USA,468
Luke Van Laningham,USA,467
Xinyun Chen (陈新运),China,467
Jie Chen (陈杰),China,466
Luca Stalpers,Netherlands,465
Fabio De'Rose,Brazil,465
