name,country,333bf
Bowen Xiao (肖博文),China,1133
Adrian Dębski,Poland,1133
Martin Vædele Egdal,Denmark,1127
Kaijun Lin (林恺俊),China,1099
Kamil Przybylski,Poland,1094
Jakob Gunnarsson,Sweden,1091
Jens Haber,Germany,1087
Reid James Sungy,USA,1080
Noah Kraft,Germany,1070
Maxime Madrzyk,France,1070
Arthur Garcin,France,1062
Michał Bogdan,Poland,1059
Yifan Wang (王逸帆),China,1053
Henri Gerber,Germany,1052
Jan Fonš,Czech Republic,1049
Daniel Anker Hermansen,Denmark,1046
Daniel Wallin,Sweden,1045
Bence Barát,Hungary,1044
Jonathan Blöcher,Germany,1035
Alistair Robequin,Switzerland,1027
Radomił Baran,Poland,1026
Manu Vereecken,Belgium,1023
Tommy Cherry,USA,1015
Martin Brath,Germany,1015
Timo Norrkniivilä,Finland,1008
Will Cerne,USA,1002
Yiwei Liu (刘伊玮),China,1002
Jack Cai,Australia,1000
Wilfrid Py,France,995
Stone Amsbaugh,USA,994
Timo Forsthofer,Germany,993
Brian Kan,Canada,990
Jérôme Carlier,Belgium,980
Bálint Csengő,Hungary,980
Mengfei Shen (沈梦非),China,979
Krzysztof Bober,Poland,979
Daniel Tidsey,United Kingdom,979
Yichuan Xie (谢逸川),China,979
Lorenzo Mauro,Italy,977
Marharyta Dovbii (Маргарита Довбій),Ukraine,977
Jan Bentlage,Germany,973
Yucheng Chen (陈裕铖),China,969
Olivier Vos,Netherlands,969
Igor Aipkin,Uzbekistan,969
William Jensen,Sweden,968
Ethan Pan,New Zealand,968
Sukant Koul,India,967
Sebastiano Tronto,Italy,967
Charley Abcouwer,Netherlands,966
Adam Marcellus Kelly,USA,965
Jonathan Pang,Australia,964
Volodymyr Korol (Володимир Король),Ukraine,961
Vladimir Sergeev,Russia,955
Jia-Hong Lu (陸嘉宏),Taiwan,953
Jan Riedl,Czech Republic,952
Jakov Srečković,Croatia,952
Ben Stokes,United Kingdom,951
Hannes Müller,Germany,950
Tianyu Zhao (赵天愉),China,948
Michael Tripodi,Australia,948
Victor Chenu,France,946
Bartłomiej Owczarek,Poland,945
Quinn Maier,USA,944
Yahia Ahmed Abdallah Elhawy,Egypt,943
Mikołaj Salamon,Poland,942
Manuel Gutman,Argentina,941
Minhyun Kim (김민현),Korea,940
Gianfranco Huanqui,Peru,933
Fletcher Berry,USA,933
Mohammed Aiman Koli,India,932
Hassan Khanani,USA,932
Feliks Zemdegs,Australia,931
Roman Strakhov,Russia,931
Rémi Esturoune,France,928
Jeff Park,USA,928
Jae Park,USA,928
Max Siauw,USA,927
Olli Vikstedt,Finland,927
Andrii Lushpak (Андрій Лушпак),Ukraine,927
Corentin Thomée,Belgium,926
Arkadiusz Żynel,Poland,925
Valentin Lanz,Switzerland,924
Noah Swor,USA,924
Leví Sánchez Nunura,Peru,923
Anna Postonohova (Анна Постоногова),Ukraine,923
Stanisław Szyszka,Poland,923
Thomas Hartley,Australia,919
Pavel Mishin (Павел Мишин),Russia,918
Kai-Wen Wang (王楷文),Taiwan,916
Mikołaj Morawski,Poland,915
Bernhard Brodowsky,Germany,914
Hongjie Zhang (张鸿杰),China,914
Kaydee Leek,Australia,913
Cristhian Gaitán Guzmán,Colombia,911
Phillip Maxwell,Indonesia,910
Gang Yang (杨港),China,910
Dong Zhu (朱栋),China,909
Tom Nelson,New Zealand,909
Haozhen Ding (丁昊桢),China,909
Thierry Boisivon,France,908
Cheng Zhang (张成),China,907
Jode Brewster,Australia,907
Derek McNee,USA,906
Shivam Bansal,India,906
Swami Srinivasan,Australia,905
Max Hilliard,USA,905
Wade Hawkins,USA,905
Mattia Rigo,Italy,903
Jakub Dłużak,Poland,901
Karol Piskorek,Poland,900
Akash Rupela,India,898
Ahmed Rady,Egypt,898
Graham Siggins,USA,898
Keenan Johnson,USA,897
Matej Marković,Croatia,895
Dylan Wang,Canada,895
Joel Tan,Singapore,895
Alex Taylor,New Zealand,895
Jaxon Foster,Australia,894
David Pearce,Australia,894
Dwyane Ramos,New Zealand,893
Jonas Rongé,Belgium,893
Evan Liu,USA,893
Liam Chen,USA,892
Zachary Tang,Australia,891
Ibrahim Ammar,Tunisia,891
Viktor Zenk,Sweden,890
Radosław Opoka,Poland,889
Modest Podzolkin,Ukraine,889
Braden Richards,USA,887
Alaik Bhatia,India,887
Philippe Schwartz,Luxembourg,887
Yunqi Ouyang (欧阳韵奇),China,885
Nikolay Masson (Николай Массон),Russia,885
Enzo Bruder-Jeannot,France,885
Neel Gore,USA,885
Tomasz Cepil,Poland,884
Jens Grieme,Germany,884
Liam Sweet,Australia,884
Roman Samsonov,Australia,883
Stanley Chapel,USA,883
Brendan Bakker,USA,882
Dmitrii Saukov (Дмитрий Сауков),Russia,881
Thomas Reinke,USA,880
Chenfei Ke (柯陈飞),China,879
Jason Ostdiek,USA,878
Jindřich Heissiger,Czech Republic,878
Cedric Meysing,Germany,878
Callum Prowse,New Zealand,877
Saiyam Jain,India,877
Océane Acher,France,877
Juan Pablo Rodriguez,Colombia,875
Angel Martinez,Peru,875
Oleg Gritsenko,Russia,875
Andrew Antoine,Egypt,875
Bahushruth Mitte,Australia,874
Kevin Matthews,Canada,873
Wojciech Rogoziński,Poland,873
Andrei Solntsev,Estonia,873
Yinhao Ding,Australia,872
Sebastian Owieczko,Poland,872
Hongzhuang Ren (任洪壮),China,871
Joseph Williams,United Kingdom,871
Pavel Aipkin,Uzbekistan,870
Matthew Prestwich,United Kingdom,870
Mihály Horváth,Hungary,870
Jake Klassen,Canada,869
Xinghua Zhang (张兴华),China,869
DongJae Lee,Korea,869
Charlie Harrison,United Kingdom,869
Simone Ohler,Germany,868
Luca Stalpers,Netherlands,867
Raphael Riener,Austria,867
Farid Mikhailov,Kazakhstan,866
Andrey Koposov (Андрей Копосов),Russia,866
Jason White,USA,865
Luc Rabeyrin,France,863
Guanqun Wei (魏冠群),China,863
Leonardo Pranadyar,Indonesia,861
Joanna Hołdakowska,Poland,861
Đỗ Anh Tuấn,Vietnam,861
Oleksandr Khimich (Олександр Хіміч),Ukraine,861
Lucas O'Connell,New Zealand,861
Elliott Kobelansky,Canada,861
Vladimir Okenchits,Russia,860
Anass Doublal,Morocco,859
Danylo Harbar (Данило Гарбар),Ukraine,859
Tobias Peter,Switzerland,859
Michał Cichocki,Poland,858
Zeke Mackay,USA,858
Kit Clement,USA,858
Guoliang Wang (王国梁),China,857
Zixuan Wang (王子轩),China,857
Zhaoxuan Ning (宁照轩),China,856
Timothy Loh,Australia,856
Eddy Deturche,France,855
Kacper Paweł Dworak,Poland,855
Gert van Hout,Netherlands,855
Wayne Pi,Taiwan,855
Benjamin Gilbert,Australia,853
Zhuoli Cai (蔡卓砾),China,853
Sergey Marin (Сергей Марьин),Russia,853
Jake Domb,New Zealand,852
Daniel James,India,851
Fernando Israel Zúñiga Macedo,Mexico,851
Callum Hales-Jepp,United Kingdom,851
Mohamed Hany,Egypt,850
Nikhil Soares,India,850
Oscar Wong Jing Yee (王敬宇),Malaysia,849
Jakub Hercik,Czech Republic,848
Jefferson Andres Durango Argaez,Colombia,848
Marcus Kamen,USA,848
Marwen Berrayana,Tunisia,847
Yongtao Sun (孙永涛),China,847
Angus Cosgrove,Australia,847
Abhijeet Ghodgaonkar,India,847
Xin Shi (石欣),China,846
Pierre-Xavier Poncet,France,845
Nikita Ovsyannikov (Никита Овсянников),Russia,845
Antu Coronel,Argentina,843
Rafał Sądek,Poland,843
Tinghui Wu (吴霆辉),China,842
Arnaud Capitant,France,841
Lucas Maillard,France,840
Sean Hartman,USA,840
Sebastian Outh-Aut,Australia,838
Cale Schoon,USA,837
Kyeongmin Choi,Korea,837
Nikita Kabanin (Никита Кабанин),Russia,837
Rodrigo Zarate,Peru,836
Harry Savage,United Kingdom,835
Zishuo Zhang (张子硕),China,835
Farrukh Isakov (Фаррух Исаков),Uzbekistan,832
Yoni Strassberg,Israel,832
Dániel Varga,Hungary,832
Berta García Parra,Spain,832
Mark Boyanowski,USA,831
Fryderyk Janiak,Poland,831
Heejun Kim (김희준),Korea,831
Lev Golub (Лев Голуб),Ukraine,831
Ben Streeter,USA,830
Ashley Foster,New Zealand,830
Maxim Chechnev,Russia,830
Oto Aoyagi (青柳吟),Japan,828
Oliver Fritz,Germany,828
Zixing Wang (王子兴),China,828
Hill Pong Yong Feng,Malaysia,828
Haijun Tan (谭海俊),China,828
Lim Jun Heng,Singapore,828
Jayden McNeill,Australia,828
Jeremie Boulic,France,828
Nathan Phillips,USA,827
Zabir Bin Moaj,Bangladesh,827
Anton Mikhailik (Антон Михайлик),Russia,827
