name,country,minx
Manuel Prieto de Antón,Spain,793
Chelsea Watts,Australia,793
Enzo Bruder-Jeannot,France,793
Nathan Daviaud,France,793
David Suit,USA,792
Daniel Yakhkind,Israel,792
Ying Lin (林颖),China,792
Joshua Broderick Phillips,USA,792
Ethan Hickman,Australia,792
Sameer Sethuram,USA,792
Hua-Ting Lee (李華庭),Taiwan,792
Sergey Mironchenkov,Russia,792
Dylan Hughlett,USA,791
Kit Clement,USA,791
Tony Nguyen,Vietnam,791
Da-Yeong Kim (김다영),Korea,791
Roman Povolotskii,Russia,791
He-Ping Zheng (鄭和平),Taiwan,791
Carter Thomas,USA,791
Rishi Raj,USA,790
Mohamed Elsayed Ali,Egypt,790
Alexey Yarygin,Russia,790
Aamir Saifee,India,790
Daniyal Suleymen (Даниял Сулеймен),Kazakhstan,790
Nicolás Irenco Peña Henríquez,Chile,790
Yu Feng (冯煜),China,790
Jolina Chen,Australia,789
Jan Riedl,Czech Republic,789
Andrew Nathenson,USA,789
Giovanni Contardi,Italy,789
Lir Ukaj,France,789
Max Walaszek,USA,789
Nicolás Truijens,Switzerland,789
Pavel Galaktionov,Russia,789
Daniel Quach,New Zealand,789
Egdar Castillo,Panama,789
Tobiasz Augustyn,Poland,788
Serena Jones,New Zealand,788
Yuheng Zhu,China,788
Frederik Løchte,Denmark,788
Chih-Chuan Yang (楊智全),Taiwan,788
Jeidun Hastriter,USA,788
Amir Murzakarimov (Амир Мурзакаримов),Kazakhstan,787
Ivan Benedict Lee Yap,Philippines,787
Wonbao Kua,Australia,787
Nguyễn Ngọc Thịnh,Vietnam,786
Qiang Ma (马强),China,786
Luis Mateo Peñuela Jara,Colombia,786
Rodrigo Alves Miranda,Brazil,785
Maxen Morrison,Canada,785
Anderson Encarnación Cabrera,Dominican Republic,785
Mert Sağdınç,Turkey,785
Tommy Szeliga,USA,785
Anqi Dai (戴安琪),China,785
Miron Solopov (Мирон Солопов),Russia,785
Nestor Sokhan,USA,785
Bauyrzhan Zhandossuly (Бауыржан Жандосұлы),Kazakhstan,785
Mengfei Shen (沈梦非),China,785
Maria Lebedeva (Мария Лебедева),Russia,785
Brennen Lin,Canada,785
Ian Holmes,Netherlands,785
Harry Taylor,United Kingdom,785
David Edwards,Czech Republic,784
Obed Gamaliel Ortíz Piña,Mexico,784
Cameron Miller,USA,784
Ben Baron,Israel,784
Eshiel Narayanan,Australia,784
Rami El Mallah,Lebanon,784
Malte Ihlefeld,Germany,784
Vaibhav-Jai Ravipati,Australia,784
Jose Alberto Rodriguez Nuñez,Mexico,784
Sandy Aaron Jones,France,783
Qingpo Niu (牛青坡),China,783
Deniz Han Bilyay,Turkey,782
Ezra Hirschi,Switzerland,782
Michael Larsen,USA,782
Zack Hall,Australia,782
Levente Swanepoel,New Zealand,782
Jaidon Zain Adams,United Kingdom,782
Vincent Chen,USA,781
Jonah Blakeley,Australia,781
Levi Cordeiro do Vale Menezes,Brazil,781
Lee Stanton-Barnett,New Zealand,781
Mikhail Novoselov,Russia,781
Lucas Jacobs,Canada,781
Chuokai Liu (刘逴锴),China,780
Gael Augusto Lapeyre,Argentina,780
Chloé Demuynck,France,779
Arush Singh,India,779
Matthew Sieredzinski,Australia,779
Josiah Thomas,Canada,779
James Hildreth,USA,779
Miika Ogorevc,Canada,779
Yerkin Assylbek,Kazakhstan,779
Benjamin Wei,USA,779
Jacob Ambrose,USA,779
Vishal Mohanraju,India,779
Isaac Macdonald,New Zealand,778
Dias Murzalin (Диас Мурзалин),Kazakhstan,778
Kasper Jansson,USA,778
Andrey Mrinskiy (Андрей Мринский),Russia,778
Shukrullo Ibragimov,Tajikistan,777
Anh H. Nguyen,Vietnam,777
Ruei-Ying Huang (黃睿穎),Taiwan,777
Liam Highducheck,Australia,777
Jerome Hotchkiss,USA,777
Omar Mohamed Said Mohamed Hassan Elgammal,Egypt,777
Aleksey Zuev,Russia,777
Dmitry Zvyagintsev,Russia,776
Ainesh Sevellaraja,Malaysia,776
Raymond Goslow,USA,776
Levy Fernandes Pereira,Brazil,776
Piotr Olszewski,Poland,776
Jonah Nicolaou,Australia,775
Filip Nilsen,Norway,775
Rahul Venkatesan,India,775
Joshua Zhang,USA,775
Brandon Nunez,USA,775
Artem Permyakov (Артём Пермяков),Russia,775
Jakub Hercik,Czech Republic,774
Vincent Contini,Australia,774
David Calderón Arce,Costa Rica,774
Benjamin Blaikie,New Zealand,774
Oleksandr Livkovych (Олександр Лівкович),Ukraine,774
Anton Reutov (Антон Реутов),Russia,774
Jorge Augusto Siqueira Pinto,Brazil,774
Raúl Martínez Redondo,Spain,774
Mohammad Siwom Chowdhury,Bangladesh,774
Xianchen Liu (刘显臣),China,774
Edbert Sim,Australia,774
Mikhail Kharitonov,Russia,774
Dominik Fürer,Switzerland,773
Rasmus Stub Detlefsen,Denmark,773
Aleksandar Dukleski,North Macedonia,773
Paxton Bennison,Australia,773
Eva Kato,USA,773
Marcel Nycz,Poland,773
Riccardo Pilan,Italy,773
Mark Bennis,Netherlands,773
Jonathan Mauroy,Belgium,772
Ryan Silva,USA,772
Chen-Yu Wang (王晨羽),Taiwan,772
Robert G. Pearce IV,USA,772
Isaac Myers,USA,772
Jingming Xu (许菁铭),China,772
Jinseo Hong,Korea,772
Ali Antar,Egypt,772
Benito Sebastian Flores Vázquez,Mexico,772
Ekaterina Soboleva (Екатерина Соболева),Russia,772
Bryan Eng,Australia,772
Alexander Botz,Germany,771
Laura Mellier,Switzerland,771
Tiannan Wang (王天南),China,771
Will Newhoff,USA,771
Nicolas Marin Urrea,Colombia,771
Lucas Cordeiro do Vale Menezes,Brazil,770
Yasa Zaheen,Bangladesh,770
Zachary Giesken,USA,770
Mark Popov (Марк Попов),Russia,770
Teodor-David Soporan,Romania,770
Gijs Peletier,Netherlands,770
Luigi Soriano,USA,770
Lachlan Stephens,Australia,770
Dylan Swarts,South Africa,770
Denis Gromov (Денис Громов),Russia,770
Samir Piazzano,Italy,770
Nick Agatyn,Australia,769
Vitor Wagner Abreu,Brazil,769
Cooper Cutcliffe,Australia,769
Jorge Rafael Castañeda Sánchez,Mexico,769
Lucinda Zhou,USA,769
Paul Watson,Ireland,769
Tripp Peters,USA,769
Carson Deibert,Canada,769
Declan James Douglas McLennan,Australia,769
Valeriy Mankevich (Валерий Манкевич),Russia,768
Jakub Grzyb,Poland,768
Dagne Poveda,Costa Rica,768
Simone Ohler,Germany,768
Joseph C. Browning,USA,768
Clyde Dencer Tutor,Philippines,767
Maria Zhits,Russia,767
Jacob Watters,New Zealand,767
Hector David Martinez Argaez,Colombia,767
Oliver Fisk,United Kingdom,767
Guy Taragano,Israel,767
Arifumi Fushimi (伏見有史),Japan,767
Moksh Patel,India,766
Luke Robles,USA,766
Silas Starling,USA,766
Hazel Moises Ruiz Gutierrez,Mexico,766
Claudio Matias Cancino Bruna,Chile,766
Yurii Hnidko (Юрій Гнідко),Ukraine,765
Benjamin Shurmer,Australia,765
Nicholas Roberts,USA,765
Ostap Skakun (Остап Скакун),Ukraine,765
Chance J. Lockwood,USA,765
Chia-Jui Lin (林家睿),Taiwan,765
Mikhail Glazov (Михаил Глазов),Russia,765
Vasily Bolshakov (Василий Большаков),Russia,765
Ertugan Mulkubai (Ертуган Мулькубай),Kazakhstan,765
