name,country,minx
Cian-Jyun Yang (楊謙君),Taiwan,932
Ryan Wu,Canada,932
Timur Imanov,Russia,932
Tommy Kiprillis,Australia,932
Ernest Seroczyński,Poland,931
José David Rendón Martínez,Colombia,931
Aidan McKenzie,USA,931
Kyle Nguyen,USA,931
Ioannis Papadopoulos,Greece,931
Junqi Feng (冯骏骐),China,929
Qi Mi (米琦),China,929
Roy Lee,USA,929
Louis Cormier,Canada,929
William Holloway,Australia,927
Mia Sponseller,USA,927
Linus Laurén,Finland,926
David Pearce,Australia,925
Jack Mennie,Australia,925
Matěj Grohmann,Czech Republic,924
Ozer Uysal,Australia,923
Krzysztof Boguszewski,Poland,923
Trần Đăng Quang,Vietnam,923
Ray Bai,USA,923
Jeff Miao,China,922
Hernán Levano Villalobos,Peru,921
Szymon Malinowski,Poland,921
Dylan Miller,USA,920
Jeann Valdez,Australia,920
Nate Mochrie,New Zealand,920
Livia Kleiner,USA,920
Choi Hyo-jin (최효진),Korea,919
Benjamin Gottschalk,USA,919
Igor Tarabrin (Игорь Тарабрин),Russia,919
Mattia Furlan,Italy,919
Szymon Brzana,Poland,918
David McLean,Australia,918
Sean Hartman,USA,917
Cass Hopkins,Australia,917
Rémi Perrin,France,917
Rafał Sądek,Poland,915
John Bacouël,France,915
Jakub Hamkało,Poland,915
Michael Eleftheriades,Cyprus,914
Daniel Gutierrez,USA,914
Adam Hlavín,Czech Republic,914
Michał Mlostek,Poland,914
Chenhao Sun (孙晨皓),China,913
Islam Kitiev,Russia,912
Heinrich de Lange,South Africa,912
Erkin Can,Turkey,912
Sukant Koul,India,911
Leeah Gard-Spaulding,Australia,911
Ethan Basanov,Canada,911
Roan Paone,Canada,911
Mathias Søndergaard Byrne,Denmark,911
Ömer Faruk Bircan,Turkey,911
Zhao-Zhe Zhong (鍾肇哲),Taiwan,911
Jeongyoon Yeo,Korea,911
Chuhao Guo (郭楚昊),China,911
Alexis Rodrigo Cazu Mendoza,Mexico,910
Tom Stanton-Barnett,New Zealand,910
Rami Sbahi,USA,910
Dylan Baumbach,USA,910
Stanley Chapel,USA,910
Ziqi Ding,China,909
János Bereczki,Romania,909
Luke Garrett,USA,908
Maksym Oliynyk (Максим Олійник),Ukraine,908
Alvaro Haidar Ersha,Indonesia,908
Walker Welch,USA,907
Ramses Amaya,Colombia,906
John Gaynor,USA,906
Anton Smolyanyy,USA,906
Bhargav Narasimhan,India,906
Marco Rota,Italy,906
Alexey Zharikov,Russia,905
Rafał Waryszak,Poland,905
Matej Bolta,Slovenia,905
Rodrigo Cabezas,Chile,905
Yuhang Sun (孙煜航),China,905
Markus Hirvonen,Australia,904
Do Hyun Kwon (권도현),Korea,903
Ryan Glennon,Australia,903
Ryan Yasinko,Canada,903
Nguyễn Hoàng Thiên Vũ,Vietnam,903
Jesús Domínguez Matos,Peru,902
Taylor Cookmeyer,USA,902
Daniel Heberg Jørgensen,Denmark,902
Cole Campbell,New Zealand,902
Magnus Patrick Kanstrup,Denmark,901
Anvar Abdullaev,Uzbekistan,901
Chan Hui Tung (陳許瞳),Hong Kong,900
Marcos Gabriel Gomes,Australia,900
Bo-Yan Wu (吳柏彥),Taiwan,900
Matic Omulec,Slovenia,899
Eder Olivencia Gonzalez,Spain,899
Jefferson Andres Durango Argaez,Colombia,899
Hill Pong Yong Feng,Malaysia,899
Joshua Tekwie,Papua New Guinea,898
Ahmet Çınar Ablak,Turkey,898
Christian Foyle,Australia,898
Chenxiao He (何辰骁),China,898
Ahmet Haris Alimi,Turkey,897
Alex Asbery,New Zealand,897
Pavel Eroshkin (Павел Ерошкин),Russia,897
Aleksandr Beznogov,Russia,897
Carter Kucala,USA,896
Jonathan Esparaz,Canada,896
Evan Liu,USA,896
Daphne Soegijono,Indonesia,896
Dmitry Kryuzban,Russia,895
Damián Campos,Argentina,895
Ujjawal Pabreja,India,895
Ahmed Ghandoor,Egypt,894
Anthony Lafourcade,France,894
David Vujasić,Croatia,894
Nikolay Vasilyev,Russia,894
Lennon Hughes,Australia,893
Daniel Grabski,Austria,893
Elvin Thorsen,Sweden,893
Jack Stewart,USA,893
Leo Hock-Morris,Australia,892
Maxim Ilin,Russia,892
Laura Holzhauer,Germany,892
Pau Vela García,Spain,892
Erik Akkersdijk,Netherlands,891
Mikhail Kopylov (Михаил Копылов),Russia,891
Jack Pfeifer,USA,891
Ming Dao Ting,Australia,891
DongSu Park (박동수),Korea,890
Cory Yurkovic,USA,890
Tomáš Nguyen,Vietnam,889
Mohammed Aiman Koli,India,889
Fred Lang,United Kingdom,888
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,888
Phoenix Patterson,Australia,888
Asher Kim-Magierek,USA,888
Ilona Ansel,France,887
Nicolas Gertner,France,887
Hao Zhang (张昊),China,886
Matthew Lee,Canada,886
Maheran Chowdhury,Australia,886
Joshua Santiago Monterrosa Herrera,Mexico,884
Thomas Smith,Australia,884
Richard Yiheng Tao,New Zealand,884
Tyler Williams,Australia,883
Paris Dorn,Canada,883
Mark Ostrom,United Kingdom,883
Andrew Sherman,Australia,883
Daniel Karnaukh,USA,883
Serdar Özdemir,Turkey,883
Jingpeng Wu (吴劲芃),China,883
You-Jun Hsieh (謝侑峻),Taiwan,882
Evan Liu,Canada,882
James Molloy,United Kingdom,882
Tyler Howlett,USA,882
Elyas Eyou,New Zealand,882
Aquila Janoschka,Australia,881
Kyle Polage,USA,881
William Gan Wei Ren (颜伟仁),Malaysia,881
Grzegorz Chudzik,Poland,881
Zhiyuan Ma (马之元),China,881
Semen Artyukhov,Russia,881
Jose Ortiz Jr.,USA,880
Joonas Silvennoinen,Finland,880
Przemysław Rogalski,Poland,880
Tiffany Chien,USA,880
Patrick Quach,Australia,879
Christian Manuel de Lange,New Zealand,879
Riley Woo,USA,879
Vojtěch Kundera,Czech Republic,879
Sujai Shakthivel,India,879
Ivaylo Ivaylov Vichev,Bulgaria,878
Joshua Feran,USA,878
Jamie Otsu,Australia,878
Kanting Shi (史勘霆),China,878
Kristiāns Pietkuns,Latvia,877
Yexin Zhang (张业鑫),China,877
Pavlo Bondar (Павло Бондар),Ukraine,877
Danny SungIn Park,Korea,877
Piotr Kogut,Poland,876
Zak Kenny,Australia,876
Luke Burong,Australia,876
Calix Tang,USA,876
Saavar Bajaj,Australia,876
Allan Gasnier,France,875
Konstantinos Parissis,Greece,875
Richard Jay S. Apagar,Philippines,875
Lucas Kuczaj,Canada,875
Julian Bürgi,Switzerland,874
Jared Stinson,USA,874
Aedan Bryant,USA,874
Dylan Cossin,USA,874
Chun-Xi Roan (阮淳熙),Taiwan,873
Mitchell Cretan,Australia,873
Danil Kotenkov (Данил Котенков),Russia,873
Sora Sato,Australia,873
Will Callan,USA,873
Łukasz Dubicki,Poland,873
Matthew Look,Canada,872
Arkadiusz Żynel,Poland,872
Liam Wadek,New Zealand,872
Hargun Singh Tikku,India,871
Sheng Cao (曹晟),China,871
Marco Yang,Canada,871
Leonard Wetzel,Germany,871
Doyul Kim (김도율),Korea,871
Tyler Robinson,USA,870
Pedro Giuseppe Garcia Milla,Peru,870
Yahia Ahmed Abdallah Elhawy,Egypt,869
Ho Hsieh (謝合),Taiwan,869
Amir Husain,Kazakhstan,869
Ahmet Barış Atlı,Turkey,869
Dmitriy Skakun,Russia,869
Isaac Wells,Australia,869
Jiazheng Zhao (赵家正),China,868
Adrian Oon,Australia,868
Shao-Heng Hung (洪紹恆),Taiwan,868
Chong Jen Foong (莊振峰),Malaysia,868
Henry Lichner,USA,867
Gjorgji Cheshmedjievski,North Macedonia,867
Joel Cetra,Germany,867
Harry Savage,United Kingdom,867
Daniel Sheppard,United Kingdom,867
Jack McDougall,New Zealand,867
Isaac Vergara Castillo,Mexico,867
Amelie Dieterich,Germany,867
Shanglin Ye,Canada,866
Krish Shah-Nathwani,USA,866
Phạm Đức Phước,Vietnam,866
Juan David Carmona Vásquez,Colombia,866
Calvin Nielson,USA,866
Mantas Urbanavičius,Lithuania,865
Theo Iván Goluboff,Argentina,865
Zoé de Moffarts,Belgium,865
Timotej Andrejko,Slovakia,865
Tomáš Szyszkowicz,Czech Republic,864
Mitchell Lane,USA,864
Eli Parker,USA,864
Lucas Chung,Australia,864
Jonathan O'Neill,Australia,864
Ryan Pilat,USA,864
Iurii Chesnokov (Юрий Чесноков),Russia,863
Adrian Dębski,Poland,863
Joel David Hibbert,Australia,863
Deniz Atak,USA,863
Isaac Lai Yin Chung,Canada,863
Daniel Goodman,USA,863
Sarina Wang,New Zealand,863
Hugo Kinichi Briner,Australia,863
Isaac Langer,USA,863
James Quinn,USA,862
Serhii Fedorniak (Сергій Федорняк),Ukraine,862
Nikita Starodubov,Belarus,861
Rūdolfs Vīnkalns,Latvia,861
Kirby Jay Caragan,Philippines,860
Aneurin Hunt,New Zealand,860
Lorenz Hurlet,Belgium,860
Mohamed Mostafa,Egypt,859
Travis Burkett,USA,859
Marcin Stachura,Poland,859
Cheng-Ru Yang,New Zealand,858
Ilia Murmulyak,Russia,858
Guillaume David,Belgium,858
Govend Avgerinos Djangoi,Sweden,858
Diego Trujeque,Mexico,858
Tomasz Cepil,Poland,857
Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,857
Jhon Edinson Arias Parra,Colombia,857
Jimmy Tran,USA,857
Angeline Wijaya (黃千儀),Indonesia,856
Krishang Agarwal,India,856
Masayuki Hirai (平井雅之),Japan,856
Seung Hyuk Nahm (남승혁),Korea,856
Noah Swor,USA,856
Elijah Brown,USA,855
Joe Davis,Australia,855
Ivan Polkanov (Иван Полканов),Russia,855
Carol Chai,New Zealand,855
Owen Widdis,USA,854
Marc Tol,Netherlands,854
Muhammed Pusat Özçelik,Turkey,854
Dallas McNeil,Australia,854
Kajetan Opach,Poland,854
Tom Noble,Australia,854
Li Chak Kwan (李澤堃),Hong Kong,853
Marie Vincent,France,853
Alikhan Umarov (Алихан Умаров),Kazakhstan,853
Elizaveta Rymshina (Елизавета Ры́мшина),Russia,852
Georgiy Titov (Георгій Тітов),Ukraine,852
Kirill Netesov,Russia,852
Aiden Dajun Kim,Canada,852
Malek Hamoui,Ghana,852
Sean Weatherley,Australia,851
Daniel Tidsey,United Kingdom,851
Nicholas Paul,Australia,851
Milhouse Gibbons-Paul,United Kingdom,851
Timothy Castle,USA,851
Taosif Amin Sahil,Bangladesh,850
Can Gücüyener,Turkey,850
Steve Greer,USA,849
Alevio Hamizan Ersha,Indonesia,849
Adriel Wiebe,USA,849
Ryan Driscoll,Australia,848
Mohannad Mahmoud Fathy,Egypt,848
Håkon Fredriksen,Norway,848
Ricardo Zapata Cruz,Venezuela,848
Brian Johnson,USA,847
Kari Hyttinen,Finland,847
Sameer Aggarwal,USA,847
Robert Alden,United Kingdom,847
Bill Hammill,United Kingdom,846
James Gonsalves,India,846
Aolin Tang (唐奥林),China,846
Timo Günthardt,Switzerland,845
Sam van Vliet,Australia,845
Camerone Chin,New Zealand,845
Aset Agabekov (Асет Агабеков),Kazakhstan,845
Tomohiro Kobayashi (小林知広),Japan,845
Varun Mohanraj,USA,845
Gabriel Santiago Velez Gonzalez,Colombia,845
Conan Mo,Australia,845
Braden Richards,USA,844
Willi Mickein,Germany,844
Naren Loganathan,USA,844
Finn van der Maas,Netherlands,844
Alexander Batz,Guatemala,843
Luke Heath-Edwards,New Zealand,843
Max Xiong (熊锐明),China,843
Raffael Simonet,Switzerland,843
Maksim Cheranyov (Максим Черанёв),Kazakhstan,843
Gerard McGinley,Australia,843
Nick Nijssen,Netherlands,842
Chong Hau Han,Malaysia,842
Vladimir Fedorov,Russia,842
Vladyslav Zhydkov (Владислав Жидков),Ukraine,842
Rafae Rajani,Australia,842
Zachary Ochs,USA,841
Magnus Bester,South Africa,841
Ianis Costin Chele,Romania,841
Leon Achata,Peru,841
Samuel Janssen,Belgium,840
Henry Won Kai Sheng,Malaysia,840
Tom Chiesura,France,840
Dimitrije Vlajić,Serbia,840
Saveliy Surikov,Russia,840
Charlie Harrison,United Kingdom,839
Huang-Bang Fang (房黃邦),Taiwan,839
Yunhui Zhao (赵云晖),China,838
Zhitian Chen (陈知湉),China,838
Helmer Ewert,Sweden,838
Nicolas Harper,USA,838
Hassan Khanani,USA,838
Michael Alexander,Australia,838
James Arellano,USA,837
Brody Hilton,USA,837
Kim Min (김민),Korea,837
Maverick Pearson,South Africa,837
Novaleigh Bui Nghi,Vietnam,837
Daniel Rush,South Africa,837
Mostafa Belal Elfaggal,Egypt,837
Dylan Beetge,Australia,836
Yiqun Liu (刘轶群),China,836
Manuel Gutman,Argentina,836
Karol Piskorek,Poland,836
Sam Myung,USA,836
Tobias Peter,Switzerland,836
Sarah Cook,USA,835
Ishaan Lal,USA,835
Darya Belonogova,Russia,835
Shanawer Yaqoob,Australia,835
Theo Hall,United Kingdom,834
Davron Takhirov,Uzbekistan,834
Preston Duke,USA,834
Joaquin Abarca,Canada,833
Lorenzo Mauro,Italy,833
Alexander Bashutkin,Russia,833
Jonathan Boer,Netherlands,833
Gustavo Adolfo Farina Cabral,Dominican Republic,833
Chris Deng,USA,833
Thompson Clarke,Canada,832
Brandon Poulton,United Kingdom,832
George Scholey,United Kingdom,832
Rafik Sarwat Naeem Ragheb,Egypt,831
Leo Millar,Australia,831
Pranav Prabhu,India,831
Joe Yang,USA,831
Yaroslav Morhun (Ярослав Моргун),Ukraine,830
Leon Tran,Australia,830
Ewsey Obzherin,Russia,830
Xavier W. NcCorchuk,USA,829
Ruihang Xu (许瑞航),China,829
Bokang Peng (彭博康),China,829
Akshaansh Chilakapati,India,829
Oleksandr Pryimakov (Олександр Приймаков),Ukraine,829
Dennis Hu,New Zealand,829
Firstian Fushada (符逢城),Indonesia,828
Ansh Iyer,India,828
Parker Trager,USA,828
Duncan Butcher,Australia,828
Jakub Drobný,Slovakia,828
Seath Margatinez,Philippines,827
Slavomil Voloskov (Славомил Волосков),Russia,827
Mikołaj Tyra,Poland,827
Simon Kellum,USA,827
Jan Erik Soosaar,Estonia,827
Celine Tran,Norway,827
Felipe Medel,Chile,827
Lev Maslov,Russia,827
Renato Stopic,Bosnia and Herzegovina,827
Thibault Piollat,France,826
Amina Chebochakova (Амина Чебочакова),Russia,826
Florian Truckenthanner,Austria,826
Martin Fronescu,Romania,826
Ahmad Ayman,Egypt,826
Luke Griesser,USA,826
Matvei Zakataev (Матвей Закатаев),Russia,825
Nathan Barbre,USA,825
Oleksii Lukin (Олексій Лукін),Ukraine,825
Eben Quenneville,USA,825
Luis Eduardo Martínez Castellanos,Mexico,825
Jason White,USA,824
Asia Konvittayayotin (เอเชีย กรวิทยโยธิน),Thailand,824
Leow Yi Jun (廖艺畯),Malaysia,824
Leo Lindqvist,Sweden,824
Daniel Mullen,USA,824
John Colacarro,USA,823
Francisco Moraes Mandalozzo,Brazil,823
Jackson Moorhead,New Zealand,823
Mateusz Gil,Poland,823
Xinyan Li (李心妍),China,823
Rory Bailey,New Zealand,822
Louis-Marie Ratto,France,822
Artur Chechekhin (Артур Чечёхин),Russia,822
Olivier Vos,Netherlands,822
Laura Ting,Australia,822
Sheldon Rego,India,822
Cezary Mach,Poland,822
Abhimanyu Singhal,India,822
Vicente Astroza,Chile,821
Luke Van Laningham,USA,821
Stian Nystad Østli,Norway,821
Levi Gibson,USA,821
Elian Beguec,France,821
David Arzamastsev,Russia,820
Keaton Ellis,USA,820
Aiden Chan,Canada,819
Ayaz Minnegaleev,Russia,819
Alexey Kislovskiy,Russia,819
Edward Zeng,Canada,819
Oliver Fritz,Germany,819
Dash Cannon,Australia,819
Kim Roger Høyland Larsen,Norway,819
William Barlow,New Zealand,819
Omar Ellabban,Canada,819
Nguyễn Trần Hải Anh,Vietnam,818
Liubov Abashkina (Любовь Абашкина),Russia,818
Arnav Adani,India,818
Javad Jafarli,Azerbaijan,818
Alberto Palacio,Dominican Republic,818
Cary Huang,USA,818
Linus Kunath,Germany,818
Jan Staubach,Germany,818
Choi Go-Ho (최고호),Korea,817
Valeriia Volova (Валерія Волова),Ukraine,817
Eduard Esteban García Domínguez,Colombia,817
Heewon Seo,USA,817
Benjamin Walker,Australia,816
Rui-Jun Liu (劉睿鈞),Taiwan,816
Maksym B. Tsymbaliuk (Максим Б. Цимбалюк),Ukraine,816
Dominic Redisi,USA,815
Byron Gronning,Australia,815
Darby Lee,Australia,815
Daiven Strom,USA,814
Zedan Mohamed Ahmed,Egypt,814
Thomas Imada,Canada,814
Aissultan Aizharkynuly (Айсұлтан Айжарқынұлы),Kazakhstan,814
Nipat Charoenpholphant (นิพัฒน์ เจริญพลพันธุ์),Thailand,814
Mitchell Hum,USA,814
Márton Vancsa,Hungary,814
Oliver Leigh,Australia,814
Hubert Hanusiak,Poland,814
Nikita Piialtcev,Russia,814
Suzanna Sharpless,USA,814
Andrey Kolevatykh (Андрей Колеватых),Russia,814
Abdelhak Kaddour,France,814
Trần Đình Anh,Vietnam,813
Gabriel Ben,Australia,813
Jie Zhang (张杰),China,812
Jiate Xie (谢佳特),China,812
Arina Baskakova (Арина Баскакова),Russia,812
Ethan Rusnak,Canada,812
Devina Gokaldas,India,812
Dmitrii Vershinin (Дмитрий Вершинин),Russia,811
Danila Ryabinin,Russia,811
Liam Pipia,Australia,811
