name,country,clock
Mykhailo Akhunov (Михайло Ахунов),Ukraine,901
Artem Kuminov,Russia,901
Yiyang Chen (陈熠扬),China,901
Tomasz Cepil,Poland,900
Shun-Hsin Chang (張舜欣),Taiwan,900
Walker Welch,USA,899
James Molloy,United Kingdom,899
Przemysław Kruczek,Poland,899
Sergey Marin (Сергей Марьин),Russia,899
Joel Potter,New Zealand,898
Aedan Bryant,USA,898
Guiyu Niu (牛桂煜),China,898
Braden Richards,USA,898
Iurii Chesnokov (Юрий Чесноков),Russia,897
Dmitriy Rogozhnikov (Дмитрий Рогожников),Russia,897
Daniel Vædele Egdal,Denmark,896
Aleksandra Veshkurtseva,Russia,896
Benjamin Shurmer,Australia,895
Timo Norrkniivilä,Finland,895
Zayd Chaudhry,Australia,895
Łukasz Dubicki,Poland,895
Jakub Tkaczyk,Poland,894
Adam Golus,Poland,894
Alfredo Vasquez Mendoza,Mexico,894
Isaac Latta,New Zealand,893
Stepan Makarenko,Russia,893
Patrick Kleverlaan,Australia,892
Manfred Siew Ee Sheng (蕭奕晟),Malaysia,891
Gerard McGinley,Australia,891
Benjamin Gottschalk,USA,890
Yu-Hsuan Chang (張祐瑄),Taiwan,889
Martin Süß,Germany,889
Matthew Lee,Canada,888
Henri Gerber,Germany,888
Egor Solomatov (Егор Соломатов),Russia,888
Xiang Li (李响),China,887
Jakub Dłużak,Poland,887
Adrian Dębski,Poland,886
Elisei Yaquinto,Russia,886
Michael (謝富亦),Indonesia,886
Stanley Chapel,USA,885
Illia Honcharuk (Ілля Гончарук),Ukraine,884
Jaxon Foster,Australia,884
Carson Claud,USA,884
Adam Kędziorski,Poland,884
Tianyu Sun (孙天宇),China,884
Jieying Feng (冯洁莹),China,883
Xingkai Yin (尹星凯),China,883
Zirui Huo (霍子睿),China,883
Guicong Zhang (张桂聪),China,882
Jerry Chung Yeung Ho (鍾養浩),Hong Kong,882
Dương Bá Xuân Anh,Vietnam,882
Yifan Cheng (程依凡),China,881
Piotr Buba,Poland,881
Jake Buckley,USA,879
Jonah Blakeley,Australia,878
Harrison O'Reibow,New Zealand,878
Ryan Fong,USA,877
Jaime Calzado Gomez,Spain,874
Han Chu (储菡),China,874
Edwin Shen,New Zealand,874
Alwin Rölz,Switzerland,873
Harry Savage,United Kingdom,873
Ruei-Hong Liang (梁睿紘),Taiwan,872
Benjamin Watts,USA,871
Kit Clement,USA,871
Nick Agatyn,Australia,871
Sebastian Bock,Australia,870
Piotr Mazurkiewicz,Poland,870
Noriyuki Okada (岡田典之),Japan,870
Jan Křížka,Czech Republic,869
Sebastian Outh-Aut,Australia,869
Max Walaszek,USA,869
Silas Starling,USA,869
Nguyễn Duy Sơn,Vietnam,868
Darby Lee,Australia,868
Damiano Di Paola,Italy,868
Lucas O'Connell,New Zealand,868
Malte Oliver Bøgh Kjøller,Denmark,868
Pavel Mesyatsev,Russia,867
Hubert Badocha,Poland,866
Keith Templar,Australia,865
Will Fairfax,New Zealand,865
Daniel Mullen,USA,865
Shek Ho Hin (石灝軒),Hong Kong,864
Ekaterina Soboleva (Екатерина Соболева),Russia,864
River Fletcher,Australia,864
Carter Kucala,USA,863
Borys Chojak,Poland,863
Yang Liu (刘洋),China,863
Wenzhuo Ji (季文卓),China,863
Yonghua Xie (解永华),China,863
Ashley Foster,New Zealand,862
Oleg Mudryk (Олег Мудрик),Ukraine,861
Theo Proferes,United Kingdom,861
Ryan Wu,Canada,861
Junqi Feng (冯骏骐),China,860
Elliott O’Brien,New Zealand,860
Jesús Jorge García López,Mexico,860
Lincheng Cai (蔡林成),China,860
Ilya Boyko (Илья Бойко),Russia,860
Yi-Ho Hsueh (薛以和),Taiwan,859
Hsuan-Chun Wang (王鉉浚),Taiwan,859
Thomas Swarbrick,New Zealand,859
Aakash Jois,Australia,858
Sheng Cao (曹晟),China,858
Tobias Peter,Switzerland,858
Marcel Niedl,Austria,857
Joel Lundström,Sweden,857
Abhimanyu Singhal,India,857
Alessandro Nicolì,Italy,857
Egor Gushchin,Russia,856
Wanling He (何婉灵),China,856
Hassan Khanani,USA,855
Bartłomiej Owczarek,Poland,854
Levente Swanepoel,New Zealand,854
Fengyan Zhang (张枫岩),China,854
Caleb Hall,New Zealand,854
Witold Brzeziński,Poland,853
Xuezhi Zhang (张学智),China,853
Maciej Spirydowicz,Poland,853
Radomił Baran,Poland,852
Lanshi Zhang (张岚石),China,851
Xiaofeng Mo (莫晓锋),China,851
Leo Cretan,Australia,851
Jules Andrei A. Solamo,Philippines,851
Jonathan Blöcher,Germany,850
Hong-An Lai (賴泓安),Taiwan,849
Dominik Unijewski,Poland,848
Ryan Pin Harry,Canada,847
Zhiyuan Ma (马之元),China,847
James Stephan,Australia,846
Chengyang Song (宋成阳),China,846
Clément Cherblanc,France,845
Jacob Ambrose,USA,844
Noah Kraft,Germany,844
Jakub Oleksiak,Poland,844
Ilya Epifanov,Russia,843
Xiangrui Deng (邓翔睿),China,843
Kirill Levchuk (Кирилл Левчук),Russia,843
Piotr Tokarski,Poland,843
Linus Laurén,Finland,842
Ding Li (李丁),China,842
Doyul Kim (김도율),Korea,842
Rounok Yamani Riyan,Bangladesh,841
Roan Paone,Canada,841
Sean O'Toole,Ireland,840
Ksenia Moskaltsova (Ксения Москальцова),Russia,840
Xinyun Chen (陈新运),China,840
Kareem Abdelqader,Jordan,839
Zee Capangpangan,Philippines,839
Jason White,USA,839
Maksim Demchenko (Максим Демченко),Russia,839
Will Belote,USA,838
Michael Stocker,Germany,838
Jack Bellomy,USA,838
Pinhua Peng (彭品桦),China,838
Trần Đăng Quang,Vietnam,837
Guan-Yi Li (李冠毅),Taiwan,837
Jacob Samual Henry Goodwin,Australia,837
Patrick Hetco,Germany,836
Tony Nguyen,Vietnam,836
Martin Zhang,China,836
Juan-Felipe Forero,Australia,835
Maxim Ilin,Russia,834
Laura Ohrndorf,Germany,834
Vadim Strelnikov,Russia,834
Mikhail Sartakov,Russia,834
Jakub Pietrzyk,Poland,834
Isaac Macdonald,New Zealand,834
Evan Ha,USA,833
Govend Avgerinos Djangoi,Sweden,833
Artem Shagiev (Артём Шагиев),Russia,832
Yuanyuan Gao (高原园),China,832
Dominika Warchoł,Poland,832
Artem Golovan (Артем Головань),Ukraine,830
Luke McRitchie,United Kingdom,830
Yuting Wang (王宇婷),China,830
Francesco Iezzi,Italy,829
Keenan Johnson,USA,828
Ilya Sokolov,Russia,828
Szymon Juroszek,Poland,828
Vladislav Kozhin,Russia,828
Ethan Pride,Australia,828
Dawid Mazurek,Poland,827
Shih-Hao Wang (王士豪),Taiwan,825
Piotr Kogut,Poland,825
Ho Hsieh (謝合),Taiwan,825
Firstian Fushada (符逢城),Indonesia,825
Danil Belik (Данил Белик),Russia,824
Brandon Harnish,USA,824
Alex Jung,Korea,824
Sarina Wang,New Zealand,824
Elyas Eyou,New Zealand,823
Sergey Shtatnov (Сергей Штатнов),Russia,822
Assylkhan Meirkhanov (Асылхан Мейрханов),Kazakhstan,822
Jeremy Crouther,Australia,822
Kate Grahame,USA,821
Yanghong Wu (伍洋弘),China,821
Milo Black,USA,821
Rui Qin (秦睿),China,821
Nguyễn Khánh Ngọc,Vietnam,821
Jonathan Pang,Australia,821
Aneurin Hunt,New Zealand,820
Earl Joven Suyo,Philippines,820
Andrey Mozgovoy (Андрей Мозговой),Russia,820
Oleksandr Seniuk (Олександр Сенюк),Ukraine,820
Karolina Van,Russia,820
Yurii Riabov (Юрій Рябов),Ukraine,820
Mikhail Kopylov (Михаил Копылов),Russia,819
Xiaowen He (何晓文),China,819
Wiktor Lutowski,Poland,819
Wojciech Rogoziński,Poland,819
Fan Li (李凡),China,819
Daniel Sheppard,United Kingdom,818
Renato Stopic,Bosnia and Herzegovina,818
Rasmus Stub Detlefsen,Denmark,818
Yeon Kyun Park (박연균),Korea,817
Jialu Zhang (张佳禄),China,817
Pavel Eroshkin (Павел Ерошкин),Russia,817
Spondon Nath,India,817
Chris Mills,United Kingdom,817
Viacheslav Osminin,Russia,816
Michael Muething,USA,816
Gabriel Lincon Souza,Brazil,816
Kyra Joiner,USA,816
Frederik Hutfleß,Germany,815
Alvar Nylén,Sweden,815
Miguel Ángel Cruz Hernández,Mexico,815
Piotr Stachurski,Poland,815
Malte Ihlefeld,Germany,815
Henry Lichner,USA,814
Carter Thomas,USA,814
Joey Saia,USA,814
Joanna Hołdakowska,Poland,814
Waldemar Sundin,Sweden,813
Wojciech Szatanowski,Poland,812
Jiankun Shi (石建坤),China,812
Joshua Marriott,USA,812
Danil Skoromec,Russia,812
Ivan Khvatov (Иван Хватов),Russia,811
Michael Alexander,Australia,810
Niclas Mach,Germany,810
Mufan Long (龙沐凡),China,810
Bokang Peng (彭博康),China,810
Zishuo Zhang (张子硕),China,810
Benjamin Blaikie,New Zealand,810
Jiaming Wu (吴嘉鸣),China,810
Alexander Karlov,Sweden,810
Hao Liang (梁昊),China,810
Alexey Yarygin,Russia,809
Zhao-Zhe Zhong (鍾肇哲),Taiwan,808
Hansi Wang (王翰思),China,808
Henry Sun,Australia,808
Krzysztof Bober,Poland,808
Lev Bruskov (Лев Брусков),Russia,807
Nicolas Gertner,France,807
Đào Bách Nguyên,Vietnam,806
Choi Hyo-jin (최효진),Korea,806
Junxi Jian (简隽希),China,806
Tair Zhansultanov,Kazakhstan,806
David Arzamastsev,Russia,806
Sébastien Auroux,Germany,805
