name,country,sq1
Aayas Dhoj Joshi,Nepal,759
Igor Kolosov (Игорь Колосов),Russia,759
Derek White,USA,758
Roy Lee,USA,758
Zijun Liu (刘子钧),China,758
Rubén López de Juan,Spain,758
Victor Oster Süberkrüb,Denmark,758
Yunhui Zhao (赵云晖),China,758
Daniel Porter,USA,757
Ewan Geertson,New Zealand,757
Luca Spataro,USA,757
Yan Jin (金岩),China,757
Vincent Hartanto Utomo,Indonesia,757
Yuji Yoshida,Philippines,757
Ava Felsenfeld,USA,757
Akash Rupela,India,756
Callum Hales-Jepp,United Kingdom,756
Zoé Ruth,France,756
Alex Loor,Ecuador,756
Noah Hite,USA,756
Brandon Pierel,USA,756
Ivan Kulikov (Иван Куликов),Russia,756
Roman Kremer (Роман Кремер),Russia,756
Shuto Ueno (上野柊斗),Japan,756
Benjamin Tibbetts,USA,756
Yaji Liang (梁雅吉),China,756
Santiago Peña Urrego,Colombia,756
Otgonbat Zorigt (Зоригт Отгонбат),Mongolia,755
Mariia Hunchak (Марія Гунчак),Ukraine,755
Jay Calter,Australia,755
Jakub Miśko,Poland,755
Konstantin Kuznetsov (Константин Кузнецов),Russia,755
Sébastien Auroux,Germany,755
Wong Chong Wen (黄崇文),Singapore,755
Carlos Sullca Mejía,Peru,755
Danila Ryabinin,Russia,755
Maxim Bochkarev (Максим Бочкарёв),Russia,754
Lawson Burrows,Australia,754
Joonas Silvennoinen,Finland,754
Andrew McCormick,USA,754
Marco Giordano,Italy,753
Nicholas Kang,Canada,753
Aidan McKenzie,USA,753
Yannic Waser,Switzerland,753
Milhouse Gibbons-Paul,United Kingdom,753
Gil Kochbeck,Germany,752
Filip Boberski,Poland,752
Farrah Abdallah,Bangladesh,752
Timo Regoor,Netherlands,752
Adam Moughnie,Canada,752
Yasa Zaheen,Bangladesh,751
Alaik Bhatia,India,751
James Holdsworth,Australia,751
Mikhail Malamant (Михаил Маламант),Russia,750
Jan Golec,Poland,750
Miguel Solis,Panama,750
Zhao-Zhe Zhong (鍾肇哲),Taiwan,750
Vishwa Sankar,USA,750
Eric Waldbillig,USA,750
Darya Belonogova,Russia,750
Nikita Kim (Никита Ким),Kazakhstan,750
Benjamin Walker,Australia,749
Steve Greer,USA,749
Michał Woliński,Poland,749
Aedan Bryant,USA,749
Jacob Chambers,United Kingdom,749
João Marcos Rocha Souza,Brazil,749
Riley Norrid,USA,748
Chris Yoder,USA,747
Maheran Chowdhury,Australia,747
Hannah Minas,Switzerland,747
Tim Vergeer,Netherlands,747
Boqin Zhao (赵博钦),China,747
Taine Cassar,Australia,747
Aleksander Kołodziński,Poland,747
Lorenz Hurlet,Belgium,747
Maxim Volkov (Максим Волков),Russia,747
Mikhail Sautkin (Михаил Сауткин),Russia,747
Zoë Zwanepol,Netherlands,746
Avetik Movsesyan,Russia,746
Ludvig Nilsson,Sweden,746
Phan Trọng Nghĩa,Vietnam,746
Huston Vu-Duc,Russia,746
Alessandro Nicolì,Italy,746
Brandon Harnish,USA,746
Zuhan Zhang (张祖瀚),China,745
Zhoupeng Yang (杨周澎),China,745
Eddy Deturche,France,745
Matthew Shay,USA,745
Nikolas Haramis,USA,745
Emerson Shawara,Canada,745
Lim Chun Yik,Malaysia,744
Taku Yanai (矢内拓),Japan,744
Antonio Bonessi,USA,744
Igor Wojciech Wawrzynski,Poland,744
Simon Jansson,Sweden,744
Robert Yau,United Kingdom,744
Greg Leonard,Belgium,744
Michael (謝富亦),Indonesia,744
Timofey Bozhko-Dombrovskii,Russia,744
Max Xiong (熊锐明),China,744
William Tanuwijaya,Indonesia,744
Bryan Gan Tze Yang,Malaysia,743
Vladyslav Zhydkov (Владислав Жидков),Ukraine,743
Santino Maiorino,USA,743
Bryan Eng,Australia,743
Vladyslav Hryniuk (Владислав Гринюк),Ukraine,743
Wilhelm Kilders,Germany,743
Yap Jia Yang,Malaysia,743
Ryan Wang,USA,743
Alanna Cooney,USA,742
Sam Adams,USA,742
Jorge Luis Castillo Carrasco,Mexico,742
Karin Iwano,Japan,742
Pavel Raschetov (Павел Расчетов),Kazakhstan,742
Katie Crouse,Canada,741
Brodie D. Cheater,Australia,741
Roy Yue,USA,741
Alexander Kushnarev (Александр Кушнарев),Russia,741
Jean-Luc Grijt,Netherlands,741
Manuel Prieto de Antón,Spain,741
Islam Kitiev,Russia,741
Ekaterina Chistoedova (Екатерина Чистоедова),Russia,740
Alvaro Haidar Ersha,Indonesia,740
Matthew Prestwich,United Kingdom,740
Nikita Popkov,Russia,740
Muhtasim Al Farabi,Bangladesh,740
Eli Jay,United Kingdom,739
Xingkai Yin (尹星凯),China,739
Tyler Gee,USA,739
Oleksii Lukin (Олексій Лукін),Ukraine,739
Jingpeng Wu (吴劲芃),China,739
Will Russo,USA,738
Nikolay Pavlenko (Николай Павленко),Russia,738
Jacob Joshi,Australia,738
Valerio Raimondi Vallesi,Italy,738
Stepan Kobelev (Степан Кобелев),Russia,738
Gabriel Brasileiro Vanderlei Rodrigues da Costa,Brazil,738
Myka Peterson,USA,738
Santiago Arevalo,Uruguay,738
Nathan Quan,USA,738
Felipe André de Oliveira Guerra,Brazil,738
Travis Burkett,USA,737
Onur Gürsoy,Turkey,737
Jakub Pietrzyk,Poland,737
Munes Ameen Mohammad Abd Elhaq,Palestine,737
Mustafa Berke Özcan,Turkey,737
Jérôme Fréguin,Canada,737
Chi-Yu Li (李其祐),Taiwan,737
Vilius Čirgelis,Lithuania,737
Yizhuo Yan (严一卓),China,737
Owen Chester,USA,736
Denis Gorchakov,Russia,736
Brandon Manke,USA,736
Luke Van Laningham,USA,735
Jindřich Heissiger,Czech Republic,735
Miguel Ángel Hernández,Panama,735
Thiago Henrique Jardim Cardoso,Brazil,735
Jensen Belen-Brown,Canada,735
Théo Naedenoen,Belgium,734
Amogh Adluri,USA,734
Jacob Shum,Canada,734
Gianfranco Camones Caycho,Peru,734
Alex Taylor,New Zealand,734
Daniel Alejandro Cruz Tunubalá,Colombia,734
Milan Nikiforov,Kazakhstan,734
Yunke Zhang (张云柯),China,733
Jinxuan Ni (倪锦旋),China,733
Vianne Chang,Canada,733
Qiyu Zhang (张淇奥),China,733
Kristiāns Pietkuns,Latvia,733
Shih-Yu Yang (楊仕宇),Taiwan,733
Dilmar Rakhatov (Дильмар Рахатов),Kazakhstan,732
Ivan Vanek,USA,732
Takayuki Tanaka (田中隆喜),Japan,732
Aiden Dajun Kim,Canada,732
Kacper Domański,Poland,732
Cezary Mach,Poland,732
Munkhdelger Shinekhuu,Mongolia,731
Daniel Suh,USA,731
Hubert Gontarczyk,Poland,731
Paolo Resta,Italy,731
Pedro Henrique de Jesus Silva,Brazil,731
Kaius Young,USA,731
Sebastián Morón Mariscal,Bolivia,730
Felipe Cardim,Brazil,730
Yuvraj Agarwal,India,730
Valeriia Volova (Валерія Волова),Ukraine,730
Lucas Buckley,Australia,730
Aiden Krog,Australia,730
Scott Weston,USA,729
Tianze Liu,China,729
Christopher J. Yuh,USA,729
Jaemin Chang (장재민),Korea,728
Artem Kapustinskiy (Артем Капустинский),Russia,728
Yue Xin (辛岳),China,728
Daniel Gracia Ortiz,Spain,727
Zihan Wang (王子涵),China,727
