name,avgs,bpas,ratio
Waldemar Sundin,29,7,1.052
James Hildreth,44,7,1.06
Manfred Siew Ee Sheng (蕭奕晟),31,7,1.071
Brandon Lin,54,6,1.059
Chris Mills,48,6,1.067
Magdalena Pabisz,55,6,1.068
Priyanshu Kumar,25,6,1.063
Witold Sołtysik,23,6,1.05
Kari Hyttinen,43,6,1.074
John Edison Ubaldo (ᜇ᜔ᜌᜓ︀ᜈ᜔ ᜁᜇᜒᜐᜓ︀ᜈ᜔ ᜂᜊᜎ᜔ᜇᜓ︀),33,6,1.063
Ryan DeLine,39,6,1.122
Daan Baartmans,39,6,1.06
Callum James Goodyear,33,6,1.083
Lev Golub (Лев Голуб),58,6,1.081
Ruzhen Ye (叶儒臻),49,6,1.06
Laura Ohrndorf,48,6,1.097
Zachary Ochs,33,6,1.057
Luis J. Iáñez,28,6,1.048
Joris Mühlsteff,23,6,1.068
Tyler Howlett,45,6,1.06
Jakub Hamkało,72,6,1.086
Pierre Bouvier,31,6,1.065
Leo Min-Bedford,20,6,1.061
Lucas Garron,34,6,1.112
Przemysław Kruczek,37,6,1.077
Vishwa Sankar,26,6,1.077
Johan Thuvesen,35,6,1.084
Wong Chong Wen (黄崇文),46,6,1.065
Matteo Dummar,35,6,1.049
Ian Southa,31,6,1.058
Bartłomiej Owczarek,40,6,1.068
Jernej Omulec,41,6,1.072
Jakub Cabaj,36,6,1.086
Adrián Ramírez,19,6,1.064
Pranav Veera,20,6,1.053
Steven Kearns,25,6,1.11
Eli Parker,22,6,1.047
Nolan Yiu,32,6,1.055
AJ Kamal,41,6,1.076
Alessandro Nicolì,27,6,1.063
Daniel Goodman,33,6,1.051
Kun Zhu (朱锟),36,6,1.076
Shao-Heng Hung (洪紹恆),42,6,1.075
Brennen Lin,17,6,1.043
Mohammed Aiman Koli,24,6,1.065
Tijmen van der Ree,65,6,1.069
Thomas Valles,30,6,1.047
Samuel Fang,38,6,1.062
Ryan Pilat,40,6,1.069
Stephanie Chow,19,6,1.054
Lorenzo Mauro,38,6,1.07
Mikołaj Tyra,44,6,1.052
Myles Jarman,27,6,1.047
Ziyuan Lin (林子源),52,6,1.065
Ethan Rusnak,24,6,1.045
Ihor Bilchenko (Ігор Більченко),33,6,1.07
Alexander Botz,42,6,1.07
Yu-Hsuan Chang (張祐瑄),42,6,1.075
Mathias Søndergaard Byrne,31,6,1.07
Chung-Han Hsu (許鍾瀚),39,6,1.074
Hunor Bózsing,54,6,1.089
Konstantin Jaehne,45,6,1.08
Ainesh Sevellaraja,34,6,1.056
Paul Mahvi,56,6,1.089
Chen Kang (亢晨),33,6,1.071
Martin Fronescu,26,6,1.051
Daniel Wannamaker,24,6,1.056
Tyler Robinson,44,6,1.076
Fernando Lomazzi,21,6,1.048
Will Newhoff,26,6,1.051
Nox Clémenceau,28,6,1.094
Kymberlyn Calderon,37,6,1.081
Tymon Kolasiński,36,6,1.064
Stephen Griggs,38,6,1.079
Tommy Kiprillis,43,5,1.064
Lucas Wesche,34,5,1.08
Nikita Loika,26,5,1.062
Chan Tak Chuen (陳德泉),50,5,1.082
Mikus Lembergs,16,5,1.065
Rūdolfs Vīnkalns,21,5,1.061
Emanuel Rheinert,30,5,1.06
Dwyane Ramos,22,5,1.062
Lorenzo Franco Kasilag,28,5,1.064
Ilona Ansel,22,5,1.061
Guus de Wit,23,5,1.082
William Yudi Matunoshita Ito,14,5,1.082
Kyra Joiner,40,5,1.065
William Gan Wei Ren (颜伟仁),28,5,1.082
Leo Lindqvist,49,5,1.064
Julen Simón Iriarte,32,5,1.065
Wang Ma (马旺),30,5,1.083
Magnus Søndergaard Byrne,38,5,1.063
Xusheng Hong (洪旭升),27,5,1.077
Vincent Chen,45,5,1.063
Nicholas Daneshvari,39,5,1.066
Lorenzo Vigani Poli,47,5,1.066
Jacob Posner,31,5,1.065
Firstian Fushada (符逢城),38,5,1.065
Yiwei Liu (刘伊玮),36,5,1.062
Erwan Kohler,15,5,1.064
Chris Deng,19,5,1.08
Rami Sbahi,33,5,1.088
Daniel Greigg,27,5,1.06
Shih-Hao Wang (王士豪),29,5,1.055
Mitchell Lane,49,5,1.071
Murillo Gomes Otero,33,5,1.071
Junyue Liu (刘俊越),33,5,1.049
Saiyam Jain,22,5,1.074
Juliette Sébastien,21,5,1.097
Jhon Edinson Arias Parra,21,5,1.05
Midas Kiebert,22,5,1.095
Maarten Smit,33,5,1.074
Nathaniel Berg,36,5,1.094
Manuel Prieto de Antón,47,5,1.07
Ishaan Lal,29,5,1.051
Joseph Manuel A. Cagape,12,5,1.052
Noé Bourdon,32,5,1.093
Michael Nielsen,23,5,1.07
Yuhei Takagi (高木佑平),28,5,1.052
Gabriel Sargeiro Gomes de Mello,16,5,1.052
Cory Yurkovic,19,5,1.052
Pessi Ansaranta,37,5,1.07
Thomas Schmidt,35,5,1.091
Edbert Sim,20,5,1.049
Graham Siggins,33,5,1.071
Boxuan Huang (黄博暄),11,5,1.048
Seth Talbot,26,5,1.042
Tam Quan,19,5,1.032
Young He (何嘉炀),24,5,1.129
Fredrik Sollenberg,14,5,1.037
Oscar Alberto Ceballos Contreras,22,5,1.072
Josue Leiva,11,5,1.041
AJ Blair,33,5,1.073
James Macdiarmid,18,5,1.042
Nikhil Soares,45,5,1.073
Alex Maass,29,5,1.071
Eduard Esteban García Domínguez,50,5,1.101
Anant Pingle,38,5,1.073
Kevin Min,20,5,1.105
Chingizkhan Mukhametdinov,12,5,1.045
Velidi Venkata Jagan Mohana Murali Krishna,19,5,1.105
George Scholey,35,5,1.073
Dan Cohen,31,5,1.071
Hari Anirudh,57,5,1.102
Simon Kellum,49,5,1.071
César Abraham Briones Arreola,21,5,1.069
Łukasz Stępień,13,5,1.07
Muhammad Hafizuddin Akhtar Bin Mohd Zainal Abidin,18,5,1.059
Francisco Hamlin,28,5,1.069
Will Gurnett,25,5,1.068
John Paul Custodio,17,5,1.084
Yunhao Lou (娄云皓),37,5,1.084
Magnus Patrick Kanstrup,24,5,1.068
Simon Crawford,39,5,1.086
Ben Stokes,17,5,1.056
Jiazhou Li (李佳洲),28,5,1.056
Arnaud van Galen,45,5,1.086
Dominic Lumsden,25,5,1.069
Stanley Nerkowski IV,19,5,1.06
Spencer Stutzman,15,5,1.069
Rubix Azevedo Martins da Silva,16,5,1.068
Mykhailo Lagoida (Михайло Лагойда),18,5,1.084
José Leonardo Chaparro Prieto,53,5,1.068
Chris Braiedy,25,5,1.067
Bingliang Li (李炳良),27,5,1.059
Adam Kędziorski,15,4,1.067
Yuji Yoshida,32,4,1.069
Luke Tycksen,30,4,1.077
Paweł Kowol,26,4,1.071
Javier López Fernández,31,4,1.068
Cyril Barigand,12,4,1.073
Govend Avgerinos Djangoi,34,4,1.077
Joel Cetra,39,4,1.066
Jiawei Wu (伍嘉维),27,4,1.066
Alex Davani,29,4,1.079
Sophie Chan,24,4,1.066
Bhargav Narasimhan,20,4,1.073
Sebastian Outh-Aut,17,4,1.065
Wilson Alvis (陈智胜),11,4,1.077
Cade Beck,17,4,1.067
Alberto Pérez de Rada Fiol,34,4,1.073
Laura Holzhauer,52,4,1.067
Jacob Chambers,20,4,1.072
Edward Vakula,15,4,1.072
Emilio Eleodoro Ramírez Lahsen,27,4,1.072
Russel Bocalbos,25,4,1.072
Yen-Pin Xiao (蕭彥平),34,4,1.072
Alvar Nylén,22,4,1.072
Bill Hammill,43,4,1.065
Pablo Say,36,4,1.074
Nathan Soria,30,4,1.066
Chunyu Zhang (张春雨),28,4,1.068
Branko Kobal,26,4,1.066
Vojtěch Kundera,26,4,1.075
Axel Flordal,17,4,1.075
Anthony Lafourcade,41,4,1.075
Angeline Wijaya (黃千儀),36,4,1.07
Vilius Ribinskas,27,4,1.069
Michał Robaczyk,29,4,1.075
Samuel Knoll,25,4,1.076
Berk Rende,15,4,1.075
Iuri Grangeiro Carvalho,21,4,1.074
Konstantin Solovev (Константин Соловьёв),26,4,1.069
Gabriel Bucsan,18,4,1.077
Swaminathan Chandrasekaran,12,4,1.078
Andy Denney,39,4,1.076
Jack O'Mahony,15,4,1.07
Gaurav Taneja,25,4,1.066
Uladzislau Ushakov (Владислав Ушаков),15,4,1.07
Everett Kelly,28,4,1.07
Ethan Stevens,27,4,1.076
Evan Mann,12,4,1.07
Eddy Deturche,30,4,1.076
Remo Pihel,20,4,1.079
Ray Bai,28,4,1.076
Sebastian Werb,36,4,1.068
Harry Savage,51,4,1.077
Maksym Yeli (Максим Єлі),17,4,1.071
Samuel Simko,18,4,1.079
Luiz Fellipe Oliuza Leal Silva,19,4,1.073
Jure Gregorc,22,4,1.071
Sheldon Rego,21,4,1.065
Shek Ho Hin (石灝軒),16,4,1.073
Vinit Nalhe,29,4,1.089
Abhay Gupta,15,4,1.045
