name,avgs,bpas,ratio
Balázs Németh,12,6,1.009
Hrishikesh Ghongane,12,6,1.011
Sergey Zhukov,13,5,1.012
Edgar Nogueira Garcia Pinho,15,8,1.012
Ricardo Tinoco,11,3,1.013
Ondřej Hájek,11,5,1.013
Rishi Krishnan,12,4,1.014
Adam Španěl,15,4,1.014
Noa Choi,12,7,1.014
Carter Herman,15,3,1.015
Hongfei Chen (陈红飞),12,5,1.016
Nate Hoffmaster,12,2,1.016
Jose Alfredo Caceres Zunagua,14,3,1.017
Bo Li (李博),12,3,1.017
Jhevy Coaquira,11,3,1.018
Brandon Manke,12,6,1.018
Clayton Atkins,16,6,1.018
Mark Darell Bruno,13,2,1.018
Yifei Li (李逸飞),14,3,1.018
Fabio Asaro,18,7,1.018
Freddie Smith,11,5,1.018
Rahul Bhateja,11,4,1.018
Jingyi Wang (王静怡),13,4,1.019
Tarek Bazizi,14,4,1.019
Tong Wang (王桐),11,1,1.019
Ziang Yan (晏子昂),22,4,1.019
Muhammad Akoodi,13,5,1.019
Saeed Mostafavi Layegh (سعید مصطفوی لایق),22,5,1.019
Michał Buszczak,11,3,1.019
Artur Nikolayenko (Артур Николаенко),13,4,1.019
Curtis Griffin,13,2,1.019
Shunya Sumi (鷲見俊哉),19,6,1.02
Ryan Osborne,13,4,1.02
Lachlan Aird,12,3,1.02
Ilya Ksenofontov,14,5,1.02
Manuel Malvárez,16,2,1.02
Jerry Liu,11,2,1.02
Ricardo Sánchez Gutiérrez,19,3,1.02
Mahbubul Hossain Robin,14,3,1.02
Kalman Levitin,13,2,1.02
Korakot Inkaew (กรกฎ อิ่นแก้ว),16,4,1.02
Gabriel Henrique Schaly Códova,12,1,1.02
Ling Huang (黃零),13,4,1.02
Kierren Lee,14,2,1.02
Zhiwu Jiang (姜智午),12,4,1.021
Nandha Kumar,11,5,1.021
Timofey Bannov (Тимофей Баннов),15,5,1.021
Samuel Crisan Córdoba,22,10,1.021
Ruichen Hao (郝睿宸),13,4,1.021
Ali Reza Pour Abedini (علی رضا پورعابدینی),20,4,1.021
Karol Piskorek,13,2,1.021
Topias Hyrsylä,12,4,1.021
Robert Curtis-Hardy,18,3,1.021
Ian Terbraak,13,3,1.021
Emilio Matanguihan,19,5,1.021
Advait Dhingra,11,3,1.021
Nikita Popov,11,2,1.021
Zihe Wang (王子何),19,6,1.021
Juan Pablo Rojas Chinchilla,20,5,1.021
Zhijie Yin (尹智杰),16,3,1.021
Yuzhuo Zheng (郑钰卓),21,7,1.021
John Weigand,11,3,1.021
Angel Aldahir Herrera Arias,14,2,1.021
Pablo Jiménez Jaén,12,5,1.021
Jake Maddox,11,3,1.021
Xixiao Dai (戴熙晓),14,5,1.021
Matt Jones,24,6,1.022
Mervin Villaceran,18,4,1.022
Jacob Powell,11,3,1.022
Artur Ferreira Hecher,11,5,1.022
Glen Scott,15,5,1.022
Leon Parfitt,14,4,1.022
Luis Vargas,15,6,1.022
Andre Soliz,13,7,1.022
Chaorui Su (宿晁瑞),12,5,1.022
Lei Han (韩磊),11,3,1.022
Rudraan Shah,15,3,1.022
Ege Onat Ünlüer,11,4,1.022
Wojciech Piórczyński,16,5,1.022
Meng-Jia Li (李孟家),29,8,1.022
Aaron Wong,16,5,1.022
Phuc Nguyen,12,3,1.022
Enoch Gray,16,3,1.022
Le Rong (荣乐),14,4,1.022
Travis Rau,11,1,1.022
Juan Manuel Serna Marín,11,4,1.022
Naman Jethani,11,5,1.022
Atif Malik,11,5,1.022
Sam Robinson,12,2,1.022
David Calderón Arce,18,1,1.022
Yingjie Zhu (朱英杰),13,5,1.022
Shanmeng Dong (董杉萌),11,4,1.022
Dmytro Kararush (Дмитро Караруш),18,3,1.022
Srishail Mukundan,11,5,1.022
Héctor Castro Lázaro,14,3,1.022
Narankhun Khatanbaatar (Хатанбаатар Наранхун),12,2,1.023
Matthias Gruber,12,4,1.023
Christopher Murillo Reyes,13,2,1.023
Yan Luo (骆彦),14,1,1.023
Ajar Shrestha,13,2,1.023
Ahsanul Wildan,15,5,1.023
Quinten Aerbeydt,11,3,1.023
Genaro Mauricio Alvarez Orias,19,3,1.023
Jukka Geisler,16,5,1.023
Aapo Friman,15,5,1.023
David Arturo Díaz,20,5,1.023
Kiyoshi Francisco Mamani Malaga,11,3,1.023
Ville Kilpeläinen,27,6,1.023
Owen Totelet,14,2,1.023
Yunhao Zhao (招蕴豪),11,2,1.023
Harrison Park,14,2,1.023
Chaewon Min,15,3,1.023
Amog Rao,12,3,1.023
Jovito Miguel Regalado,13,6,1.023
Purewdorj Enkhtur,14,5,1.023
Blai Solernou Lòpez,21,3,1.023
Chen-Che Tsai (蔡承哲),11,4,1.023
Chanvit Rodpao (ชาญวิทย์ รอดเภา),12,2,1.023
Javier Álvarez Suárez,24,6,1.023
Antonín Tomis,11,1,1.023
Brigham Dent,19,3,1.023
Ivan Koval,14,5,1.023
Juraj Polaček,13,1,1.023
Jonas Speer By,13,3,1.023
Yucheng Huang (黄钰诚),13,2,1.023
Paolo Mazzei,29,7,1.023
Tiago Vieira de Melo e Silva,12,1,1.023
Jianxin Tao (陶剑鑫),21,2,1.023
Santiago Jose Alvarádo Romero,16,4,1.023
Zixiong Liu (刘子熊),12,1,1.023
Peiyun Sang (桑培耘),12,5,1.023
Taylor Brock-Fisher,12,3,1.023
Giorgio Venturini García,11,2,1.023
Eric Kulchycki,17,4,1.023
Colin Crosskno,14,5,1.023
Yusup Zakaria,15,3,1.023
Ruslan Appazov,11,4,1.023
Leandro Gomez,13,2,1.024
Yexin Zhang (张业鑫),31,9,1.024
Jefferson Paul Cerón Cerón,14,3,1.024
Camila Andrea Crespo Calle,11,3,1.024
Angelo Sualog,11,5,1.024
Pedro Sanz Rodriguez,12,2,1.024
Shuting Luo (罗淑婷),18,4,1.024
Chung Tze Yang (鍾志扬),35,9,1.024
Ayoub El Atouany,11,2,1.024
Citra Cakra Buana,11,2,1.024
Denis Tsukanov,14,2,1.024
Daniel Laura,18,5,1.024
Kostiantyn Stadnyk (Костянтин Стадник),23,7,1.024
Hans Hu,11,5,1.024
Alexander Hartung,14,3,1.024
Dong Huang (黄东),11,4,1.024
Zeng Cheng (程锃),13,4,1.024
Yukiko Makino (牧野由希子),19,5,1.024
Yu-Wei Ko (柯昱瑋),12,2,1.024
Jaime Aguilera,25,6,1.024
Victor Moreno,15,2,1.024
Hanmiao Zhao (赵晗妙),11,3,1.024
Ernesto Cristo González Alemán,18,3,1.024
Maozhu Wang (王茂竹),12,3,1.024
Ataberk Şencan,12,2,1.024
Pranav Ram,15,5,1.024
Andrey Kazakov,17,3,1.024
Anandpreet Singh Madaan,18,4,1.024
Kim Dae Hoon (김대훈),19,6,1.024
Nicolas Kaberian,12,4,1.024
Junqi Miao (苗峻绮),15,2,1.024
Linji Xue (薛林继),12,2,1.024
Nikolai Sitte,13,3,1.024
Jong Hun Kim,11,2,1.024
Henrik Linus Pauly,13,3,1.024
Alvaro Gonzalez Cruz,11,5,1.024
Muhammad Raihan Abdillah,12,2,1.024
Xianda Xu (许显达),13,4,1.024
Rahul Chandrasekar,17,4,1.024
Diego Montes,11,1,1.024
Joshua Zhang,11,2,1.024
Ashwani Kumar Shivankar,15,3,1.024
Victor Ebubechukwu Tobechukwu Asiwe,11,4,1.025
Junichi Mori (森純一),32,7,1.025
Hiromi Hamaguchi (濱口弘海),16,5,1.025
Hengsheng Dai (戴恒盛),32,5,1.025
Vlonga Adorian,12,4,1.025
Lorenzo T. Ubongen,12,3,1.025
Wei-Jyun Wang (王韋鈞),13,3,1.025
Chunxiao Li (李春啸),33,6,1.025
Tianzhao Jiang (姜天兆),16,5,1.025
Ethan Chang,13,1,1.025
Cezary Mach,36,8,1.025
Jedidiah Chung,11,2,1.025
Atharva Nanavate,14,4,1.025
Nathan Donohue,11,2,1.025
Qiongyu Zeng (曾琼玉),17,6,1.025
Weronika Krzakiewicz,14,3,1.025
Kamaru-Deen Lawal,29,4,1.025
Wojciech Poljanowski,14,6,1.025
Nicolas Birkenstock,15,1,1.025
Wang Tong (王彤),29,7,1.025
Eduardo Angelo Simon,11,2,1.025
Jesús Gianfranco Estrada Higa,13,5,1.025
Tejas Ganesh Iyer,12,3,1.025
Thomas Ravel,15,3,1.025
Steven Jonkman,12,1,1.025
Bo-Yan Wu (吳柏彥),13,2,1.025
Szymon Musiał,23,4,1.025
Agnessa Mungina,11,2,1.025
Andrea Natale,24,4,1.025
Mariana Drummond de Araújo Abreu,11,3,1.025
Jan Křížka,13,4,1.025
Bin Huang (黄斌),12,2,1.025
Stanley Roth,26,6,1.025
Santiago Osorio Cristóbal,22,6,1.025
Hanyu Liu (刘函宇),12,1,1.025
Levi Coates,12,4,1.025
Ansh Maru,11,5,1.025
Quinn Doak,12,2,1.025
Shuai Shi (师帅),11,3,1.025
Joel Potter,14,3,1.025
Ben Uren,12,2,1.025
Zhengtao Yu (俞正涛),15,3,1.025
Plamen Mahladzhanov,18,3,1.025
Gustavo Mamani Vargas,12,5,1.025
Ştefan Baeş,13,4,1.025
Shuaisheng Xu (徐帅胜),11,3,1.025
Daniel Zepeda,13,3,1.025
Balázs Polyák,21,2,1.025
Yeremy Toro,16,4,1.025
Dan Axel Gonzales Quispe,14,4,1.025
Yunzhe Jia (贾云哲),12,2,1.025
László Éliás,14,4,1.025
Yiquan Ling (凌艺全),25,6,1.025
Eshiel Benzion Narayanan,14,4,1.025
Ashley G. Perez,12,3,1.025
Nevign Angelique Besas,19,3,1.025
Jinxin Li (李金鑫),13,3,1.025
Munkh-Erdene Natsagdorj (Нацагдорж Мөнх-Эрдэнэ),14,2,1.025
Zhenyang Shao (邵振洋),16,3,1.025
Gleb Kolos,13,3,1.025
Ellery Murdock,14,1,1.026
Gabriel,32,6,1.026
Vladyslav Poltorak (Владислав Полторак),11,3,1.026
Zach Richards,13,4,1.026
Bowman Domingue,12,3,1.026
Gamze Aksahin,14,4,1.026
Zheqi Zhu (诸哲祺),26,7,1.026
Gabriel Ilano,18,6,1.026
Johan Holmedahl,21,3,1.026
Karthik Puthraya,12,0,1.026
Haijie Zhang (张海杰),14,2,1.026
Kyan van den Heuvel,15,3,1.026
Elias Meynckens,23,3,1.026
Sébastien Tarquin,12,3,1.026
Donovon Jose Panganiban,11,2,1.026
Roy Janssens,15,5,1.026
Vineethsubbu Somasundaram,22,6,1.026
Fuwei Chu (褚福崴),14,3,1.026
Yaser Mahmoudi (ياسر محمودی),12,3,1.026
Michael Greigg,12,2,1.026
Takashi Hasegawa (長谷川嵩),14,3,1.026
Alexander Kupfer,23,5,1.026
Donovan Ho,13,1,1.026
Jianfeng Yu (余剑锋),12,4,1.026
Álvaro Rojas,19,4,1.026
Baian Liu,15,2,1.026
Rebecca Ladds,11,5,1.026
Kristen Young,12,2,1.026
Xiaofeng Zheng (郑晓锋),23,6,1.026
Carlos Augusto Romero Rojas,14,3,1.026
Affan Adly Bin Nazri,13,3,1.026
Yiping Wang (王一平),12,2,1.026
Nguyễn Hùng Long,16,2,1.026
Valerii Shcherbakov (Валерій Щербаков),23,7,1.026
Pawarisorn Boonyubol (ปวริศร บุญยุบล),17,4,1.026
Chenfei Ke (柯陈飞),12,2,1.026
Nathan X. Li,19,6,1.026
Angelo Pio Lo Giudice,11,3,1.026
Iñigo Mallo Lizaso,18,3,1.026
Gabriele Zanni,22,8,1.026
Roger Sullón Sanchez,20,5,1.026
Rhiannon Murray,18,3,1.026
Munkhchuluun Buyanduuren,15,4,1.026
Tim Lugtigheid,13,4,1.026
Farras Ahmad Fajari,21,2,1.026
Joaquín Mena Carmi,12,2,1.026
Ajay Thambyrajah,15,4,1.026
Isaac Gart,13,5,1.026
Mihir Kamra,12,3,1.026
Hernán Levano Villalobos,37,6,1.026
Tiana Diachenko,23,5,1.026
Hunjae Jung,15,2,1.026
Massimo DeLuca,17,5,1.026
Arturo Ocampos,19,2,1.026
Joseph Daus,14,2,1.026
Luis Angel Soto Castillo,14,5,1.026
Mircea Popescu,32,6,1.026
Harry Loiterton,15,4,1.026
Sapan Upadhyay,15,5,1.026
Chuhaolun Deng (邓储浩伦),14,2,1.026
Emil Jung,24,6,1.026
Scott Lawrence,18,4,1.026
Vladislav Vinokurov,18,5,1.026
Adrià García Fernández,14,2,1.026
Al Francis Delos Santos,14,2,1.026
Fabian Rodrigo Ramirez,12,4,1.026
Erik Yampier Gutierrez Herrera,13,3,1.026
Alberto Cano Huerta,13,5,1.026
Soren Gregory,15,3,1.026
Alex Wheeler,13,3,1.026
Carter Yost,13,2,1.026
Eli Wimmer,11,1,1.026
Monty Wain,23,5,1.027
Xiaohe Tang (唐霄鹤),16,3,1.027
Daniel Górnik,19,2,1.027
Jack Purdum,14,5,1.027
Sander Garcia-Stam,14,2,1.027
Itai Cohen,14,3,1.027
Royce Judill D. Pastrano,11,2,1.027
Evan Setiawan,18,6,1.027
Ahmad Zaky,14,4,1.027
Ryan DeAngelis,11,3,1.027
John David L. Olesco,11,2,1.027
Aditya Dargan,14,3,1.027
Leandro Martín López,27,5,1.027
Nghiêm Xuân Bách Khoa,14,2,1.027
Hao Chen (陈豪),12,4,1.027
Alexander Claros,14,5,1.027
Jiawei Zhan (詹佳伟),17,4,1.027
Timofey Eybogin,13,5,1.027
Li-Zhi Findhammer,12,2,1.027
Zixiong Xu (徐梓雄),20,4,1.027
Erwan de Lépinau,13,3,1.027
Rodrigo Benitez,20,6,1.027
Logan R. White,11,3,1.027
Tomohiro Tanno (丹野智博),12,1,1.027
Tan Jun,11,4,1.027
Vitaliy Sheshko,33,9,1.027
Mohammad Tanvir Anjum Zenith,12,3,1.027
Yuetong Zhu (朱玥曈),13,2,1.027
