name,avgs,bpas,ratio
Ron van Bruchem,411,69,1.048
Bence Barát,462,66,1.041
Christopher Olson,357,65,1.044
Sébastien Auroux,490,64,1.044
Sinpei Araki (荒木慎平),345,60,1.043
Sebastian Weyer,365,58,1.043
Wojciech Szatanowski,395,58,1.046
Joey Gouly,348,58,1.044
Michał Halczuk,373,58,1.047
Feliks Zemdegs,382,57,1.044
Callum Hales-Jepp,302,56,1.047
Katie Hull,374,55,1.044
François Courtès,306,55,1.044
Blake Thompson,376,55,1.053
Tomasz Żołnowski,347,54,1.042
Tim Reynolds,390,53,1.043
Laura Ohrndorf,286,53,1.042
Finn Ickler,371,51,1.044
Walker Welch,354,51,1.049
Joshua Feran,365,50,1.045
Yi-Fan Wu (吳亦凡),283,50,1.042
Philippe Virouleau,306,50,1.037
Rowe Hessler,359,50,1.047
Erik Akkersdijk,408,50,1.053
Jules Desjardin,315,50,1.046
Jan Bentlage,449,49,1.042
Ilya Tsiareshka,329,49,1.04
Jacob Ambrose,367,49,1.049
Jiayu Wang (王佳宇),357,49,1.044
Leon Schmidtchen,356,49,1.046
Tobias Peter,353,48,1.045
Akash Rupela,288,48,1.042
Cornelius Dieckmann,328,48,1.047
Max Park,314,47,1.039
Lorenzo Vigani Poli,357,47,1.044
Jeremy Fleischman,313,47,1.039
Ryan Jew,312,47,1.047
Reto Bubendorf,336,46,1.048
James Molloy,265,46,1.046
Ming Zheng (郑鸣),375,45,1.046
Fabio Bini Graciose,386,45,1.052
James Hildreth,347,45,1.046
Antoine Cantin,250,45,1.046
Mats Valk,439,45,1.051
Ton Dennenbroek,345,44,1.049
Robert Yau,291,44,1.051
Henrik Buus Aagaard,248,43,1.04
Matteo Provasi,294,43,1.041
Keaton Ellis,319,43,1.051
Olivér Perge,298,43,1.044
Natán Riggenbach,274,43,1.046
Dániel Varga,317,42,1.041
Raymond Goslow,246,42,1.036
Yinghao Wang (王鹰豪),257,42,1.045
Michael Young,251,42,1.044
Michał Pleskowicz,305,42,1.044
Lars Vandenbergh,254,41,1.039
Rafael Werneck Cinoto,300,41,1.038
Anthony Brooks,366,41,1.046
Clément Gallet,243,40,1.045
Antoine Piau,297,40,1.041
Wojciech Knott,308,40,1.043
Eduard Esteban García Domínguez,260,40,1.041
Łukasz Burliga,266,39,1.05
Eric Zhao,353,39,1.048
Adam Polkowski,306,39,1.039
Corey Sakowski,360,39,1.053
Justin Mallari,244,39,1.041
Jayden McNeill,272,39,1.046
Kailong Li (李开隆),202,39,1.04
Kaijun Lin (林恺俊),249,39,1.044
Devin Corr-Robinett,323,39,1.05
Paul Mahvi,315,39,1.041
Dylan Miller,209,39,1.047
Juliette Sébastien,277,38,1.048
Tommy Szeliga,257,38,1.047
Jonatan Kłosko,241,38,1.051
Livia Kleiner,233,38,1.049
Shelley Chang,249,37,1.041
Rafał Waryszak,239,37,1.05
Ruohan Qiu (邱若寒),195,37,1.045
Niko Ronkainen,248,37,1.048
Yuhei Takagi (高木佑平),256,36,1.044
Michał Rzewuski,273,36,1.049
Karol Zakrzewski,242,36,1.047
Baiqiang Dong (董百强),250,36,1.048
Edward Lin,229,36,1.045
Kit Clement,274,35,1.048
Valentin Hoffmann,231,35,1.042
Tymon Kolasiński,250,35,1.05
Przemysław Kaleta,244,35,1.042
Daniel Karnaukh,252,35,1.047
Breandan Vallance,304,35,1.047
Piotr Tokarski,297,35,1.044
Philipp Weyer,355,35,1.046
Simone Cantarelli,245,35,1.042
Daniel Sheppard,264,34,1.059
John Brechon,204,34,1.047
Martin Vædele Egdal,193,34,1.057
Arnaud van Galen,243,34,1.046
Antonie Paterakis,230,34,1.053
Przemysław Rogalski,292,34,1.039
Dana Yi,242,34,1.04
Alexander Olleta del Molino,262,34,1.056
Marcin Stachura,212,34,1.037
Andrew Ricci,143,34,1.04
Patrick Ponce,282,34,1.051
Zhao-Zhe Zhong (鍾肇哲),198,34,1.047
Evan Liu,258,34,1.041
Phillip Lewicki,264,33,1.048
Christopher Chi,224,33,1.056
Kevin Matthews,171,33,1.043
Lukas Shelley,145,33,1.034
Jakub Kipa,228,33,1.052
Shuhei Omura (大村周平),208,33,1.051
Zach Goldman,218,33,1.043
Clément Cherblanc,295,33,1.05
Kevin Hays,246,33,1.047
Fabian Löhle,194,33,1.046
Jiekang Pan (潘杰康),250,33,1.039
Bob Burton,193,33,1.039
Mulun Yin (阴目仑),245,32,1.048
Hunor Bózsing,201,32,1.038
Anthony Lafourcade,166,32,1.034
Alberto Pérez de Rada Fiol,213,32,1.041
Zachary White,232,32,1.047
Daniel Wallin,275,32,1.052
Jr-Wei Jang (張智瑋),207,32,1.043
Max Siauw,213,32,1.049
Collin Burns,165,32,1.042
Eric Limeback,201,31,1.043
Theo Mayer,217,31,1.051
Javier Tirado Ortiz,210,31,1.05
Bhargav Narasimhan,207,31,1.047
Rodrigo Ugarte,195,31,1.039
Marco Rota,227,31,1.062
Nicolas Gertner,195,31,1.05
Daniel Rose-Levine,242,31,1.051
Wataru Hashimura (端村航),202,31,1.04
Roy Lee,184,31,1.05
Rafael Rodriguez Santana,190,31,1.044
José Garrido,178,31,1.041
Kalina Brzezińska,286,30,1.038
Ting Sheng Bao Yang,219,30,1.041
Lin Chen (陈霖),148,30,1.043
Henry Savich,170,30,1.043
Will Callan,234,30,1.046
Jeff Park,198,30,1.046
Nicolás Sánchez,144,30,1.05
Yunqi Ouyang (欧阳韵奇),176,30,1.041
Kian Barry,186,29,1.038
Victor Colin,164,29,1.042
Chris Tran,160,29,1.049
Akula Pavan Kumar,201,29,1.044
Benjamin Gottschalk,193,29,1.042
Hippolyte Moreau,232,29,1.047
Sergey Ryabko,174,29,1.041
Rama Temmink,155,29,1.041
Shivam Bansal,179,29,1.05
Callum James Goodyear,197,29,1.045
Dmitry Kryuzban,145,29,1.043
Manu Vereecken,198,29,1.042
Michał Bogdan,204,28,1.051
Gunnar Krig,172,28,1.041
Alexandre Carlier,195,28,1.049
Kristopher De Asis,146,28,1.04
Chia-Leo Lin (林珈樂),174,28,1.04
Jael Riggenbach,196,28,1.044
Diego Alejandro Casas Jimenez,191,28,1.042
Oscar Roth Andersen,232,28,1.046
Zayn Khanani,171,28,1.045
Nathan Dwyer,242,28,1.046
Carlos Méndez García-Barroso,222,28,1.044
Riley Woo,243,28,1.048
Maksym Yeli (Максим Єлі),121,27,1.037
Oscar Alberto Ceballos Contreras,158,27,1.049
Oleg Gritsenko,185,27,1.044
Luke Garrett,246,27,1.048
Piotr Kózka,189,27,1.043
Aiden Bartlett,159,27,1.047
Sam Schultz,180,27,1.052
István Kocza,182,27,1.036
Alwin Rölz,183,27,1.046
Jonah Crosby,238,27,1.049
Arifumi Fushimi (伏見有史),208,26,1.051
Andy Denney,204,26,1.041
Paolo Moriello,184,26,1.045
Ping-Yueh Huang (黃品越),180,26,1.055
Niki Placskó,161,26,1.036
Ulrik Bredland,172,26,1.044
David Remolina Amórtegui,155,26,1.044
Ivan Lew Yi Wen (刘义文),157,26,1.046
Lars Van den broeck,128,26,1.047
Mitchell Lane,225,26,1.042
Mario Laurent,166,26,1.038
Pau Vela García,185,26,1.047
Ivan Torgashov (Иван Торгашов),196,26,1.045
Dan Selzer,237,26,1.048
Richard Jay S. Apagar,153,26,1.044
Ciarán Beahan,161,26,1.041
Maciej Czapiewski,174,26,1.049
Cendy Cahyo Rahmat,193,26,1.042
Weixing Zhang (张炜星),211,26,1.042
Maria Oey,246,26,1.053
Leopoldo Andrés Ibarra Fuentes,172,26,1.046
Wilhelm Kilders,200,25,1.042
Hideki Niina (新名秀樹),141,25,1.038
Filippo Brancaleoni,221,25,1.048
Shane Grogan,166,25,1.045
Shu-Yii Luo (駱書翊),149,25,1.037
Nobuaki Suga (菅信昭),196,25,1.042
Xiaowei Wang (王晓伟),144,25,1.045
Elijah Brown,153,25,1.043
Ihor Bilchenko (Ігор Більченко),214,25,1.043
Serhii Koksharov (Сергій Кокшаров),158,25,1.042
Marcin Jakubowski,243,25,1.039
Jan Zych,221,25,1.045
Dennis Rosero,197,25,1.046
Kevin Costello III,174,25,1.045
John Edison Ubaldo (ᜇ᜔ᜌᜓ︀ᜈ᜔ ᜁᜇᜒᜐᜓ︀ᜈ᜔ ᜂᜊᜎ᜔ᜇᜓ︀),171,25,1.051
Hunor Mogyorósi,137,25,1.038
Brandon Mikel,166,25,1.046
Sheng Cao (曹晟),164,25,1.04
Alex Asbery,131,25,1.046
Bobby Mapp,124,25,1.035
Reinier Schippers,230,25,1.048
Geert Bicler,165,25,1.041
AJ Kamal,148,25,1.05
Oscar Nieto,182,24,1.049
Krish Shah-Nathwani,177,24,1.048
Xuming Wang (王旭明),184,24,1.057
Rachel Riggenbach,187,24,1.049
