name,avgs,bpas,ratio
Shih-Hao Wang (王士豪),29,5,1.055
RJ Gohn,26,4,1.055
Chilin Fang (方炽霖),14,1,1.055
Francisco Rosales,20,4,1.055
Kazuhiro Fukada (深田和宏),22,2,1.055
Liew Yee Voon (劉倚文),16,1,1.055
Gleiciano Cosmo Santos,12,1,1.055
Nolan Yiu,32,6,1.055
Tiancheng Feng (冯天成),14,4,1.055
Vincent Chan,24,3,1.055
Cheng Chen (陈成),18,2,1.055
Xingkai Yin (尹星凯),20,4,1.055
Takao Hashimoto (橋本貴夫),127,20,1.056
Ivan Vanek,16,2,1.056
Marlon de V. Marques,26,4,1.056
Liudi Sun (孙柳笛),17,3,1.056
Zian Song (宋子安),15,4,1.056
Ahmad Kamil Ihsan Bin Ikhwan,20,3,1.056
Xuechao Zhang (张学超),18,1,1.056
Daniel Sheppard,81,14,1.056
Renato Stopic,14,3,1.056
Gabriel Ignacio Fernández Albarracin,21,10,1.056
Ainesh Sevellaraja,34,6,1.056
Jiazhou Li (李佳洲),28,5,1.056
Yi-Fan Wu (吳亦凡),27,4,1.056
Santeri Laine,35,8,1.056
Bence Kiácz,17,1,1.056
Sergey Chirin,38,4,1.056
Daniel Wannamaker,24,6,1.056
Marcel Ručigaj,26,3,1.056
Gregor Billing,18,2,1.056
Paul Becsi,14,1,1.056
Manuel Bühler,25,9,1.056
Ben Stokes,17,5,1.056
Tang-Kai Huang (黃堂愷),29,4,1.057
Stiven Ramirez Tobon,13,3,1.057
Liam Wadek,11,2,1.057
Eki González García,27,4,1.057
Ewsey Obzherin,12,2,1.057
Chung Tze Yang (鍾志扬),12,1,1.057
Paris Dorn,19,4,1.057
Declan Wilhelm,12,3,1.057
Karam Al-Robaie,28,3,1.057
Mikhail Kopylov (Михаил Копылов),13,2,1.057
Peter Preston,33,7,1.057
Dániel Székely,21,4,1.057
Jack Pfeifer,35,9,1.057
Walter Duff,12,3,1.057
Nathan Dwyer,73,15,1.057
Alexey Mikhailov,17,2,1.057
Dennis Rosero,60,8,1.057
Jiajun Li (李嘉俊),11,1,1.057
Oscar Sánchez Najarro,32,4,1.057
Zachary Ochs,33,6,1.057
Henrique Fonsêca Coelho Lima,11,0,1.058
Matěj Grohmann,12,0,1.058
Caleb Hoover,18,4,1.058
Tian Chen (陈天),13,1,1.058
Adam Gradess,13,3,1.058
Jinhao Zheng (郑金昊),12,3,1.058
Jayden McNeill,77,13,1.058
Benjamin Pugh,15,2,1.058
Geng Xie (谢耿),12,1,1.058
Zhenyu Wang (王振宇),14,2,1.058
Mason Langenderfer,38,9,1.058
Ian Southa,31,6,1.058
Anqi Yu,14,3,1.058
Choi Goho (최고호),19,3,1.058
Cormac Farrell,21,3,1.058
Eli Jay,53,11,1.058
Silas Starling,16,1,1.058
Matthew Prestwich,22,4,1.058
Christian Smedegaard,18,3,1.058
Dawid Wójcik,22,2,1.058
Niclas Mach,11,2,1.058
Robert Paus,14,2,1.059
Kaidrich Keolo Pobre,11,2,1.059
Paul Luciw,18,3,1.059
Joel Lundström,17,1,1.059
Muhammad Hafizuddin Akhtar Bin Mohd Zainal Abidin,18,5,1.059
Joonas Silvennoinen,51,9,1.059
Yepeng Sun (孙叶芃),29,3,1.059
Mihnea Andrei Panţu,17,3,1.059
Daniel Pavelich,12,0,1.059
Weiwen Zhang (章巍玟),16,2,1.059
Ace Djun T. Aguirre Jr.,11,3,1.059
Bingliang Li (李炳良),27,5,1.059
Paul Taylor,11,2,1.059
Ethan Pride,14,3,1.059
David Beugnon,29,7,1.059
Brandon Lin,54,6,1.059
Marco Willems,14,2,1.059
Jared Balassaitis,27,2,1.059
Lucinda Zhou,11,1,1.06
Pavlo Huk (Павло Гук),28,2,1.06
James Hildreth,44,7,1.06
Lucas Déglise,58,11,1.06
Conor Cronin,16,0,1.06
Tyler Howlett,45,6,1.06
Robin Deun,14,3,1.06
Stanley Nerkowski IV,19,5,1.06
Ruzhen Ye (叶儒臻),49,6,1.06
Anukun Supcharoenkun (อนุกูล ทรัพย์เจริญกุล),21,3,1.06
Erik Bryland,13,2,1.06
Daan Baartmans,39,6,1.06
Jorge Augusto Siqueira Pinto,15,3,1.06
Alejandro Soriano,15,4,1.06
Jiayu Wang (王佳宇),17,3,1.06
Volodymyr Korol (Володимир Король),34,8,1.06
Daniel Greigg,27,5,1.06
Erick Lemus Fuentes,19,2,1.06
Juho Arjanne,44,7,1.06
Fabio Bini Graciose,137,19,1.06
Emanuel Rheinert,30,5,1.06
Pavlo Bondar (Павло Бондар),14,0,1.061
John Brechon,52,8,1.061
Jorge Orrite,11,4,1.061
David Vujasić,24,8,1.061
Pedro Santos Guimarães,42,10,1.061
Sean Cutshaw,12,3,1.061
Will Wooden,11,2,1.061
Jonathan Charlesworth,35,4,1.061
Felipe Cardim,43,8,1.061
Alejandro Nicolay,27,4,1.061
Yonghao Xu (徐永浩),11,2,1.061
Arnav Arora,30,3,1.061
Oliver Castledine,13,3,1.061
Christopher Cabrera,13,3,1.061
Michał Krasowski,99,15,1.061
Kim Jokinen,20,3,1.061
Daniel Yakhkind (Даніель Яхкінд),20,3,1.061
Mateusz Cichoracki,14,1,1.061
Zihao Wang (王子豪),12,2,1.061
Luke Garrett,63,12,1.061
Leo Min-Bedford,20,6,1.061
Simone Canova,12,1,1.061
Fabricio Andrés Yañez Terrazas,11,3,1.061
Malte Ihlefeld,75,11,1.061
Rūdolfs Vīnkalns,21,5,1.061
Ilona Ansel,22,5,1.061
Helbert Cabana Cáceres,15,2,1.062
Aamir Saifee,15,1,1.062
Nikita Loika,26,5,1.062
Raúl Low Beattie,52,3,1.062
Alfonsus Rahardjo,11,2,1.062
Burak Erdil Biçer,13,1,1.062
Bruno Fonsêca Coelho Lima,29,4,1.062
Lucas O'Connell,31,7,1.062
Michael Young,109,8,1.062
Max Siauw,105,18,1.062
Jason White,50,7,1.062
Carl Joshua Garcia,13,1,1.062
Kacper Paweł Dworak,35,3,1.062
Tzu-Han Hung (洪梓菡),84,14,1.062
Yiwei Liu (刘伊玮),36,5,1.062
Bryce Rohloff,13,2,1.062
Samuel Fang,38,6,1.062
Theo Hall,11,3,1.062
Rui-Jun Liu (劉睿鈞),86,19,1.062
Josh Bloch,39,7,1.062
Ishaan Bhattacharyya,24,3,1.062
Joseph Ong,18,4,1.062
Robin Verstraten,19,4,1.062
Charlie Stark,76,9,1.062
Nathan Azaria,24,1,1.062
Calix Tang,18,3,1.062
Michał Pleskowicz,65,10,1.062
James Quinn,38,9,1.062
Dwyane Ramos,22,5,1.062
Rahul Kulkarni,21,1,1.063
Michael (謝富亦),25,4,1.063
Antoine Piau,86,14,1.063
Dylan Hughlett,22,8,1.063
Tim Xie,31,3,1.063
Alessandro Nicolì,27,6,1.063
Linus Frész,59,14,1.063
Yiqun Fan (樊轶群),14,3,1.063
Loïc Petit,28,4,1.063
Thai Bui,12,3,1.063
Christopher Sun,11,2,1.063
Mitchell Hum,23,4,1.063
Federico Borgogni,15,2,1.063
Will Russo,29,4,1.063
Jakub Grzybowski,14,1,1.063
Liam Wickett,11,3,1.063
Cale Schoon,42,10,1.063
Vincent Chen,45,5,1.063
Daniel Cano Salgado,14,3,1.063
Tobias Droste,24,1,1.063
Vasily Stasyev,56,8,1.063
Ron van Bruchem,11,2,1.063
Rustin Haderlie,20,4,1.063
Priyanshu Kumar,25,6,1.063
John Edison Ubaldo (ᜇ᜔ᜌᜓ︀ᜈ᜔ ᜁᜇᜒᜐᜓ︀ᜈ᜔ ᜂᜊᜎ᜔ᜇᜓ︀),33,6,1.063
Magnus Søndergaard Byrne,38,5,1.063
Artur Miralles Hernàndez,14,0,1.063
Andy Gong,29,1,1.063
Ng Jian Je (方健泽),16,2,1.064
Ilya Anishchenko,15,1,1.064
Yuki Uchida (内田佑毅),20,4,1.064
Noah Kraft,35,4,1.064
Boris Lont,12,3,1.064
Daniel Vædele Egdal,84,14,1.064
Lorenzo Franco Kasilag,28,5,1.064
Andrew Rizo,27,3,1.064
Przemysław Rogalski,74,9,1.064
Karla Struer Lund,16,2,1.064
Wilhelm Kilders,81,10,1.064
Tommy Kiprillis,43,5,1.064
Zhoupeng Yang (杨周澎),18,4,1.064
Piotr Michał Padlewski,65,9,1.064
Mattias Uvesten,36,3,1.064
Aidan McKenzie,20,4,1.064
Leo Lindqvist,49,5,1.064
Marcos Masini,20,2,1.064
Destin Shulfer,12,1,1.064
Erwan Kohler,15,5,1.064
Fumiki Koseki (古関章記),27,2,1.064
Tymon Kolasiński,36,6,1.064
Daniel James,39,7,1.064
Christopher Chi,88,9,1.064
Wojciech Knott,52,10,1.064
Akash Rupela,58,14,1.064
Adrián Ramírez,19,6,1.064
Alessio Giuliano,21,2,1.065
Julen Simón Iriarte,32,5,1.065
Mikus Lembergs,16,5,1.065
Pierre Bouvier,31,6,1.065
Zhiyang Chen (陈至扬),13,2,1.065
William Palmer,12,3,1.065
Manuel Ernesto Torres Vega,23,1,1.065
Sheldon Rego,21,4,1.065
Hargun Singh Tikku,17,3,1.065
Gabriel Barrios,15,1,1.065
Mohammed Aiman Koli,24,6,1.065
Kyra Joiner,40,5,1.065
Thibault André,14,1,1.065
Isaac Latta,11,1,1.065
Jonathan Culbertson,17,0,1.065
Firstian Fushada (符逢城),38,5,1.065
Bill Hammill,43,4,1.065
Sebastian Outh-Aut,17,4,1.065
Yuchen Huang (黄禹尘),17,2,1.065
Dylan Baumbach,18,3,1.065
Wong Chong Wen (黄崇文),46,6,1.065
Jakub Bartos,13,0,1.065
Jacob Posner,31,5,1.065
Reto Bubendorf,97,15,1.065
Óskar Pétursson,12,0,1.065
Michael Röhrer,55,14,1.065
Martin Vædele Egdal,87,14,1.065
Andreas Lambropoulos,12,1,1.065
Mike Ditton,11,2,1.065
Andrey Kolevatykh (Андрей Колеватых),19,3,1.065
Ziyuan Lin (林子源),52,6,1.065
Ho Hsieh (謝合),27,2,1.066
Xiaobin Rui (芮晓彬),21,3,1.066
Philippe Virouleau,77,10,1.066
Rasmus Stub Detlefsen,65,10,1.066
Nicholas Daneshvari,39,5,1.066
Branko Kobal,26,4,1.066
Caleb Hoffman,13,1,1.066
Gaurav Taneja,25,4,1.066
Alikhan Yertursyn (Алихан Ертурсын),18,3,1.066
Tim Reynolds,12,1,1.066
Adam Chodyniecki,17,3,1.066
Lorenzo Vigani Poli,47,5,1.066
Nathan Soria,30,4,1.066
Lee Stanton-Barnett,22,2,1.066
Joel Cetra,39,4,1.066
Aiden Bartlett,87,13,1.066
Naglis Peciulis,15,2,1.066
Jiawei Wu (伍嘉维),27,4,1.066
David Woner,32,3,1.066
Jan van Dorst,27,3,1.066
Sophie Chan,24,4,1.066
Ashley Foster,11,0,1.066
Shuto Ueno (上野柊斗),26,2,1.066
Sicheng Gu (顾思成),13,3,1.066
Dmitry Zvyagintsev,12,0,1.066
Shivam Bansal,68,7,1.066
Bence Barát,173,21,1.067
Oscar Roth Andersen,21,2,1.067
Chris Braiedy,25,5,1.067
Callum Hales-Jepp,108,15,1.067
Christian König,35,7,1.067
Astrid Lacotte,11,2,1.067
Laura Holzhauer,52,4,1.067
Hector David Martinez Argaez,43,7,1.067
Michał Rzewuski,14,3,1.067
Cade Beck,17,4,1.067
Bo Wang (王擘),15,2,1.067
Martin Bláha,11,1,1.067
Chris Mills,48,6,1.067
Gabriel Silva dos Santos,15,2,1.067
Kamil Zieliński,19,2,1.067
Adam Kędziorski,15,4,1.067
Andrés Hisashi Suzuki,22,3,1.067
Diego Brizuela Crespo,19,1,1.067
Bartłomiej Owczarek,40,6,1.068
Javier López Fernández,31,4,1.068
Enzo Mattos,31,7,1.068
Luca Rizzi,22,1,1.068
Kajetan Opach,14,3,1.068
Sanchit Ashish,14,0,1.068
Chunyu Zhang (张春雨),28,4,1.068
Feilong Tang (唐飞龙),13,0,1.068
Magnus Patrick Kanstrup,24,5,1.068
Forte Shinko,19,1,1.068
Will Gurnett,25,5,1.068
Sebastian Werb,36,4,1.068
Dominic Amrhein,16,0,1.068
Austin Reed,13,1,1.068
Rubix Azevedo Martins da Silva,16,5,1.068
Magdalena Pabisz,55,6,1.068
Martín Nicolás Fernández Olavarría,11,1,1.068
Joris Mühlsteff,23,6,1.068
Ming Zheng (郑鸣),152,19,1.068
Bautista Bonazzola,43,3,1.068
Leo Bora Bozkir,16,2,1.068
José Leonardo Chaparro Prieto,53,5,1.068
Brian Johnson,43,3,1.068
Sinpei Araki (荒木慎平),20,1,1.068
Zijia Feng (冯子甲),84,17,1.069
Dominic Lumsden,25,5,1.069
Pratik Poojary,13,0,1.069
Lars Vandenbergh,58,9,1.069
Konstantin Solovev (Константин Соловьёв),26,4,1.069
