name,avgs,bpas,ratio
Xiaofeng Zheng (郑晓锋),12,2,1.031
Henrique Luiz Souza de Oliveira,13,2,1.031
Zhaoyu Tang,15,3,1.031
Guanbo Wang (王冠博),17,2,1.031
Riccardo Simone,58,14,1.031
Sebastián Pulgarín Manrique,19,5,1.031
Spondon Nath,16,5,1.031
Eliott Crancée,11,1,1.032
Nguyễn Khang Minh,23,5,1.032
Cenan Kanik,30,4,1.032
Konrad Przetacznik,13,2,1.032
Koh Youngjin (고영진),21,4,1.032
Justin Barker,26,7,1.032
Brendan James Gray,13,3,1.032
Gilson Sousa da Silva,45,9,1.032
Carlo Nicolai Abana,30,7,1.032
Sikan Li,18,3,1.032
Philip Khursevich,14,3,1.032
Anton Bedrichenko,12,2,1.032
Reynaldo Mape Jr.,20,6,1.032
Yi Hou (侯夷),15,3,1.032
Zelin Chen (陈泽霖),12,2,1.032
Teo Kai Xiang,21,4,1.032
Wei Wei (韦薇),20,4,1.032
Matias Rasmussen,13,4,1.032
Yang Qi (祁洋),11,2,1.032
Brenton Angelo Lo Wong,24,7,1.032
Piotr Koska,16,2,1.032
Yun-Rong Chiang (江昀容),18,3,1.032
Nico Wrodarczyk,15,3,1.032
Ardianto Satriawan,13,3,1.032
Sören Jaan Handschuch,11,3,1.032
Ziheng Ma (马子恒),22,7,1.032
Pedro Santos Guimarães,98,23,1.032
Yuhao Deng (邓宇豪),62,11,1.032
John Linder,11,2,1.032
Rahul Kulkarni,25,3,1.032
Daniel Chan,64,13,1.032
Eduardo José Poveda Rojas,14,3,1.032
Aldair Coronel Ruíz,26,7,1.032
Congjian Zhang (张丛健),23,5,1.032
Thomas Imada,13,4,1.032
David Ludwig,20,5,1.032
Mikhail Ivashechkin,13,5,1.032
Liam Chen,30,9,1.032
Sumeet Agarwal,32,5,1.033
Luke Van Laningham,26,6,1.033
Changshuo Zhang (张畅铄),15,4,1.033
Hiroto Fujita (藤田浩斗),24,6,1.033
Magne Njå,32,4,1.033
Péter Róka,18,3,1.033
Ivan Kravchenko (Іван Кравченко),19,6,1.033
Matthew Sieredzinski,12,2,1.033
Celine Tran,44,7,1.033
Declan Wilhelm,23,3,1.033
Rodrigo Kenji Asato Kobayashi,14,2,1.033
Jonathan Lööv,14,4,1.033
Aakash Josh,16,2,1.033
Janelle Tin,43,10,1.033
Emerson Herrmann,21,6,1.033
DongSoo Park (박동수),21,3,1.033
Renan Gonçalves Melo,23,4,1.033
Jörg Seidler,13,2,1.033
Daniil Lee,19,5,1.033
Zeke Miller,11,1,1.033
Guus de Wit,38,8,1.033
SeungWoon Lee (이승운),24,3,1.033
Zhedong Wang (王哲栋),15,2,1.033
Henry Won Kai Sheng,14,2,1.033
Christopher Sun,18,3,1.033
Cristobal Urrutia Reyes,11,3,1.033
Wojciech Knott,193,34,1.033
Frederik Løchte,17,5,1.033
Heng Wu (吴桁),14,2,1.033
Maggie Clark,28,7,1.034
Liudi Sun (孙柳笛),34,4,1.034
Ze Li (李泽),25,5,1.034
Christophe Woittequand,13,3,1.034
Berk Rende,30,6,1.034
Valerii Shcherbakov (Валерій Щербаков),20,1,1.034
Minjie Huang (黄敏杰),12,1,1.034
Tim Xie,13,2,1.034
Seung Hyun Kil (길승현),11,3,1.034
Lee Chiang (蔣礪),25,4,1.034
Paul Taylor,16,0,1.034
Ziwen Tao (陶子文),15,4,1.034
Ritwik Patnaik,15,1,1.034
Adi Maulana,15,1,1.034
Ivan Alexander Bonilla Morales,11,2,1.034
Joaquin Ruenes Hernández,21,5,1.034
Sundar Ram,15,2,1.034
Ojas Nimaje,23,2,1.034
Mykhailo Khymych (Михайло Химич),11,2,1.034
Nikolas Márkus,13,3,1.034
Krzysztof Rożałowski,11,1,1.034
Zhiwei Lin (林智玮),24,6,1.034
Yiquan Ling (凌艺全),14,2,1.034
Darja Makurina,21,6,1.034
Clark Cheng,28,5,1.034
Angel Antonio Corporam,11,4,1.034
György Pintér,30,8,1.034
Shintaro Nishijo,14,3,1.034
Oswaldo Antonio Pajuelo Puppo,28,2,1.034
Leyner Jamauca,21,2,1.034
Sergey Pesnyakevich,11,3,1.034
Charles Koebele,15,2,1.034
Jerry Yao,19,4,1.034
Ryan Patricio,22,5,1.034
Hongyuan Fu (傅泓源),13,1,1.034
Dániel Székely,29,5,1.034
Daniel James,20,6,1.034
Dominik Pasztetnik,20,3,1.034
Andreas Gröbmayr,23,3,1.034
Edoardo Disarò,21,5,1.034
Max Xiong (熊锐明),30,7,1.034
Bolivar Chafla,17,3,1.034
Hongfei Tian (田洪飞),12,1,1.034
Nick Stoker,12,1,1.034
Eli Lifland,12,1,1.034
Alexey Polyashov,106,16,1.034
Tomas Bustos,12,3,1.034
Luis Miguel Ávila Mattos,16,4,1.034
Luc Bazinet,14,5,1.034
Piotr Trząski,19,4,1.034
Fan Derlentz Perceval,13,5,1.034
Diego Brizuela Crespo,18,2,1.035
Konstantin Kalinin,14,4,1.035
Gints Aleksandrs Dreimanis,16,2,1.035
Zhenchuan Wang (王震川),15,4,1.035
Pengwei Chen (陈芃威),18,0,1.035
Fyodor Borisov,19,4,1.035
Cary Huang,17,4,1.035
Jedrick Remonde,70,13,1.035
Olivier Vermersch,13,4,1.035
Agustín Bernasconi,38,9,1.035
Yu Da-Hyun (유다현),11,1,1.035
Andreas Lambropoulos,25,2,1.035
Filip Miazek,14,3,1.035
Marvin Strehl,15,2,1.035
Fabian Oleś,18,4,1.035
Freddy Fernández Córdova,21,4,1.035
Wong Kin Lok (黃健樂),83,13,1.035
Michael Andres Castillo Lemus,48,8,1.035
Justin He,24,6,1.035
José Leonardo Chaparro Prieto,89,19,1.035
Sherkhan-Mukhammad Nasirov,16,3,1.035
Nikolay Golovenko,19,5,1.035
James Hamory,58,13,1.035
Philipp Kratzer,12,2,1.035
Ben Kopriva,14,3,1.035
Daniel Tidsey,18,2,1.035
Staš Zupanc,45,9,1.035
Daniel Ho,16,3,1.035
Dharmesh Shahu,58,9,1.035
Hussain Iqbal,34,7,1.035
Trần Đăng Quang,12,1,1.035
Chun Lin (林春),13,2,1.035
Theo Lyholm,29,4,1.035
Wesley Miller,21,3,1.035
Phopphon Suwattee (ภพพนธ์ สุวัตถี),11,0,1.035
Szymon Salabura,11,1,1.035
Mynor Guzman,15,4,1.035
Zerong Zheng (郑泽荣),25,1,1.035
Mauricio Coronel Lovera,16,2,1.035
Kengo Yamawaki (山脇憲吾),13,5,1.035
Thibaud Ou,19,7,1.035
Parth Garg,13,5,1.035
Christian Rodríguez,15,5,1.035
Matthew McMillan,22,7,1.035
Yifan Wang (王逸帆),28,7,1.035
Sandy Aaron Jones,16,2,1.035
Kaius Young,12,0,1.035
Ekaterina Soboleva (Екатерина Соболева),22,2,1.035
Valerii Pochtar (Валерій Почтар),11,0,1.035
Andrii Vasyliev (Андрій Васильєв),17,4,1.035
Jiaxi Ye (叶佳希),39,9,1.035
Samuel Moliver,11,1,1.035
Noah Pihlstrand,12,3,1.035
Igor Pfaffenrot,12,0,1.035
Polina Lapteva (Полина Лаптева),11,2,1.035
Jack Stewart,13,4,1.035
Christian Foyle,35,4,1.035
Arsène Laffarre,11,3,1.035
John Mico Palo,12,4,1.035
Ivan Bogdan,12,2,1.035
Amina Chebochakova (Амина Чебочакова),11,1,1.035
Inigo Miguel B. Palisoc,24,1,1.035
Koen van den Berg,18,3,1.036
Ritwik Pattnaik,17,3,1.036
Anusanth Santhosh,11,2,1.036
Shengjun Yang (杨胜军),14,3,1.036
Shih-Lun Huang (黃士倫),19,4,1.036
Chingizkhan Mukhametdinov,22,4,1.036
Alvin Liantoro Ramli,12,3,1.036
Vahid Mohammad Yahia (وحید محمد یحیی),11,3,1.036
Filip Šenk,14,1,1.036
Surendra Singh,11,2,1.036
Bo Huang (黄镈),27,4,1.036
Rodrigo Ugarte,113,22,1.036
Isaac Wappes,16,3,1.036
Dávid Balog,29,4,1.036
Nurym Kudaibergen,14,2,1.036
Nick Glover,15,1,1.036
Petr Vaško,11,1,1.036
Biel Salmons Gonzalez,25,5,1.036
Sukesh Subaharan,14,3,1.036
Jakob Obleser,36,6,1.036
Yusheng Liu (刘雨生),13,3,1.036
Jun-Rui Rao (饒峻睿),21,3,1.036
Zengchu Wu (吴增初),28,3,1.036
Erick Tian,15,2,1.036
Rodrigo Gómez Araya,16,1,1.036
Emna Boughizane,12,2,1.036
Angel Arrioja Landa,51,9,1.036
Roland Frisch,11,2,1.036
Mateus Silveira de Martini,13,3,1.036
Johannes Neugebauer,24,6,1.036
Theodor Nordstrand,14,4,1.036
Yongtao Sun (孙永涛),24,3,1.036
Dmitry Matthew Yaquinto,12,2,1.036
Gábor Róka,32,2,1.036
Sebastian Pretzsch,23,4,1.036
Alexis Margaret Magtibay,13,3,1.036
Lir Ukaj,26,4,1.036
Kerry Creech,20,4,1.036
Conor Sheridan,11,3,1.036
Pál Szekrényessy,14,4,1.036
Junxi Jian (简隽希),16,4,1.036
Eduardo Antonio Lara Martínez,27,8,1.036
Vishwanath Jeyaraman,13,2,1.036
Ahmad Fauzi Wibowo,23,5,1.036
Cristina Orenes Conesa,18,5,1.036
Jakub Grzybowski,13,2,1.036
Tomasz Seweryn,23,3,1.036
Kyle McDonald Trejos,16,3,1.036
Hui Hing Ho (許鑫豪),26,3,1.036
Damián Campos,37,8,1.036
Juan Pablo Silvera Prieto,12,2,1.036
Artyom Sermyazhko,16,5,1.036
DongHwan Lim (임동환),13,4,1.036
Chan Tak Chuen (陳德泉),110,11,1.036
Eduardo Henrique Philippsen,21,5,1.036
Xuan Gong (龚轩),31,5,1.036
Edouard Chambon,41,8,1.036
Wayne Pi,20,3,1.036
Tiffany Chien,72,12,1.037
Mattheo de Wit,34,10,1.037
Joel Ulin,79,13,1.037
Luis Javier Sanz Sardina,15,2,1.037
Leo Borromeo,32,7,1.037
Jian Wu (吴建),14,4,1.037
Max Hilliard,19,3,1.037
Ben Whitmore,43,7,1.037
Lucijan Cvijetović,11,5,1.037
Zheng Li (李政),39,10,1.037
Jiaxi Wang (王嘉熙),28,1,1.037
Joshua Beck,27,7,1.037
Vishantak Srikrishna,58,11,1.037
Timo Hromádka,16,5,1.037
Michael Young,160,27,1.037
Olivér Nagy,15,3,1.037
Sanjay Jacob,12,3,1.037
Adithyaa Anand,46,11,1.037
Rodrigo Benitez,12,1,1.037
Bryson Azzopardi,17,5,1.037
Ilia Rashidi (ایلیا رشیدی),11,2,1.037
Christopher Murillo Reyes,11,1,1.037
Saransh Tandon,25,6,1.037
Sean Cutshaw,14,2,1.037
Steve Greer,16,2,1.037
Ian Bourn,16,3,1.037
Nolan Yiu,16,4,1.037
Misael Gómez Soria,18,3,1.037
Bertalan Bodor,57,12,1.037
Tomasz Żołnowski,99,19,1.037
Bence Hervay,13,3,1.037
Anup Prakash,30,3,1.037
Jingweichi Chen (陈经纬赤),20,4,1.037
Hung Lo (羅鴻),48,11,1.037
Shawn Poh,12,0,1.037
Kalina Brzezińska,66,9,1.037
Connor Reid,34,6,1.037
José Cruz Lara Rojas,20,2,1.037
Kyawkyaw Lwin,13,1,1.037
Yu-Chen Wang (王于宸),20,3,1.037
Joe Davis,11,4,1.037
Taoran Chen (陈陶然),27,5,1.037
Ethan Davis,50,11,1.037
Georg Aarnes Nisja,22,3,1.037
Karl Dickon Terez,19,3,1.037
Ariel Burak,11,3,1.037
Gabriel Gaza,19,2,1.037
Zihang Lin (林子杭),30,8,1.037
Daiki Matsumoto (松本大輝),19,3,1.037
Felix Berglund,14,4,1.037
Adolfo Ortega Tecuapacho,13,4,1.037
Matt Gossett,15,1,1.037
Adriel Wiebe,13,2,1.037
Garuda Firmansyah,24,4,1.037
Gabriel Alejandro Orozco Casillas,21,3,1.037
David Serban Enescu,40,8,1.037
Lorandt Mozsa,14,1,1.037
Jungwoo Kim (김정우),34,6,1.037
Jackson DeVico,13,2,1.037
Piotr Alexandrowicz,43,6,1.037
Chengxiang Cui (崔程翔),23,2,1.037
Connor Kempf,25,6,1.037
Qijun Miao (缪其隽),35,7,1.037
Mike Kotch,46,6,1.037
Jannik Gartmann,14,1,1.037
Dalibor Mrška,38,3,1.037
Mark Lester Rodriguez,11,2,1.037
Arvind Tatiparti,14,5,1.037
Jakob Jernsletten,12,1,1.037
Wenshun Zhou (周文舜),16,1,1.037
Anton Suzin,16,3,1.037
Swastik Joshi,19,3,1.037
Rasmus Händén,12,3,1.037
Nick Jordan Mesias Garcia,18,4,1.037
Simon Geertsema,17,4,1.037
Juan Jose Ajcam,15,2,1.037
Mikhail Kopylov (Михаил Копылов),17,3,1.037
Bingqing Xiong (熊柄清),11,0,1.037
Oliver Kugler,21,4,1.037
Nevins Chan Pak Hoong (陈百鸿),32,6,1.037
Kun Zhu (朱锟),37,2,1.037
Elliott Kobelansky,18,4,1.037
Marvin Llaneta,23,8,1.038
Yunqi Zhu (朱云奇),12,2,1.038
Hideki Niina (新名秀樹),26,6,1.038
Richard Jay S. Apagar,62,8,1.038
Sean Then (邓宇恒),25,5,1.038
Manuel López Sheriff,33,5,1.038
Joselle Kim Sublay,11,1,1.038
Arunachaleshwaran Ramkumar,12,2,1.038
Dimitri Dennis,11,2,1.038
Daniel Méndez,20,2,1.038
Bill Li,15,1,1.038
Alex Thielemier,37,6,1.038
Tao Wen (温韬),23,2,1.038
Bill Hammill,62,8,1.038
Ahmet Çınar Ablak,37,8,1.038
Ivan Polkanov (Иван Полканов),20,7,1.038
Zeyu Hu (胡泽宇),16,5,1.038
Philipp Danileiko,30,7,1.038
Henry Helmuth,57,13,1.038
Jinlin Dou (窦金麟),13,4,1.038
Aayas Dhoj Joshi,17,6,1.038
Sebastian Guerrero,17,3,1.038
Maxim Novikov,11,2,1.038
Abdullah Gulab,27,1,1.038
Vincent Liu (刘鹤洋),29,1,1.038
João Pedro dos Santos Costa,20,3,1.038
Arnav Arora,58,10,1.038
Frédéric Meinnel,11,3,1.038
Oleksandr Lutsiuk (Олександр Луцюк),18,4,1.038
Graeme Watt,17,1,1.038
Alfrisa Diva Wandana,18,1,1.038
Alan Chang,32,5,1.038
Zavian Valedon,28,4,1.038
Justin Paul Cañares,12,0,1.038
Vincent Colin,21,3,1.038
Samir Homsi,18,0,1.038
Artem Ryabikin,20,4,1.038
Imants Liepiņš,33,7,1.038
Oleksii Lukin (Олексій Лукін),23,0,1.038
Shu-Yii Luo (駱書翊),82,7,1.038
Kian Mansour,33,7,1.038
Chengyang Song (宋成阳),48,9,1.038
Andrei Solntsev,33,7,1.038
Darya Belonogova,15,5,1.038
Shubham Kumar,50,7,1.038
Quoc Long Van,11,1,1.038
Dagne Poveda,14,3,1.038
Kirk Nicklaus Manibuy,23,3,1.038
Pranav Raaghav,24,4,1.038
Zhiyuan Chen (陈智源),22,3,1.038
Léo Bailly,33,6,1.038
Henrik Buus Aagaard,157,25,1.038
Filbert Sim,20,8,1.038
PK Arumugam,22,3,1.038
Caiqing Tang (汤才庆),19,1,1.038
Erik Johnson,29,9,1.038
Ludwig Choi,31,4,1.038
Hugo Adams,14,3,1.038
Muhtasim Al Farabi,15,5,1.038
Rostislav Votinsev,16,6,1.038
Francisco Alonso,23,7,1.038
Diego Alejandro Casas Jimenez,104,17,1.038
Kaikai Xuan (轩凯凯),18,5,1.038
Adesh Mehta,12,2,1.038
Dawid Karczyński,17,2,1.038
Mohd Ashroof Bin Masri,17,3,1.038
Heewon Seo,14,3,1.038
Phil Thomas,11,2,1.038
Muhammad Zhafran Al-Allam,27,4,1.038
Maksymilian Kutyła,35,7,1.038
Yan Xuan (宣炎),20,2,1.038
Martin Fronescu,48,10,1.038
Konstantin Ushakov,21,4,1.038
Sarah Fluck,14,1,1.038
Derek Sears,16,4,1.038
Francisco Cabral de Jesus,34,5,1.038
Henry Savich,103,20,1.038
Wesley Allen,25,5,1.038
Shao-Heng Hung (洪紹恆),21,6,1.038
Rehaan Rasheed,22,4,1.038
Victor Medeiros Rebouças,14,2,1.038
Kevin Lopez Rodriguez,14,1,1.038
Yu-Kai Chen (陳宇楷),21,1,1.038
William Boards,13,3,1.038
Zayabaatar Batbayr,18,5,1.038
Juan Antonio Miranda Zùñiga,15,5,1.039
Muhammad Ammar Aufa B. Rosman,18,3,1.039
Ágoston Török,65,16,1.039
Adrian Cheung,24,7,1.039
Andres Flügel,29,1,1.039
Ng Jia Quan (黄佳铨),26,5,1.039
Zhibo Jin (金智博),13,1,1.039
Evan Serrano,12,1,1.039
Péter Pozsgai,14,2,1.039
Gin-Hung Chen (陳俊翰),21,4,1.039
Pranjal Khan,36,6,1.039
Mateo Tiul,32,7,1.039
Glib Vedmid,15,2,1.039
Jhon Edinson Arias Parra,50,7,1.039
Maximilian Deimel,40,6,1.039
Daniël Kassab,58,11,1.039
Daniel Escobar,52,10,1.039
Ryan Przybocki,30,3,1.039
Maxence Baudry,47,14,1.039
Anatoly Kim,53,10,1.039
Sumanth Chandrupatla,23,8,1.039
Sameer Aggarwal,57,18,1.039
Dorian Ernesto Rosales Rodriguez,11,4,1.039
Modest Podzolkin,16,4,1.039
Yu Byeong-Seon (유병선),14,5,1.039
Yuxuan Guo (郭雨轩),44,9,1.039
Omkar Chavan,47,12,1.039
Yumu Tabuchi (田渕雄夢),47,8,1.039
Francisco Thales Rocha Sousa,22,4,1.039
Dan Dzoan,90,11,1.039
Antto Pitkänen,28,6,1.039
Daniel Estuardo Tobar López,12,3,1.039
Ralf Marcus Veedler,13,3,1.039
Uriel Gayosso Ruiz,17,4,1.039
Alex Agranov,15,1,1.039
David Calvo Vivas,36,6,1.039
Enrymar Cisneros,15,3,1.039
Aset Agabekov (Асет Агабеков),21,3,1.039
Jonathan Leistner,18,1,1.039
Jiekang Pan (潘杰康),15,0,1.039
Kavin Tangtartharakul,44,11,1.039
Ruslan Kazin (Руслан Казин),23,4,1.039
Nabarun Deka,12,2,1.039
Szabolcs Szántai,36,7,1.039
Lee Glendenning,28,7,1.039
Zibo Xu (徐子博),49,7,1.039
Nicos Ahlgrimm,15,1,1.039
Kacper Paweł Dworak,21,2,1.039
Lester Doyugan Jr.,14,2,1.039
Raymond Castillo,12,0,1.039
Ramble Tandar,32,7,1.039
Mehrdad Navidian Mehr (مهرداد نویدیان مهر),13,0,1.039
Qianqian Shao (邵千芊),11,2,1.039
Ville Kilpeläinen,13,3,1.039
Andrii Chernichko (Андрій Черничко),47,10,1.039
Kenneth Gustavsson,15,3,1.039
Juan David Carmona Vásquez,43,9,1.039
Brian Hambeck,14,1,1.039
Shuto Ueno (上野柊斗),58,7,1.039
Semen Murzin (Семён Мурзин),11,0,1.039
Congbiao Jiang (蒋丛骉),14,2,1.039
Madhav Singh,30,5,1.039
Michel Ye,42,10,1.039
Habin Kim (김하빈),22,1,1.039
Simon Westlund,91,14,1.039
Ruicheng Li (李睿成),19,3,1.039
Tee Kai Yang,37,10,1.039
Kenneth Svendson,11,0,1.039
Genaro Sahib Leguizamon,33,8,1.039
Jesslyn Valerie,11,2,1.039
David Edwards,13,1,1.039
Volodymyr Hnidko (Володимир Гнідко),18,4,1.039
David Gomes,39,7,1.039
Nicolás Lasso Peña,17,4,1.039
Ramón Dersch,34,4,1.039
Kejiang Lu (陆柯江),11,0,1.039
Neel Shah,31,8,1.039
Marcos Aparicio Caro,21,3,1.039
Mohammad Sarlaki (محمد سرلکی),16,2,1.039
Manuel Aleandro Chang Pérez,29,2,1.039
Esukhei Bat-Erdene (Бат-Эрдэнэ Есүхэй),18,2,1.039
Ruikang Lu (陆瑞康),18,3,1.039
Rūdolfs Vīnkalns,40,9,1.039
Ethan Misteri,15,1,1.039
Matic Omulec,112,17,1.039
Siyu Sun (孙思雨),16,3,1.039
Saravanan Gowthaman,20,5,1.039
Ben Marlin,32,5,1.039
Joël van Noort,47,8,1.039
Mario Valverde Mariscal,14,2,1.039
Juan Pablo Huanqui,85,18,1.039
Darius Burt,17,6,1.039
Daryll Ben Relatorres,14,2,1.039
Jakub Drobný,36,6,1.039
Oscar Fernando Hernandez Reyes,13,1,1.039
Cole Breuer,16,1,1.039
Rodolfo Jepte Lutrania Mabanta,19,2,1.039
Christopher Olson,131,19,1.039
Juan Manuel Velásquez Rivera,14,2,1.039
Matthew Lee,18,0,1.039
Ville Seppänen,24,0,1.04
Dwyane Ramos,25,7,1.04
Jordan Mosakowski,27,6,1.04
Jesus Eduardo Leiva Ramos,64,10,1.04
CJ Sheng,21,2,1.04
Mateusz Bytner,12,0,1.04
Liam Orovec,35,8,1.04
Adam Chodyniecki,34,3,1.04
Bart Sekulski,30,3,1.04
Feiyang Shen (沈飞飏),21,6,1.04
Maxime Clapié,33,5,1.04
Niko Paavilainen,42,8,1.04
Glenn Mark Salgado,17,2,1.04
Viktor Kalmar,71,14,1.04
Jasper Murray,20,2,1.04
Franklin Ronquillo,21,5,1.04
Lucas Benito Rolando,17,2,1.04
Adrian Dudek,15,1,1.04
Kaustubh Varshney,15,1,1.04
Fritz Löhr,41,11,1.04
Mingzhi Da (达明志),23,5,1.04
Jason Kilbourn,23,6,1.04
Alexander Kapustin,18,4,1.04
Jeremy Collins,11,2,1.04
Vishal Mohanraju,13,4,1.04
Abhishrut Khanna,32,8,1.04
Jeremy Fleischman,214,34,1.04
Wen-Pin Chen (陳文聘),39,5,1.04
Justin Lin,14,3,1.04
Etienne Parent,16,1,1.04
Fubo Wang (王富博),67,11,1.04
Lucas Déglise,99,9,1.04
Brian Kim,15,2,1.04
