name,avgs,bpas,ratio
Nanda Bhayu Hariyanto,120,24,1.043
Balázs Máté,104,17,1.043
Willian Fidêncio,135,25,1.043
Huan Yuan (袁欢),167,20,1.043
Alexander Kupfer,92,15,1.043
Francis Wong Jia Yen,152,17,1.043
Hideki Niina (新名秀樹),389,63,1.043
Evie Klein,158,31,1.043
Jiaxi Ye (叶佳希),242,40,1.043
Jose Daniel Cobo Torres,146,28,1.043
SeungWoon Lee (이승운),99,21,1.043
Nela Sendlerová,122,26,1.044
Jan Staubach,286,41,1.044
Kevin Arturo Huamán Ruiz,110,14,1.044
Jason Baum,126,16,1.044
David Gomes,102,13,1.044
Wayne Pi,169,25,1.044
Menglin Xu (徐梦麟),91,10,1.044
Lucero Esmeralda Alvarado Ruíz,109,21,1.044
Dongzhe Li (李东哲),190,37,1.044
Hongye Sun (孙虹烨),190,36,1.044
Marion Gerard Bulanhagui,104,12,1.044
Darren Kwong,137,23,1.044
Pascal So (蘇柏熙),97,16,1.044
Sooho Lee (이수호),114,23,1.044
Jesús Jorge García López,93,19,1.044
Diego Meneghetti,232,40,1.044
Yi-Fan Wu (吳亦凡),996,152,1.044
Yusuke Takada (高田祐介),162,18,1.044
Junyue Liu (刘俊越),160,24,1.044
Chris Deng,181,37,1.044
Dave Campbell,559,70,1.044
Cai Ying (应才),110,18,1.044
Takayuki Ookusa (大艸尊之),522,68,1.044
Guillermo Conde Gil,248,35,1.044
Kaijun Lin (林恺俊),348,59,1.044
Rui Reis,214,37,1.044
Angel Anampa,253,47,1.044
Zheng Lin (林铮),278,34,1.044
Pranjal Khan,151,22,1.044
Jael Riggenbach,196,28,1.044
Kentaro Nishi (西賢太郎),164,33,1.044
Noriyuki Okada (岡田典之),146,29,1.044
David Armstrong,121,19,1.044
Bruno Vervoort,477,63,1.044
Marco Belotti,181,20,1.044
Josiah Samuel Saysombath,97,21,1.044
Yu Nakajima (中島悠),418,54,1.044
Mitchell Stern,93,12,1.044
Gilles Roux,94,16,1.044
Steve Greer,181,32,1.044
Allison Li,114,16,1.044
Yngwie Onodera,104,17,1.044
Ethan Davis,391,52,1.044
Viljo Elo,142,26,1.044
Christophe Woittequand,163,35,1.044
Wei Yuen Teh,104,15,1.044
Joël van Noort,260,36,1.044
Rama Temmink,310,52,1.044
Yun-Rui Chiang (江昀叡),108,19,1.044
Cristian Huamaní,144,18,1.044
Yuxuan Song (宋宇轩),112,11,1.045
Shengliang Cai (蔡盛梁),96,19,1.045
Teo Kai Xiang,121,17,1.045
Tanish Saxena,92,11,1.045
Lucinda Zhou,100,15,1.045
Rodrigo Ugarte,803,123,1.045
Dylan Cook,101,13,1.045
Sihan Jiao (焦思涵),104,17,1.045
Caiqing Tang (汤才庆),94,11,1.045
Alese Devin,255,35,1.045
Adam Walker,226,30,1.045
Nico Wrodarczyk,130,22,1.045
Jack Moseley,271,31,1.045
Xingyan Ding (丁醒炎),127,22,1.045
Asato Irifune (入船朝斗),254,37,1.045
Dongdong Qu (曲冬冬),133,12,1.045
Andrew Park,291,35,1.045
Adam Greenwood,292,34,1.045
Adrian Walkowiak,147,20,1.045
Manuel López Sheriff,123,21,1.045
Darja Makurina,169,21,1.045
Chung-Han Hsu (許鍾瀚),309,50,1.045
Shotaro Makisumi (牧角章太郎),153,25,1.045
Preston Nguyen,143,14,1.045
Adam Polkowski,628,89,1.045
Tianyu Xiong (熊天煜),92,18,1.045
Edouard Chambon,237,38,1.045
James Donahue,412,59,1.045
Ilyas Arystanbekov (Ильяс Арыстанбеков),204,21,1.045
Dana Yi,667,96,1.045
Yonghua Xie (解永华),119,20,1.045
Jihu Mun,105,22,1.045
Jiayong Tian (田佳勇),94,11,1.045
Michael Bame,103,15,1.045
Tomoya Iida (飯田朋也),257,35,1.045
Ling Qin (秦岭),106,18,1.045
Leopoldo Andrés Ibarra Fuentes,406,53,1.045
Gustavo Andre Taipe Gratelly,95,17,1.045
Bogdan Briciu,112,23,1.045
Minhyun Kim (김민현),137,21,1.045
Gabriel Santiago Velez Gonzalez,269,43,1.045
Matthieu Aubert,105,13,1.045
Kevin Hays,667,90,1.045
Robert Paus,165,35,1.045
Ying Lin (林颖),174,31,1.045
Ruzhen Ye (叶儒臻),255,24,1.046
Bart Sekulski,263,42,1.046
Marco Vorländer,473,73,1.046
Alex Anderson Bedon Valentin,106,20,1.046
Jackson Taylor,103,15,1.046
Guillain Potron,138,22,1.046
Haowei Fan (樊浩玮),234,46,1.046
Kengo Kageyama (蔭山賢吾),122,20,1.046
Thibaut Jacquinot,128,23,1.046
James Macdiarmid,537,81,1.046
Bingliang Li (李炳良),100,14,1.046
Bryan Kevin Jimenez Cruz,115,26,1.046
Clark Cheng,131,15,1.046
Pengju Li (李鹏举),153,27,1.046
Clancy Caster,125,19,1.046
Nikolaus Lindinger,233,36,1.046
Henrique Fonsêca Coelho Lima,101,24,1.046
Enol Matilla,128,27,1.046
Pilan Scruggs,105,21,1.046
Hunor Mogyorósi,437,73,1.046
Gabriel,125,17,1.046
Máté Horváth,197,33,1.046
Andrey Lopez Rodríguez,100,14,1.046
Alexandru Constantin Stoica,171,25,1.046
Albert Philip Bulao,103,10,1.046
Luchen Zhang (张录辰),153,19,1.046
Xuan Gong (龚轩),97,20,1.046
Wojciech Knott,1354,193,1.046
Ryan Eckersley,92,18,1.046
Robin Tschümperlin,185,37,1.046
Ahsanul Insan Hamid,91,23,1.046
Yuxuan Chen (陈雨璇),411,60,1.046
David Lim,448,64,1.046
Alex Asbery,493,70,1.046
Hubert Firek,94,13,1.046
Gregorio Missael Lopez Sanchez,121,16,1.046
Michał Śliwiński,102,19,1.046
Lam Yu Ching (林雨晴),180,24,1.046
Timo Hromádka,94,21,1.046
Javier Siquité,96,19,1.046
Muhammed Enes Ertaş,134,21,1.046
Shelley Chang,302,41,1.046
Zheng Li (李政),164,37,1.046
Kotaro Terada (寺田晃太朗),129,25,1.046
Chris Dzoan,158,28,1.046
Alexander Lin,190,28,1.046
Yang Li (李扬),225,35,1.046
Ben Ridley,180,34,1.046
Yueh-Lin Tsai (蔡岳霖),600,77,1.046
Maja von Borstel,145,17,1.046
Yu Gu (谷雨),148,32,1.046
Jeremy Fleischman,709,104,1.046
Jacob Fanikos,105,21,1.046
Emil Schwarz,151,28,1.046
Micah Stairs,155,22,1.046
Che-Ting Chu (朱哲廷),210,29,1.046
Liping Jia (贾立平),127,16,1.046
Julian Bürgi,91,16,1.046
Sebastian Pretzsch,104,12,1.046
Matthew Prestwich,354,46,1.046
Dmitry Patrikeev,114,15,1.046
Tim Habermaas,203,33,1.046
Daniil Lee,144,24,1.046
Dániel Kui,95,14,1.046
Alexey Polyashov,332,52,1.046
Ryan Driscoll,325,48,1.046
Robin Blöhm,220,24,1.046
Tang-Kai Huang (黃堂愷),120,20,1.046
Kent Thomson,138,23,1.046
Inigo Miguel B. Palisoc,171,19,1.046
Mark Rivers,114,18,1.046
Artem Yashkov,342,62,1.046
Yi-Heng Lee (李宜衡),267,37,1.046
Sergey Shmakov,113,17,1.046
Connor Kempf,91,10,1.046
Azhar Virani,373,58,1.046
Philipp Senser,97,16,1.046
Nat Baylon,206,26,1.046
Natán Riggenbach,274,43,1.046
Roy Lee,507,84,1.046
Dan Pastushkov,267,48,1.046
Florian Kreyssig,98,9,1.046
Jonathan Papa,185,22,1.047
Sirish Nutakki,101,11,1.047
Guilherme Henrique Paes Landim,110,20,1.047
Andrii Doroshenko (Андрій Дорошенко),93,15,1.047
An Hu (胡安),119,13,1.047
Zane Carney,143,23,1.047
Adolfo Ortega Tecuapacho,101,18,1.047
Walter Felix,195,30,1.047
Kilambi Satvik,95,17,1.047
Annika Stein,492,82,1.047
Nurym Kudaibergen,119,22,1.047
Fubo Wang (王富博),382,64,1.047
Michael Gottlieb,321,41,1.047
Isaac Wong Chang Man,100,20,1.047
Adam Czech,183,27,1.047
Edward Hollingdale,283,32,1.047
Carlos Andres Hidalgo,98,13,1.047
Martin Brath,348,41,1.047
Zhiqing Shi (石志庆),146,19,1.047
Yota Ueda (上田陽太),102,13,1.047
Yuhei Takagi (高木佑平),687,98,1.047
Anton Smolyanyy,133,21,1.047
Franz Gerard Matunding,94,19,1.047
Yannick Richter,164,33,1.047
Zhaoyang Hong (洪兆阳),143,21,1.047
Bryan Melao,129,21,1.047
Taylor Cookmeyer,253,32,1.047
Zihang Lin (林子杭),123,27,1.047
Baocheng Wu (吴宝城),326,51,1.047
Aurelien Souchet (高凡),274,44,1.047
Ramón Dersch,241,37,1.047
Anang Hariyanto Nurhadi,92,18,1.047
Marvin Strehl,100,7,1.047
Dmitry Matthew Yaquinto,94,16,1.047
Daniel Delgado Candia,201,36,1.047
Pahul Singh,123,12,1.047
Daniel Evans,190,26,1.047
Zihan Mu (穆子晗),107,14,1.047
Durben Joun Virtucio,110,17,1.047
Rizki Akbari Utama,127,14,1.047
Zachary Friedman,143,23,1.047
Simon Lim (林少秋),296,39,1.047
Tairan Zhong (钟泰然),300,44,1.047
Yu Tang (唐语),245,29,1.047
Pritesh Lunkad,200,30,1.047
Yong Hyeon Jo (조용현),91,13,1.047
Anthony Lauro,101,18,1.047
Julien Wachter,134,20,1.047
Mitsuki Gunji (郡司光貴),289,43,1.047
Yohei Oka (岡要平),399,48,1.047
Elmo Tiitola,107,17,1.047
Nathan Peck,131,27,1.047
Cameron Jones,173,29,1.047
Esdras Rodolfo Toc Hi,125,18,1.047
Austin Jensen,103,11,1.047
Chilin Fang (方炽霖),112,15,1.047
Fernando Daniel Hernández Sánchez,110,13,1.047
Philipp Roth,226,33,1.047
Alex Walker,200,26,1.047
Niño Francis S. Reyes,371,49,1.047
Hersh Shrivastava,93,15,1.047
Shuto Ueno (上野柊斗),437,62,1.047
Chris Brotzman,217,23,1.047
Yuta Okada (岡田雄太),165,27,1.047
Connor Reid,204,29,1.047
Ryosuke Higo (肥後亮佑),169,24,1.047
An Le,157,24,1.047
Rey-Ann Constantino,153,21,1.047
Kian Barry,658,87,1.048
Vasco Vasconcelos,123,16,1.048
Alistair Robequin,117,22,1.048
Takayuki Matsumoto (松本孝之),113,20,1.048
Andres Flügel,204,28,1.048
Xiaoxue Zhou (周晓学),135,13,1.048
Mohd Ashroof Bin Masri,136,17,1.048
Jr-Wei Jang (張智瑋),729,93,1.048
Sergio Yagüe Carpio,106,16,1.048
Dene Beardsley,402,59,1.048
Feilong Tang (唐飞龙),201,27,1.048
Junlong Li (李俊龙),123,21,1.048
Jorge Morata Carrasco,126,17,1.048
Ville Seppänen,139,22,1.048
Joseph Briggs,110,20,1.048
Anton Rostovikov,249,39,1.048
Bogdan Grigoruţă,172,28,1.048
Marco Mendoza,204,26,1.048
Jefferson Fallas Rojas,101,19,1.048
Shuhei Omura (大村周平),567,80,1.048
Takayuki Tanaka (田中隆喜),194,28,1.048
Michal Vasko,104,13,1.048
Dartagnan Mullins,92,18,1.048
Hector Huanqque,94,19,1.048
Fabian Alberti Maldonado,150,20,1.048
Ben Hart,125,15,1.048
Brandon Nunez,318,41,1.048
Thomas Millen,116,14,1.048
Junliang Huang (黄骏亮),93,14,1.048
Kim Min (김민),110,10,1.048
Jakub Sokołowski,145,18,1.048
Manuel Popayán,262,37,1.048
Collin Burns,360,61,1.048
Yiming Liu (刘一鸣),215,34,1.048
Thomas Valles,228,38,1.048
Fernando Calle Gonzales,115,20,1.048
Vito Kosasih (高耀梁),126,11,1.048
Michael Angelo Zafra,266,32,1.048
Maria Zhits,213,34,1.048
Declan Wilhelm,145,20,1.048
Francisco Javier Lemes Sáez,158,30,1.048
Vladislav Shavelskiy,157,23,1.048
Carlo Nicolai Abana,180,34,1.048
Maksymilian Majcher,447,56,1.048
Ming Dao Ting,93,13,1.048
János Bereczki,525,70,1.048
Haodong Cheng (程昊东),164,19,1.048
Noah Stelting,169,26,1.048
Teh Keng Foo (郑庆富),125,17,1.048
Shih-Hao Wang (王士豪),225,27,1.048
Neel Gore,185,27,1.048
Nguyễn Việt Hoàng,150,23,1.048
Joseph Daniel Blas Sanchez,694,115,1.048
Benjamin Wei,110,19,1.048
Justin He,163,27,1.048
Kévin Cagnon,376,65,1.048
Artem Ryabikin,106,14,1.048
Andrew Bae,245,40,1.048
Lukas Kint,106,13,1.048
Vincent Wong,148,22,1.048
Donglei Li (李冬雷),195,28,1.048
Eben Quenneville,134,16,1.048
Bartłomiej Krokos,141,25,1.048
Mengfei Shen (沈梦非),214,33,1.048
Sarah Cook,305,37,1.048
Kaan Ulkusal,94,15,1.048
Christopher Sun,191,32,1.048
Kåre Krig,190,24,1.048
Gábor Róka,139,14,1.048
Chengxiang Cui (崔程翔),184,30,1.048
Timur Kakhanovich,113,13,1.048
Wei Wang (王炜),138,19,1.048
Jordi Sebastian Solar Chavez,96,15,1.048
Jorge Orrite,140,30,1.048
Tom Nelson,306,46,1.048
Giorgio Zonta,132,24,1.048
Juan Andres Ruiz Polo,171,29,1.048
Katsunori Ishiguro (石黒克典),136,22,1.048
Justin Badua,131,16,1.048
Leon Schmidtchen,1336,184,1.048
Yiwei Wang (王祎玮),115,20,1.048
Aman Bhutani,159,27,1.049
Er-Sheng Kuo (郭爾陞),489,75,1.049
Jiazheng Zhao (赵家正),273,30,1.049
Jay Dhiru,119,17,1.049
Pei-Chun Tsao (曹培峻),127,19,1.049
Ewsey Obzherin,120,16,1.049
César Cornejo Soldevilla,93,12,1.049
Dmitry Dergunov,626,87,1.049
Vladimir De la Torre,120,18,1.049
Anay Shrikar,122,21,1.049
Matic Omulec,961,149,1.049
Gang Ji (纪纲),164,35,1.049
Katie Hull,1446,215,1.049
Oleksii Lukin (Олексій Лукін),180,23,1.049
Nipun Kisari,167,24,1.049
