Rank,Name,Country,Average
146,Dan Tran,USA,385.3
147,Jingzheng Wang (王景正),China,385.73
148,Mitchell Lane,USA,385.92
149,Arnav Arora,India,386.19
150,Jonah Crosby,USA,386.37
151,Kazuki Sakamoto (坂本一樹),Japan,386.48
152,Wei-Ming Zeng (曾唯銘),Taiwan,386.85
153,Tomáš Zatroch,Slovakia,387.03
154,Vladyslav Zhydkov (Владислав Жидков),Ukraine,387.15
155,Myagmardorj Ulziijargal (Өлзийжаргал Мягмардорж),Mongolia,387.56
156,Gael Augusto Lapeyre,Argentina,388.1
157,Clément Cherblanc,France,388.3
158,Theo Iván Goluboff,Argentina,389.01
159,Ray Zhang (张灏睿),Australia,389.17
160,Malte Ihlefeld,Germany,389.19
161,Simon Westlund,Sweden,389.34
162,Lim Hung (林弘),Malaysia,390.61
163,Jonathan Chng,Singapore,390.67
164,Gustav Wälivaara,Sweden,391.02
165,Varun Mohanraj,USA,391.13
166,Yi Seung-Woo (이승우),Korea,391.32
167,Drew Brads,USA,391.61
168,Aleksandr Nedelko,Russia,391.67
169,Daniel Wannamaker,USA,391.69
170,William Jensen,Sweden,392.26
171,Emily Wang,Canada,392.86
172,Lucas Déglise,France,393.01
173,Peter Grassard,France,393.21
174,Felipe Medel,Chile,393.23
175,Daniel Wallin,Sweden,393.78
176,Ho Hsieh (謝合),Taiwan,394.15
177,Breandan Vallance,United Kingdom,394.41
178,Jaden Lim,Philippines,394.48
179,Sean Belke,USA,394.83
180,Sameer Aggarwal,USA,395.42
181,Yu Da-Hyun (유다현),Korea,396.12
182,Doyul Kim (김도율),Korea,396.44
183,Chris Deng,USA,396.96
184,Nikita Kovalchuk (Нікіта Ковальчук),Ukraine,397.27
185,Adam Łyskawa,Poland,397.59
186,SeungBeom Cho (조승범),Korea,397.68
187,Carter Kucala,USA,397.85
188,Daniel Vædele Egdal,Denmark,398.76
189,Alvin Yang,China,398.83
190,Rasmus Stub Detlefsen,Denmark,398.86
191,Sam Jacklin,United Kingdom,399.26
192,Carter Bitz,USA,399.27
193,Li Chak Kwan (李澤堃),Hong Kong,399.54
194,Farid Mikhailov,Kazakhstan,399.78
195,Kevin Costello III,USA,400.0
196,Wilhelm Kilders,Germany,400.57
197,Shuhei Omura (大村周平),Japan,400.68
198,Bartłomiej Owczarek,Poland,400.99
199,Kim Min (김민),Korea,401.07
200,Wenxuan Tang (唐文轩),China,401.16
201,Sameer Mahmood,United Kingdom,401.18
202,Joel Cetra,Germany,401.48
203,Louie Jay Quibote,Philippines,401.76
204,Axel Brisse,France,402.21
205,Peter Weyers,USA,402.33
206,Daniel Rose-Levine,USA,402.35
207,Yunliang Zhang (张赟量),China,402.93
208,Timothy Castle,USA,402.98
209,June Burkhardt,USA,403.02
210,Jacob Nokes,USA,403.19
211,Vincent Chen,USA,403.45
212,Nguyễn Hồ Nam,Vietnam,403.89
213,Natthaphat Mahtani (ณัฐภัทร จี มาทานี),Thailand,404.05
214,Alvar Nylén,Sweden,404.07
215,Nathan Soria,USA,404.77
216,Oliver Fritz,Germany,405.08
217,Ace Djun T. Aguirre Jr.,Philippines,405.29
218,Shenchuan Mao (毛神川),China,405.36
219,Kyle McDonald Trejos,Costa Rica,405.54
220,Igor Tarasov (Ігор Тарасов),Ukraine,405.54
221,Tomáš Szyszkowicz,Czech Republic,405.55
222,Thachtawan Thanintwanichkul (ธัชตะวัน ธนินท์วานิชกุล),Thailand,405.85
223,Ishaan Lal,USA,406.37
224,Yu-Kai Chen (陳宇楷),Taiwan,406.49
225,Zhaoyang Hong (洪兆阳),China,406.53
226,Hunor Mogyorósi,Hungary,407.04
227,Daniel Evans,United Kingdom,407.23
228,Mauro Moises López,Spain,407.31
229,Weifu Shen (沈为夫),China,407.33
230,Ibrahim Khanani,USA,407.35
231,Soichi Akamatsu (赤松聡一),Japan,408.03
232,Ng Jia Quan (黄佳铨),Malaysia,408.2
233,Isaac Vergara Castillo,Mexico,408.39
234,Daniel Rodríguez Espinosa,Spain,408.4
235,James Hildreth,USA,408.48
236,Łukasz Burliga,Poland,408.68
237,Dmitry Shelomencev,Russia,408.69
238,Cory Yurkovic,USA,409.25
239,Fabio Schwandt,United Kingdom,409.36
240,Nguyễn Thành Thái,Vietnam,409.74
241,Jiahao Deng (邓家豪),China,409.81
242,Albert Philip Bulao,Philippines,409.87
