name,avgs,bpas,ratio
Bautista Bonazzola,103,17,1.114
Tim Xie,71,17,1.11
Simon Kellum,82,17,1.131
Ernesto Gutiérrez Cuba,106,17,1.085
Thomas Schmidt,127,17,1.087
Piotr Olszewski,121,17,1.091
Daniël Kassab,104,17,1.104
Yusheng Du (杜宇生),110,17,1.133
Alberto Pérez de Rada Fiol,186,17,1.107
Iuri Grangeiro Carvalho,119,17,1.101
Tommy Kiprillis,102,17,1.078
John Brechon,132,17,1.101
Wilhelm Kilders,157,16,1.098
Christopher Chi,129,16,1.146
Szymon Malinowski,105,16,1.079
David Nguyen,83,16,1.103
Ping-Yueh Huang (黃品越),109,16,1.135
Chris Mills,106,16,1.113
Mario Laurent,118,16,1.083
Daniel Gracia Ortiz,146,16,1.116
Maria Oey,132,16,1.116
Kirt Protacio,91,16,1.072
Daniel Guardado Cabral,86,16,1.09
Lorenzo Mauro,93,16,1.103
Lucas Garron,74,16,1.096
Zach Goldman,101,16,1.103
Livia Kleiner,115,16,1.091
Paul Mahvi,134,16,1.101
Charlie Stark,111,16,1.101
Adam Polkowski,94,16,1.092
Hunor Mogyorósi,85,16,1.078
Lucas Etter,121,16,1.099
Lev Golub (Лев Голуб),125,16,1.097
Bill Hammill,83,15,1.093
Jedrick Remonde,98,15,1.093
Hassan Khanani,102,15,1.128
Igor Ośmiałowski,111,15,1.082
Manuel Prieto de Antón,135,15,1.131
Caio Hideaki Sato,98,15,1.097
Will Callan,120,15,1.097
José Garrido,106,15,1.095
Leo Lindqvist,74,15,1.094
Kai-Wen Wang (王楷文),75,15,1.138
Jeffrey Draper,68,15,1.059
Yongtao Sun (孙永涛),92,15,1.066
Weixing Zhang (张炜星),131,15,1.091
Timothy Edegran Gren,75,15,1.091
Justin Jaffray,131,15,1.103
Lucas Déglise,98,15,1.091
Robert Antal,81,15,1.103
Nicolò Simone,99,15,1.088
Vladislav Kozhin,59,15,1.075
Oliver Fritz,100,15,1.104
Sam Schultz,102,15,1.104
Nathaniel Berg,111,15,1.071
Louis Cormier,106,15,1.104
Brennen Lin,85,15,1.105
Fabio Schwandt,105,15,1.116
Eli Jay,95,15,1.116
Tymon Kolasiński,134,15,1.116
Wesley Allen,52,15,1.071
Chetan Roger Dhanjal,75,15,1.087
Marek Majerik,88,15,1.108
Arkadiusz Abramowski,76,15,1.069
Rasmus Andersson,73,15,1.08
Michael Kristel,102,15,1.085
Jr-Wei Jang (張智瑋),101,15,1.101
Martin Vædele Egdal,156,15,1.122
Alexey Tsvetkov,108,15,1.122
Gianluca Placenti,46,15,1.066
Kaiyang Gao (高凯阳),88,15,1.098
Kacper Stacha,88,15,1.078
Sameer Aggarwal,88,15,1.11
Yan Jin (金岩),88,15,1.058
Dmitry Kryuzban,98,15,1.113
Thompson Clarke,153,15,1.099
Dana Yi,66,15,1.058
Yunqi Ouyang (欧阳韵奇),113,15,1.089
Levin Houghton,59,14,1.067
Evan Liu,145,14,1.114
Kailong Li (李开隆),138,14,1.095
Rémi Esturoune,102,14,1.114
Samuel Simko,89,14,1.095
Jernej Omulec,91,14,1.066
Kornél Vermes,84,14,1.097
Patrick Hetco,84,14,1.082
Magnus Patrick Kanstrup,68,14,1.074
Chengming Su (苏成明),100,14,1.098
Baiqiang Dong (董百强),155,14,1.096
Dennis Rosero,121,14,1.103
Alexandre Carlier,139,14,1.121
Radu Făciu,66,14,1.077
Cendy Cahyo Rahmat,114,14,1.101
Dan Selzer,79,14,1.099
Helar Gomez Chalco,76,14,1.099
Vincent Hartanto Utomo,96,14,1.099
Dmitry Aniskin,72,14,1.097
Carter Kucala,121,14,1.126
Erik Román Pérez,83,14,1.084
Daniel Vædele Egdal,152,14,1.113
Riley Dexter,91,14,1.136
Francisco Hamlin,101,14,1.142
Helmer Ewert,80,14,1.089
János Bereczki,71,14,1.085
Eder Olivencia Gonzalez,94,14,1.087
Julen Simón Iriarte,105,13,1.132
Wilson Alvis (陈智胜),70,13,1.102
Zachary White,99,13,1.084
Bo Wang (王擘),131,13,1.106
David Remolina Amórtegui,74,13,1.116
Kennan LeJeune,111,13,1.164
Wojciech Knott,145,13,1.077
Chia-Leo Lin (林珈樂),96,13,1.115
Szymon Jeziorski,96,13,1.099
Max Siauw,94,13,1.11
Anders Berggren,119,13,1.102
Joseph Daniel Blas Sanchez,95,13,1.083
Fubo Wang (王富博),69,13,1.079
Artem Melikian (Артем Мелікян),97,13,1.098
Adrián Ramírez,103,13,1.098
Sheng Cao (曹晟),95,13,1.083
Helmut Heilig,95,13,1.071
Lucas Wesche,64,13,1.096
Marcin Zalewski,68,13,1.101
Shenjie Zhu (朱申杰),89,13,1.071
Antoni Rumowski,68,13,1.086
Lucas Ichiro Yunomae,76,13,1.083
Drew Brads,101,13,1.114
Andreas Pung,86,13,1.078
Yuyang Zhen (甄禹扬),107,13,1.1
Witali Bułatow,65,13,1.069
Mykyta Tytar (Микита Титарь),88,13,1.13
Mateusz Kotwica,57,13,1.078
Vilius Ribinskas,89,13,1.08
Collin Burns,47,13,1.069
Olli Vikstedt,81,13,1.088
Krzysztof Kuncki,82,13,1.101
Edoardo Annesi,83,13,1.092
Arnav Arora,65,13,1.094
Mateusz Cichoracki,93,13,1.116
Davi de Andrade Iácono,76,13,1.131
Lukas Shelley,111,13,1.097
Simon Kalhofer,113,13,1.072
Yunliang Zhang (张赟量),76,13,1.109
Jakob Gunnarsson,95,13,1.126
Shenghai Fang (方胜海),75,13,1.07
Dylan Miller,108,13,1.105
Oscar Nieto,105,13,1.134
Kuo-Hau Wu (吳國豪),77,13,1.095
Jan van Dorst,69,13,1.07
Viktor Kalmar,98,13,1.105
Xusheng Hong (洪旭升),105,13,1.074
Devin Corr-Robinett,87,13,1.104
Danny SungIn Park,76,13,1.126
James Gonsalves,49,13,1.074
Victor Colin,110,13,1.097
Tyler Howlett,91,13,1.113
Igor Kowalczyk,80,13,1.103
Ivan Zabrodin,108,13,1.088
Lining Wang (王立宁),41,13,1.066
Nikhil Mande,80,13,1.081
Adam Chodyniecki,82,13,1.085
Ivan Lew Yi Wen (刘义文),102,13,1.118
Nora Christ,78,13,1.08
Zoé de Moffarts,66,13,1.074
Fabian Simon,88,13,1.073
Kim Jokinen,64,13,1.114
Daniel Gloppestad Bajer,65,13,1.085
Ioannis Papadopoulos,95,13,1.085
Timo Ludwig,83,13,1.09
Alessio Giuliano,39,12,1.079
Serhii Koksharov (Сергій Кокшаров),126,12,1.093
Alexis Rodrigo Cazu Mendoza,87,12,1.1
Kristian Muggerud,67,12,1.11
Mo Ji (季默),94,12,1.081
Yan-Hung Lai (賴彥宏),78,12,1.123
Niki Placskó,110,12,1.071
Yuxuan Guo (郭雨轩),68,12,1.092
András Szermek,43,12,1.078
Matthew Cook,59,12,1.093
Ryan DeLine,68,12,1.097
Eva Kato,96,12,1.108
Daniel Karnaukh,132,12,1.129
Lir Ukaj,60,12,1.08
Annika Stein,76,12,1.055
Kaijun Lin (林恺俊),36,12,1.047
Michał Bogdan,71,12,1.093
Reinier Schippers,114,12,1.098
Malte Oliver Bøgh Kjøller,53,12,1.074
Brody Lassner,77,12,1.097
Stefan Huber,71,12,1.082
Henry Savich,79,12,1.07
Aryan Chhabra,93,12,1.099
Aleksandr Beznogov,78,12,1.089
Wiktor Smorąg,51,12,1.097
Pavel Yushkevich,93,12,1.08
Ahmet Çınar Ablak,58,12,1.115
Shubhayan Kabir,68,12,1.093
Yuhei Takagi (高木佑平),52,12,1.097
Oscar Alberto Ceballos Contreras,107,12,1.129
Shu-Yii Luo (駱書翊),99,12,1.086
Alexandre Toledo Guillén,84,12,1.086
Oleg Gritsenko,163,12,1.099
Pierre Bouvier,71,12,1.069
Javier López Fernández,78,12,1.114
Lars Van den broeck,77,12,1.13
Harry Savage,81,12,1.134
Angela Braganza,56,12,1.09
Nicolás Sánchez,80,12,1.117
Grzegorz Szumigaj,76,12,1.076
Jorge Martín Espinosa,118,12,1.101
Piotr Pojda,62,12,1.095
James LaChance,100,12,1.113
Adrián Martínez Macías,122,12,1.087
Simon Westlund,100,12,1.091
Nathan Dwyer,106,12,1.112
Matteo Colombo,77,12,1.112
Anant Pingle,67,12,1.073
Alex Asbery,85,12,1.077
Christian Goñi,72,12,1.087
Sanio Kasumovic,74,12,1.119
Jason Vindvamara,40,12,1.095
Clément Gallet,121,12,1.102
Xinyun Chen (陈新运),112,12,1.12
Anish Rajesh,88,12,1.112
Felipe Baldívio Freires,65,12,1.075
Andrey Che,65,12,1.085
Marco Vorländer,63,12,1.075
Patrick Ponce,72,12,1.118
Marcel Ručigaj,80,12,1.104
Nikodem Tomaszuk,54,12,1.06
Daniel Mullen,67,12,1.092
Quentin Lefebvre,58,12,1.092
Ryan Wu,64,12,1.136
Nox Clémenceau,79,12,1.068
Wojciech Barciaga,85,12,1.104
Vijay Kishore,51,12,1.145
Louis Fertier,75,12,1.087
Adrian Lehmann,93,12,1.089
Aedan Bryant,67,12,1.104
Noah Kraft,74,12,1.085
Alaik Bhatia,79,12,1.096
Birk Bredland,53,11,1.102
Gabriel Barrios,68,11,1.109
Björn Korbanka,95,11,1.105
Clément Valot,52,11,1.087
Jonathan Esparaz,77,11,1.091
Michał Mlostek,88,11,1.109
Everett Kelly,48,11,1.063
Darren Siew Ee Yaang (蕭奕暘),69,11,1.091
Juan Pablo Huanqui,86,11,1.093
Manu Vereecken,56,11,1.074
Daniel Greigg,51,11,1.08
Anthony Hsu,33,11,1.087
Chenge Liu (刘晨舸),55,11,1.087
Ilkyoo Choi (최일규),88,11,1.091
Ruihang Xu (许瑞航),62,11,1.08
Tommy Cherry,64,11,1.125
Eric Limeback,101,11,1.102
Sergey Ryabko,76,11,1.091
Kian Barry,122,11,1.059
Alexey Mikhailov,35,11,1.06
Javier París,63,11,1.1
Shonathon Collins,59,11,1.1
David Vujasić,63,11,1.11
Richard Jay S. Apagar,55,11,1.107
Bruno Galati Paladino Cricelli,70,11,1.101
Rio Truija,63,11,1.086
Owen Widdis,92,11,1.101
Matěj Grohmann,81,11,1.106
Jason White,60,11,1.079
Taoran Chen (陈陶然),55,11,1.061
Dario Roa Sánchez,75,11,1.106
Riley Woo,100,11,1.121
Patrycja Michalska,61,11,1.086
Emile Compion,78,11,1.087
Ronan Felipe Jorge,64,11,1.087
Magdalena Pabisz,84,11,1.102
Somya Srivastava,55,11,1.086
Zachary Ochs,64,11,1.108
Dmitry Zvyagintsev,70,11,1.121
Juho Arjanne,70,11,1.079
Tim Schädel,55,11,1.087
Alessandro Nicolì,75,11,1.092
Robert Mapp IV,65,11,1.071
Wong Kin Lok (黃健樂),74,11,1.071
Alexander Botz,77,11,1.098
Zongyang Li (李宗阳),78,11,1.073
Igor Tarasov,83,11,1.102
Daniel Rose-Levine,140,11,1.124
Murillo Gomes Otero,56,11,1.074
Maksymilian Majcher,94,11,1.081
Daniel Gutierrez,56,11,1.128
Jonathan Hamstad,61,11,1.081
Vittorio Maria Perucatti,66,11,1.085
Catherine Trace,61,11,1.082
Franciszek Fidos,74,11,1.083
Kajetan Opach,51,11,1.097
Pedro Alejandro Condo Tellez,63,11,1.083
Jungwoo Kim (김정우),47,11,1.084
Linus Buck,83,11,1.089
Tomek Bogdanik,69,11,1.095
Felipe Medel,74,11,1.089
Akula Pavan Kumar,108,11,1.094
Alexander Springhorn,52,11,1.082
Krish Shah-Nathwani,87,11,1.093
Nithin Babu,48,11,1.11
Mateusz Szwugier,88,11,1.096
Gabriel Silva dos Santos,46,11,1.067
Krzysztof Żerucha,67,11,1.085
Luigi Soriano,85,11,1.111
Erwan Kohler,75,11,1.084
Mikel Pérez Iniesto,48,11,1.056
Bobby D'Angelo,79,11,1.128
Jack O'Mahony,43,11,1.082
Bruno Vervoort,43,10,1.088
Ramses Amaya,84,10,1.117
Guillermo Cascales Ñíguez,82,10,1.102
Moritz Karl,69,10,1.086
Victor Chenu,76,10,1.114
Xingyu Chen (陈星宇),62,10,1.089
Alex Maass,71,10,1.096
Shenchuan Mao (毛神川),51,10,1.076
Dominic Lumsden,64,10,1.102
Markus Pirzer,80,10,1.102
Gregor Billing,76,10,1.094
Luca Rizzi,62,10,1.093
William Gan Wei Ren (颜伟仁),55,10,1.073
Nikita Kovalchuk (Нікіта Ковальчук),74,10,1.096
Jorge Castillo Matas,72,10,1.117
Fredrik Trondhjem,103,10,1.096
Daniel Borrajo Gutiérrez,41,10,1.079
Daniel Escobar,69,10,1.082
Ankush Hommerich-Dutt,39,10,1.079
Samuel Fang,46,10,1.151
Mason Langenderfer,87,10,1.079
Knut Skaug Haraldsen,93,10,1.137
Lauren Klemz,66,10,1.097
Shubham Maharana,57,10,1.106
Jaime Calzado Gomez,35,10,1.061
Gergely Novotni,54,10,1.1
Rodrigo Ugarte,81,10,1.087
Marcel Peters,76,10,1.09
Mika Smulders,91,10,1.107
Matthew Lowe,47,10,1.122
