Delegate,Scrambles,E[Moves],4 moves,5 moves,6 moves,7 moves,8 moves,9 moves,10 moves,11 moves
Olivér Perge,2443,8.73,1,7,38,141,605,1284,367,0
James Molloy,2475,8.77,1,8,35,129,619,1245,434,4
Natán Riggenbach,2674,8.77,1,7,39,153,635,1376,461,2
Hari Anirudh,2758,8.77,1,5,33,171,659,1399,488,2
Akash Rupela,4158,8.76,1,10,49,266,975,2139,715,3
Fangyuan Chang (常方圆),4168,8.76,1,6,57,260,997,2137,708,2
Baocheng Wu (吴宝城),1463,8.75,1,2,21,87,367,729,255,1
Oleg Gritsenko,1869,8.77,1,5,21,116,442,953,330,1
Katie Hull,1316,8.75,1,2,15,92,306,687,211,2
Alex Asbery,1213,8.78,1,3,20,72,259,641,216,1
Anders Berggren,1260,8.76,1,3,17,71,310,637,220,1
Danyang Chen (陈丹阳),1281,8.76,1,2,17,82,302,659,218,0
Daniel Vædele Egdal,1295,8.75,1,5,16,77,307,680,208,1
Shubham Kumar,1309,8.72,1,5,21,98,304,660,220,0
Keenan Johnson,217,8.75,0,1,1,14,51,118,32,0
Gunnar Kantare Krig,238,8.74,0,1,4,19,54,115,45,0
Zachary McWilliams,63,8.7,0,1,1,6,12,31,12,0
Recep Gül,21,8.43,0,0,1,2,6,11,1,0
Nitin Subramanian,252,8.76,0,0,3,17,59,131,42,0
Aayas Dhoj Joshi,210,8.79,0,0,0,17,51,102,40,0
Mateo Rodríguez,245,8.64,0,2,4,16,62,134,27,0
Can Ersoy,245,8.74,0,1,3,15,63,120,43,0
Pablo Eduardo Nikolais Teixeira Bonifácio da Silva,245,8.8,0,0,3,13,59,126,44,0
Chris Braiedy,245,8.8,0,0,2,13,56,134,40,0
Enrymar Cisneros,245,8.75,0,1,1,12,68,125,38,0
Michael Chai (柴天方),287,8.76,0,0,3,20,65,155,43,1
Jānis Zirnis,294,8.8,0,0,4,13,78,143,56,0
Anuj Menta,49,8.82,0,0,1,3,11,23,11,0
Matias Rasmussen,224,8.75,0,0,3,17,48,121,35,0
Gustavo Riveiro,212,8.82,0,1,3,7,51,111,38,1
Chester Lian,252,8.79,0,1,4,14,60,121,52,0
Rodolfo Jepte Lutrania Mabanta,224,8.79,0,0,3,12,59,105,45,0
