name,country,comp,bpa,average
Zayn Khanani,USA,CapeFear2022,0.88,1.02
Zayn Khanani,USA,UtahFall2021,0.91,1.06
Zayn Khanani,USA,IdahoSummerB2021,0.93,1.46
Will Callan,USA,CubingUSANationals2019,0.99,1.23
Zayn Khanani,USA,BulldogHolidayBash2021,1.0,1.12
Zayn Khanani,USA,NorthStarCubingChallenge2022,1.0,1.04
Zayn Khanani,USA,BabylonFall2021,1.02,1.28
Zayn Khanani,USA,CubingUSAWesternChampionship2021,1.04,1.09
Antonie Paterakis,Netherlands,SeraingOpen2021,1.05,1.27
Zayn Khanani,USA,FinnishChampionship2021,1.05,1.05
Luke Van Laningham,USA,CubingUSANationals2019,1.06,1.58
Zayn Khanani,USA,EmpireStateSummerB2021,1.06,1.13
Zayn Khanani,USA,PittsburghFall2021,1.08,1.11
Zayn Khanani,USA,RockyTop2021,1.11,1.6
Zayn Khanani,USA,FinnishChampionship2021,1.12,1.12
Zayn Khanani,USA,SwedishChampionship2021,1.12,1.38
Zayn Khanani,USA,ClashatCarlisleFall2019,1.13,1.49
Rami Sbahi,USA,CanadianOpen2015,1.14,1.55
Zayn Khanani,USA,GemCity2022,1.14,1.26
Antonie Paterakis,Greece,CubeWeekendStMichielsgestel2019,1.15,1.47
