name,country,DNFs
Feliks Zemdegs,Australia,94
Krzysztof Kuncki,Poland,94
Rustam Valeev,Russia,93
Milán Baticz,Hungary,93
Manuel Prieto de Antón,Spain,93
Fyodor Ivanov,Russia,93
Jayden McNeill,Australia,93
Alberto Pérez de Rada Fiol,Spain,93
Max Siauw,USA,93
João Guilherme Barejan Maiale,Brazil,93
Seth Talbot,USA,93
Frank Severinsen,Denmark,92
Adrián Martínez Macías,Spain,92
Zoé de Moffarts,Belgium,92
Nicolas Gertner,France,92
Sean Skinner,USA,92
Wang Junwen (王俊文),Malaysia,92
Ming Zheng (郑鸣),China,91
Alexander Bashutkin,Russia,91
Tommy Gustavsson,Sweden,91
Nicolás Sánchez,USA,90
Pau Vela García,Spain,90
Artur Kristof,Poland,90
Michał Krasowski,Poland,90
Johan Thuvesen,Sweden,90
Greg Austin,United Kingdom,90
Diana Murnik,Russia,90
Ryan Jew,USA,90
Owen Widdis,USA,90
Eli Jay,United Kingdom,90
Devin Corr-Robinett,USA,90
Sebastian Alanen,Sweden,90
Anatoly Turenko (Анатолий Туренко),Russia,89
Oleg Gritsenko,Russia,89
Alex Asbery,New Zealand,89
Gunnar Krig,Sweden,89
Edward Lin,USA,89
Mateusz Szwugier,Poland,89
Paweł Włoszek,Poland,89
Jan Zych,Poland,89
Javier Cabezuelo Sánchez,Spain,89
Eason Siew Ee Son (蕭奕晨),Malaysia,88
Javier París,Spain,88
Kari Hyttinen,Finland,88
Takuma Shirahase (白波瀬拓磨),Japan,88
Jared Stinson,USA,88
Jiayu Wang (王佳宇),China,88
Marco Syfrig,Switzerland,88
Ilya Zabrodsky,Belarus,87
Mariano D'Imperio,Italy,87
Simone Cantarelli,Italy,87
Bence Barát,Hungary,87
José Felipe Duarte Coronado,Colombia,87
John Edison Ubaldo,Philippines,87
Helmut Heilig,Germany,87
Gonzalo Orellana Barrasa,Spain,86
Martin Vædele Egdal,Denmark,86
Willi Mickein,Germany,86
Daniel Rose-Levine,USA,86
Lincheng Cai (蔡林成),China,86
Elisabet Delgado Mas,Spain,86
Marcos Ameijeiras Moreno,Spain,85
Noah Paredes,USA,85
Manfred Siew Ee Sheng (蕭奕晟),Malaysia,85
Daniel Karnaukh,USA,85
Sheng Cao (曹晟),China,84
Michael Kristel,Germany,84
Fabian Andrey Montenegro Barrero,Colombia,84
Kobe Balin,USA,84
Ben Wakelin,Australia,84
Nestor Sokhan,USA,84
Zachary White,USA,84
Kevin Gerhardt,Germany,83
Niklas Spies,Germany,83
Yi Wang (王旖),China,83
Antonie Paterakis,Greece,83
Mitchell Lane,USA,83
Axel Häck,Germany,83
Kian Barry,USA,83
Ioannis Papadopoulos,Greece,83
Eric Limeback,Canada,82
Rubix Azevedo Martins da Silva,Brazil,82
Artem Savosik,Belarus,82
Yu Sajima (佐島優),Japan,82
Andrew Coghill,United Kingdom,82
Remo Pihel,Estonia,82
Andrey Robota,Russia,82
Helmer Ewert,Sweden,82
Nox Clémenceau,France,82
Przemysław Kaleta,Poland,82
Timur Kapkin,Russia,82
Tyler Howlett,USA,82
Luis J. Iáñez,Spain,81
Mikhail Kuzin,Russia,81
Kieran Dizon,USA,81
Sam Schultz,USA,81
Steven Kearns,United Kingdom,81
Aliaksei Anisimau,Belarus,81
Antto Pitkänen,Finland,81
Carlos Méndez García-Barroso,Spain,81
Siew Hann Wen (蕭漢文),Malaysia,81
Chris Tran,USA,81
Tiemen De Meester,Belgium,81
Rémi Esturoune,France,81
Benjamin Pugh,USA,81
Matthew Prestwich,United Kingdom,80
Franciszek Fidos,Poland,80
Sam Spendla,United Kingdom,80
Bennet Wichmann,Germany,80
Naman Jain,India,80
Jackey Zheng,USA,80
Yuhei Takagi (高木佑平),Japan,80
Akash Rupela,India,80
Mads Mohr Christensen,Denmark,80
Grzegorz Łuczyna,Poland,80
Piotr Trząski,Poland,79
Isaac Myers,USA,79
Francisco José Campos Rocamora,Spain,79
Acchyut Jolly,India,79
Chia-Wei Lu (呂家維),Taiwan,79
Anthony Brooks,Belize,79
Adrian Lehmann,Germany,79
Daniel Mullen,USA,79
Cendy Cahyo Rahmat,Indonesia,79
Adam Zamora,USA,79
Maxim Chechnev,Russia,79
Lucas O'Connell,New Zealand,79
Lucas Garron,Germany,79
Kaiyang Gao (高凯阳),China,78
Charlie Stark,United Kingdom,78
Oliver Frost,United Kingdom,78
Harry Savage,United Kingdom,78
João Luiz Melo Novaes,Brazil,78
Maksym Yeli (Максим Єлі),Ukraine,78
Krish Shah-Nathwani,USA,78
Kevin Hays,USA,78
Luke Garrett,USA,78
Joseph Daniel Blas Sanchez,Bolivia,78
Julio Perugorria Lorente,Spain,77
Sergi Sabat,Spain,77
Erik Román Pérez,Spain,77
Dmitry Dobrjakov,Russia,77
Sean Hartman,USA,76
Alexandre Toledo Guillén,Spain,76
Silas Starling,USA,76
Alaik Bhatia,India,76
Ansh Arora,India,76
Xuming Wang (王旭明),China,75
Juan David Carmona Vásquez,Colombia,75
Niki Placskó,Hungary,75
Daniel Yakhkind (Даніель Яхкінд),Ukraine,75
Keaton Ellis,USA,75
Luke Galioto,USA,75
Atharva R. Bhat,India,75
Ryan Minjun Cho,Canada,75
Serhii Mormul (Сергій Мормуль),Ukraine,75
Linus Laurén,Finland,74
Timothy Edegran Gren,Sweden,74
Chris Wall,United Kingdom,74
Ilya Nazarov,Russia,74
Tomasz Żołnowski,Poland,74
Tim Reynolds,USA,74
Sergey Lahno,Russia,74
Angus Cosgrove,Australia,74
Rodrigo Ugarte,Bolivia,74
Maicol Ramos,Colombia,73
Vladislav Kaminskiy,Belarus,73
Han Wu (吳翰),Taiwan,73
Cameron Stollery,Australia,73
Jeremy Singson,India,73
Pierre Bouvier,France,73
Diego Alejandro Casas Jimenez,Colombia,72
Olivier Vos,Netherlands,72
Ramses Amaya,Colombia,72
José Leonardo Chaparro Prieto,Colombia,72
Fredrik Trondhjem,Denmark,72
Alexander Mutch,Canada,72
Gabriele Cappelletti,Italy,72
Mohamed Ben Driss Chokri,Morocco,72
Gabriel Bergue Campos Borges,Brazil,72
Georgiy Titov (Георгій Тітов),Ukraine,72
Michał Pleskowicz,Poland,72
Maximilian Berkmann,United Kingdom,72
Mason Langenderfer,USA,72
Antoni Rumowski,Poland,72
José Marco Tarifa Hernández,Bolivia,71
AJ Kamal,USA,71
Aharon Campoli Tono,Brazil,71
Tomas Jankauskas,Lithuania,71
Tijmen van der Ree,Netherlands,71
Arttu Puttonen,Finland,71
Chengzhang Lin (林成璋),China,71
Calvin Nielson,USA,71
David Beugnon,USA,71
Ágoston Török,Hungary,71
Josh Bloch,USA,70
Kyra Joiner,USA,70
Er-Sheng Kuo (郭爾陞),Taiwan,70
Andrey Che,Russia,70
Mattia Furlan,Italy,70
Jan van Dorst,Netherlands,70
Patryk Grosiak,Poland,70
Juho Arjanne,Finland,70
Marvin Orlando Salguero Pardo,Bolivia,70
Diego Alfonso,France,70
Alexander Katyukov (Александр Катюков),Russia,70
Yunqi Ouyang (欧阳韵奇),China,70
Linus Frész,Germany,70
