name,country,comp,bpa,average
Tymon Kolasiński,Poland,CubersEveLubartow2021,4.93,5.09
Ruihang Xu (许瑞航),China,WuhanOpen2021,5.0,5.48
Max Park,USA,Missoula2021,5.0,5.32
Max Park,USA,AnaheimA2022,5.08,5.43
Tymon Kolasiński,Poland,LilleFriheden2022,5.12,5.42
Tymon Kolasiński,Poland,DragonCubing2021,5.12,5.72
Max Park,USA,BatonRougeWinter2022,5.13,5.53
Tymon Kolasiński,Poland,SSTNaprawa2021,5.14,5.57
Tymon Kolasiński,Poland,Cube4funLeagueKolo2022,5.15,5.15
Max Park,USA,WestviewWinterB2021,5.19,5.62
Tymon Kolasiński,Poland,Cube4funLeagueKolo2022,5.22,5.43
Ruihang Xu (许瑞航),China,GuangdongOpen2021,5.28,6.36
Max Park,USA,Missoula2021,5.29,5.47
Tymon Kolasiński,Poland,LLSIIIZamosc2021,5.29,6.07
Max Park,USA,SacCubingX2021,5.29,5.43
Max Park,USA,BayAreaSpeedcubin222019,5.31,6.02
Tymon Kolasiński,Poland,SSTNaprawa2021,5.33,5.87
Tymon Kolasiński,Poland,LLSIBelzyce2021,5.34,5.6
Tymon Kolasiński,Poland,SSTNaprawa2021,5.34,6.2
Patrick Ponce,USA,EmpireStateWinterA2022,5.36,6.16
