Name,Country,Streak,Type,Start Date,End Date
Patrick Ponce,USA,56,333 single,2017-09-02,2017-10-28
Hsuan Chang (張璿),Taiwan,55,555 single,2009-02-08,2009-04-04
Wong Kin Lok (黃健樂),Hong Kong,49,777 single,2017-05-20,2017-07-08
Jibo Zhao (赵吉波),China,48,333fm average,2011-05-15,2011-07-02
Keisuke Hiraya (平谷啓輔),Japan,42,333oh average,2008-10-04,2008-11-15
Sameer Mahmood,United Kingdom,42,222 average,2013-08-24,2013-10-05
Milán Baticz,Hungary,41,333mbf single,2007-08-25,2007-10-05
Kabyanil Talukdar,India,28,333bf average,2014-11-01,2014-11-29
Andrew Nelson,USA,22,sq1 single,2010-08-06,2010-08-28
Tijmen van der Ree,Netherlands,22,sq1 single,2019-05-03,2019-05-25
Kristopher De Asis,Canada,21,555 single,2012-08-11,2012-09-01
Yulun Wu (吴宇伦),China,21,pyram single,2018-06-02,2018-06-23
Marco Rota,Italy,20,skewb average,2014-01-12,2014-02-01
Hideki Niina (新名秀樹),Japan,14,skewb average,2014-02-08,2014-02-22
Zijia Feng (冯子甲),China,14,sq1 average,2017-11-25,2017-12-09
Jake Klassen,Canada,14,333bf average,2019-05-18,2019-06-01
Claes Hedin,Sweden,14,666 single,2009-02-07,2009-02-21
Rafał Waryszak,Poland,10,pyram average,2016-07-19,2016-07-29
Haixin Yang (杨海鑫),China,7,333oh single,2015-05-02,2015-05-09
Michael Gottlieb,USA,7,777 single,2009-02-14,2009-02-21
Helmer Ewert,Sweden,7,sq1 single,2017-04-29,2017-05-06
Ty Marshall,USA,7,sq1 average,2016-09-17,2016-09-24
Lee Chiang (蔣礪),Taiwan,6,skewb single,2015-07-11,2015-07-17
Santosh Tantravahi,India,3,skewb single,2014-01-01,2014-01-04
Abhishek Sathyanarayanan,India,3,skewb average,2014-01-01,2014-01-04
Mharr Justhinne Ampong,Philippines,1,skewb single,2014-02-08,2014-02-09
John Brechon,USA,1,skewb average,2014-01-11,2014-01-12
Szymon Jeziorski,Poland,0,333fm single,2018-10-26,2018-10-26
Kacper Rafalski,Poland,0,333fm single,2018-10-26,2018-10-26
