Arisandra Soo,Australia,1131
Emilio Matanguihan,Australia,1130
Qingze Li (李庆泽),China,1130
Sora Sato,Australia,1129
Gerard McGinley,Australia,1128
Kevin Xin (辛轲牛),USA,1128
Firmin Brault,France,1128
Elijah Brown,USA,1127
Oscar Watson,Australia,1127
Andrii Vasyliev (Андрій Васильєв),Ukraine,1127
Jacob Chambers,United Kingdom,1126
Miles Christopher Walcott,USA,1126
Kim Roger Høyland Larsen,Norway,1125
Timo Norrkniivilä,Finland,1124
Ciarán Beahan,Ireland,1124
Xingkai Yin (尹星凯),China,1123
Noah Kraft,Germany,1123
Yannick Richter,Germany,1122
Diego Fraile,France,1122
Noah Aaron Pearson,Australia,1122
Calven Lipec,Australia,1121
Fabio Schwandt,United Kingdom,1121
Patryk Grosiak,Poland,1119
Alexis Fedeler,Germany,1119
Anthony Lafourcade,France,1119
Linus Buck,Germany,1118
Daniil Rublev (Даниил Рублёв),Russia,1118
Daniel Wallin,Sweden,1117
Ping-Yueh Huang (黃品越),Taiwan,1117
Nicolas Gertner,France,1116
Karol Piskorek,Poland,1115
Darcy Andrikonis,Australia,1115
Sumanth Chandrupatla,USA,1115
Jaxon Foster,Australia,1115
Joshua Williams,United Kingdom,1114
Levi Benjamin Matara-Ng,Australia,1113
Paul Mahvi,USA,1113
Ben Thomas Campbell,United Kingdom,1113
Shubham Maharana,India,1113
Alex Van Vugt,Australia,1113
Igor Ośmiałowski,Poland,1113
Stanley Chapel,USA,1113
Matěj Mužátko,Czech Republic,1111
Zexin Wang (王泽鑫),China,1111
Leo Millar,Australia,1111
Timothy Castle,USA,1111
Victor Glyrskov,Denmark,1110
Frederik Løchte,Denmark,1110
Brennen Lin,Canada,1110
Adrian Oon,Australia,1110
Jakub Hibszer,Poland,1109
Xinyuan Fan (范歆远),China,1109
Patrick Quach,Australia,1109
Jannis Grob,Germany,1109
James Alonso,United Kingdom,1108
Yunke Zhang (张云柯),China,1108
Charlie Cannon,Australia,1108
Jie Wang (王杰),China,1108
Lukas Shelley,Denmark,1108
Aadarsh Madhavan,India,1107
Carlos Sullca Mejía,Peru,1107
Nate Mochrie,New Zealand,1107
Liam Highducheck,Australia,1106
Joe Labas,Australia,1105
Darcy Way,Australia,1105
Qiyu Zhang (张淇隩),China,1104
Christian Manuel de Lange,New Zealand,1103
Mikołaj Tyra,Poland,1103
Hua Huang (黄华),China,1102
Christian Foyle,Australia,1102
Benjamin Grzesiak,United Kingdom,1101
Daniel Brem,Switzerland,1101
Saavar Bajaj,Australia,1101
Kasper Warberg Borg,Denmark,1100
Andreas Jensen Forsgren,Norway,1100
Theresa L. Biermann,Germany,1099
Ilya Nazarov,Russia,1099
Mateusz Szulik,Poland,1099
Urho Kinnunen,Finland,1098
Myles Jarman,Australia,1098
Raymond Castillo,USA,1098
Dmitry Matthew Yaquinto,Russia,1098
Narhean Ravichandira,Australia,1096
Lucas Buckley,Australia,1096
Dániel Varga,Hungary,1096
Rafał Sądek,Poland,1096
Liam Canty,Australia,1095
Kaur Tuule,Estonia,1095
Dash Cannon,Australia,1095
David Vos,Netherlands,1094
Divnoor Bajwa,Australia,1094
Antonio Bonessi,USA,1093
Shao-Hua Hu (胡少華),Taiwan,1093
Hao Do,Australia,1093
Ben Kirby,New Zealand,1093
Junxi Jian (简隽希),China,1092
Aneurin Hunt,New Zealand,1092
Xiaowei Wang (王晓伟),China,1092
Rafael Chowindra,Indonesia,1092
Zhaohong Huang (黄兆鸿),China,1092
Marcel Ručigaj,Slovenia,1091
Maheran Chowdhury,Australia,1091
Ng Jia Quan (黄佳铨),Malaysia,1091
Blake Thompson,USA,1090
Jefferson Andres Durango Argaez,Colombia,1089
David Matoušek,Czech Republic,1089
Malo Coraboeuf,France,1089
Oliver Wright,Australia,1089
Alan Zhao,Australia,1089
Frederik Hutfleß,Germany,1089
Matthew Cook,Australia,1089
Sean Moran,United Kingdom,1088
Michał Krasowski,Poland,1088
Ronald Smith Huaman Cardenas,Peru,1087
Ho Hsieh (謝合),Taiwan,1087
Yue Shen (申粤),China,1087
Przemysław Rogalski,Poland,1087
Alvaro Haidar Ersha,Indonesia,1086
William Herring,Australia,1085
Kerry Creech,USA,1085
Vincent Hartanto Utomo,Indonesia,1084
